"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g*km2/km2]",110393.305882293,27295.126708815,0.306011158001803
"1","1983","Stratum_1"," [g*km2/km2]",49635.4209531679,13466.0906395295,0.344419728242015
"1","1984","Stratum_1"," [g*km2/km2]",86450.290066707,21456.9389881886,0.312795999810277
"1","1985","Stratum_1"," [g*km2/km2]",96534.36726636,21848.792559446,0.281649866610149
"1","1986","Stratum_1"," [g*km2/km2]",93117.8049964669,20854.358093141,0.280151680186839
"1","1987","Stratum_1"," [g*km2/km2]",101751.594513817,22256.9855985701,0.273134510363845
"1","1988","Stratum_1"," [g*km2/km2]",56218.7717579203,12174.3724161764,0.26867858413822
"1","1989","Stratum_1"," [g*km2/km2]",60788.344989329,13180.5450109741,0.266562337157191
"1","1990","Stratum_1"," [g*km2/km2]",74209.2528504741,16557.5003199302,0.27406304998429
"1","1991","Stratum_1"," [g*km2/km2]",64472.059763537,14340.8104481662,0.273667355343372
"1","1992","Stratum_1"," [g*km2/km2]",71317.579515322,15146.2780394496,0.259154694062851
"1","1993","Stratum_1"," [g*km2/km2]",76457.3211732512,16393.9092374141,0.260605876493595
"1","1994","Stratum_1"," [g*km2/km2]",56466.1359075809,12361.6115303152,0.269938298004048
"1","1995","Stratum_1"," [g*km2/km2]",42108.2046537174,9685.33526522959,0.281883574871324
"1","1996","Stratum_1"," [g*km2/km2]",66915.481406532,14508.0386676113,0.267035897363794
"1","1997","Stratum_1"," [g*km2/km2]",56433.8112736325,12370.3894232621,0.269504742024631
"1","1998","Stratum_1"," [g*km2/km2]",48484.8098475529,9972.83006880076,0.25054991458558
"1","1999","Stratum_1"," [g*km2/km2]",84511.2362801151,18115.581534949,0.262726146323257
"1","2000","Stratum_1"," [g*km2/km2]",89995.0425543366,20554.9652932031,0.28127435527384
"1","2001","Stratum_1"," [g*km2/km2]",68724.0904094952,16311.2326133519,0.295160824112346
"1","2002","Stratum_1"," [g*km2/km2]",73274.4481149842,17064.1134400778,0.288806512891591
"1","2003","Stratum_1"," [g*km2/km2]",60704.3100835681,13899.6291863619,0.28485927704479
"1","2004","Stratum_1"," [g*km2/km2]",47299.182155437,10847.1167439036,0.286042991597704
"1","2005","Stratum_1"," [g*km2/km2]",59828.6772957857,14380.2675492525,0.299262919884053
"1","2006","Stratum_1"," [g*km2/km2]",57611.665975255,13342.763320969,0.285544496378075
"1","2007","Stratum_1"," [g*km2/km2]",80036.5155763874,17837.130097512,0.27389966670933
"1","2008","Stratum_1"," [g*km2/km2]",84895.2711348318,18658.6052738676,0.269183941062258
"1","2009","Stratum_1"," [g*km2/km2]",59026.0866403043,12073.7649221691,0.249585248726149
"1","2010","Stratum_1"," [g*km2/km2]",63966.1294291756,13292.8651786204,0.254015563139379
"1","2011","Stratum_1"," [g*km2/km2]",67571.8965115272,15344.1319535181,0.276064844923745
"1","2012","Stratum_1"," [g*km2/km2]",75380.2071363001,16614.7102198828,0.268483809380774
