"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g*km2/km2]",38705.4113582242,7467.38813476343,0.245930574124708
"1","1983","Stratum_1"," [g*km2/km2]",33623.1363753017,6323.16894788782,0.238506369031955
"1","1984","Stratum_1"," [g*km2/km2]",18643.1383207154,4409.98228625274,0.306985792261763
"1","1985","Stratum_1"," [g*km2/km2]",31614.8486559576,5646.00259719567,0.224749645073153
"1","1986","Stratum_1"," [g*km2/km2]",30329.5729272051,5118.47256097971,0.211515388173332
"1","1987","Stratum_1"," [g*km2/km2]",30417.8416534741,5382.08343720527,0.222708761234666
"1","1988","Stratum_1"," [g*km2/km2]",22994.5564110619,4638.51832603515,0.258877294209876
"1","1989","Stratum_1"," [g*km2/km2]",32482.662687597,5204.88944807025,0.200831267045847
"1","1990","Stratum_1"," [g*km2/km2]",25279.0622795421,4556.84274651167,0.228693346725013
"1","1991","Stratum_1"," [g*km2/km2]",15670.0309182558,2655.65360192924,0.21277206856805
"1","1992","Stratum_1"," [g*km2/km2]",42402.783245042,6829.83517638985,0.202065171963178
"1","1993","Stratum_1"," [g*km2/km2]",45243.285963017,7294.85678762628,0.200021060612151
"1","1994","Stratum_1"," [g*km2/km2]",32664.3620984065,5373.45432926968,0.206851870308421
"1","1995","Stratum_1"," [g*km2/km2]",42027.3300305606,6312.49720902325,0.185233830397709
"1","1996","Stratum_1"," [g*km2/km2]",26634.9752217287,4453.3455020223,0.208792767918688
"1","1997","Stratum_1"," [g*km2/km2]",33144.0827279925,5363.30244155673,0.201272459360097
"1","1998","Stratum_1"," [g*km2/km2]",39796.042232026,5914.04297445937,0.182865496024485
"1","1999","Stratum_1"," [g*km2/km2]",55823.7985297204,8427.17840931049,0.18540378206837
"1","2000","Stratum_1"," [g*km2/km2]",57308.4293916554,8900.80014559012,0.190864370651211
"1","2001","Stratum_1"," [g*km2/km2]",67238.7532218584,10548.5876582417,0.194691000765043
"1","2002","Stratum_1"," [g*km2/km2]",38362.0774094454,6392.51504995839,0.20577687517908
"1","2003","Stratum_1"," [g*km2/km2]",40364.1508447299,7123.58043252891,0.222193387519253
"1","2004","Stratum_1"," [g*km2/km2]",68278.4781319332,11469.1011297386,0.21054574664659
"1","2005","Stratum_1"," [g*km2/km2]",38062.3902952376,7033.40599756406,0.232627270214736
"1","2006","Stratum_1"," [g*km2/km2]",35537.2338770225,6224.17036933079,0.218734553581311
"1","2007","Stratum_1"," [g*km2/km2]",35765.9988862008,6221.80857631872,0.217440004190567
"1","2008","Stratum_1"," [g*km2/km2]",33167.3668017524,5933.86157168872,0.224701056867292
"1","2009","Stratum_1"," [g*km2/km2]",40856.642251337,6383.23474878457,0.192843420363642
"1","2010","Stratum_1"," [g*km2/km2]",42617.0484916224,7002.73972364574,0.20475496640651
