"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",102921.364295775,23827.8409117316,0.285361769473823
"1","1986","Stratum_1"," [g/km^2]",98719.1401151751,22599.2234105593,0.283268820226521
"1","1987","Stratum_1"," [g/km^2]",111367.311970968,24945.5910109236,0.276777795863991
"1","1988","Stratum_1"," [g/km^2]",60079.1518386318,13305.4395473736,0.27197726734972
"1","1989","Stratum_1"," [g/km^2]",66258.4548845154,14715.3044676834,0.270617483897314
"1","1990","Stratum_1"," [g/km^2]",78907.9278663348,18040.0931410524,0.278295833397606
"1","1991","Stratum_1"," [g/km^2]",67837.8480883527,15447.8413785027,0.277986844323393
"1","1992","Stratum_1"," [g/km^2]",75111.169920643,16330.9421673086,0.263347732756795
"1","1993","Stratum_1"," [g/km^2]",80845.245438375,17748.5504493886,0.265059420645798
"1","1994","Stratum_1"," [g/km^2]",59515.682523891,13291.6028523091,0.273046869647979
"1","1995","Stratum_1"," [g/km^2]",45447.3979443368,10697.7021548265,0.286117390170086
"1","1996","Stratum_1"," [g/km^2]",70359.3776230619,15616.9069830475,0.27099777061625
"1","1997","Stratum_1"," [g/km^2]",60507.6995665842,13601.1420247281,0.273899797698333
"1","1998","Stratum_1"," [g/km^2]",51263.8505237782,10771.9654524274,0.254229610989009
"1","1999","Stratum_1"," [g/km^2]",90268.2784000358,19793.7544235962,0.26664183887794
"1","2000","Stratum_1"," [g/km^2]",95126.5196532736,22182.700230702,0.284804935095348
"1","2001","Stratum_1"," [g/km^2]",74125.3124833171,18034.5818553163,0.299406979898906
"1","2002","Stratum_1"," [g/km^2]",79234.4216712565,18855.5496443089,0.292451735050662
"1","2003","Stratum_1"," [g/km^2]",65881.7999778379,15423.6743979548,0.288300069379175
"1","2004","Stratum_1"," [g/km^2]",50250.6874772504,11780.6694428189,0.289515910863958
"1","2005","Stratum_1"," [g/km^2]",64026.7563589964,15724.6101757127,0.302550383196905
"1","2006","Stratum_1"," [g/km^2]",59999.0689172326,14235.4518052458,0.289861588671252
"1","2007","Stratum_1"," [g/km^2]",86069.744110818,19648.0294903375,0.278181004963733
"1","2008","Stratum_1"," [g/km^2]",91348.3062938986,20497.5632850424,0.272275645751545
"1","2009","Stratum_1"," [g/km^2]",62555.6414781526,13102.5336882043,0.253341748060401
"1","2010","Stratum_1"," [g/km^2]",68032.1684685263,14443.0139693498,0.257262233793107
"1","2011","Stratum_1"," [g/km^2]",73636.6487119625,17054.4304407207,0.279575385170713
"1","2012","Stratum_1"," [g/km^2]",81027.8261362241,18231.0016542165,0.271915933352704
"1","2013","Stratum_1"," [g/km^2]",71906.2956150727,15213.9606853916,0.257659063627173
"1","2014","Stratum_1"," [g/km^2]",54991.584282302,12355.2026023134,0.273571048957458
"1","2015","Stratum_1"," [g/km^2]",73069.9627639352,16336.511035076,0.271641191621742
"1","2016","Stratum_1"," [g/km^2]",71369.6210144476,15962.6771517982,0.270387982802093
"1","2017","Stratum_1"," [g/km^2]",66466.8023906507,15292.9945910574,0.284709448877173
"1","2018","Stratum_1"," [g/km^2]",55029.3908438461,12622.3674835225,0.280448741747266
"1","2019","Stratum_1"," [g/km^2]",62844.397435125,13944.6082816097,0.269836807963955
"1","2020","Stratum_1"," [g/km^2]",63569.575105679,17899.1297621919,0.355784576451693
"1","2021","Stratum_1"," [g/km^2]",75843.9069495513,17409.6710103785,0.279008657140489
"1","2022","Stratum_1"," [g/km^2]",57399.3011491992,12799.4687140265,0.272827508302884
"1","1985","Stratum_2"," [g/km^2]",72792.3415405293,18522.3220335804,0.312360109469935
"1","1986","Stratum_2"," [g/km^2]",68364.4085987034,17337.6943759814,0.313106813004885
"1","1987","Stratum_2"," [g/km^2]",70630.407751435,17576.9713570037,0.306767225380099
"1","1988","Stratum_2"," [g/km^2]",39692.5033975279,9644.09492726081,0.2975393975507
"1","1989","Stratum_2"," [g/km^2]",43172.3960247527,10815.1678919705,0.304068880197761
"1","1990","Stratum_2"," [g/km^2]",51869.1997975504,13060.6789861383,0.305315827041103
"1","1991","Stratum_2"," [g/km^2]",42304.5982640305,10646.4660048128,0.308760803232054
"1","1992","Stratum_2"," [g/km^2]",47436.7473600676,11487.5138952005,0.293688489559929
"1","1993","Stratum_2"," [g/km^2]",50245.4378099398,12213.2480008788,0.296590606048678
"1","1994","Stratum_2"," [g/km^2]",39660.072090833,9697.60365196876,0.299832069284446
"1","1995","Stratum_2"," [g/km^2]",27204.4407373528,7196.25697055459,0.323948168559308
"1","1996","Stratum_2"," [g/km^2]",49613.3207793654,11916.5984348875,0.290933030258656
"1","1997","Stratum_2"," [g/km^2]",37944.6051066668,9491.73666058746,0.304263076135929
"1","1998","Stratum_2"," [g/km^2]",31730.4756159919,7380.95328270262,0.280564773398885
"1","1999","Stratum_2"," [g/km^2]",53126.6570375979,13092.5634579779,0.298582712435088
"1","2000","Stratum_2"," [g/km^2]",60262.9427884128,15465.8938348664,0.312114566247709
"1","2001","Stratum_2"," [g/km^2]",47535.6866335197,12775.1533457976,0.329875169033975
"1","2002","Stratum_2"," [g/km^2]",48832.2220731919,12793.9056015496,0.321084625628155
"1","2003","Stratum_2"," [g/km^2]",42572.6805833476,10885.0724957003,0.313262929112479
