"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",13026.3301675508,10620.1366739535,1.09702109580887
"1","1974","Stratum_1"," [g/km^2]",27206.9624001563,16869.3332934835,0.798692720220222
"1","1975","Stratum_1"," [g/km^2]",0,0,0
"1","1976","Stratum_1"," [g/km^2]",68411.2793331858,56409.3156159845,1.09396399522525
"1","1977","Stratum_1"," [g/km^2]",0,0,0
"1","1978","Stratum_1"," [g/km^2]",4550.2892439524,4948.2157481798,1.46835869839968
"1","1979","Stratum_1"," [g/km^2]",13550.0934851749,6938.18547901687,0.647993338659084
"1","1980","Stratum_1"," [g/km^2]",2352.68489226664,2002.06810765981,1.12706092452112
"1","1981","Stratum_1"," [g/km^2]",30974.9129564454,21792.885566628,0.922189367062832
"1","1982","Stratum_1"," [g/km^2]",5296.72072513449,3089.36855405992,0.742031896125962
"1","1983","Stratum_1"," [g/km^2]",441.026547510275,486.843076588693,1.49542355795581
"1","1984","Stratum_1"," [g/km^2]",533.66278548366,589.70010675565,1.50044889066981
"1","1985","Stratum_1"," [g/km^2]",3870.34089315397,2352.87498138561,0.764074342154831
"1","1986","Stratum_1"," [g/km^2]",7836.26202149336,3759.15758625892,0.582596727044436
"1","1987","Stratum_1"," [g/km^2]",19471.8703038582,9937.26981496923,0.631885912977433
"1","1988","Stratum_1"," [g/km^2]",14682.4032292824,6241.72945372756,0.509833486840491
"1","1989","Stratum_1"," [g/km^2]",5399.69671727552,2242.33100403703,0.498845354233662
"1","1990","Stratum_1"," [g/km^2]",15257.2002230996,7243.6941671991,0.591707194163235
"1","1991","Stratum_1"," [g/km^2]",23048.798754926,8496.56781301436,0.44148083696002
"1","1992","Stratum_1"," [g/km^2]",25973.9323220007,9096.4447488372,0.40184267681878
"1","1993","Stratum_1"," [g/km^2]",43681.4263846129,15787.9658295725,0.412340406195123
"1","1994","Stratum_1"," [g/km^2]",25063.4449278523,8270.99945907334,0.389103452100885
"1","1995","Stratum_1"," [g/km^2]",30162.0199093759,9914.83794165892,0.381452477553907
"1","1996","Stratum_1"," [g/km^2]",22878.9094562753,7454.90406895359,0.381172190257831
"1","1997","Stratum_1"," [g/km^2]",42830.4103570149,13764.1997299595,0.374166754820401
"1","1998","Stratum_1"," [g/km^2]",43466.8826329466,14086.0762966046,0.376361879610276
"1","1999","Stratum_1"," [g/km^2]",68240.3723537257,21543.6421863143,0.363799335057117
"1","2000","Stratum_1"," [g/km^2]",94164.3537488064,33295.2680089662,0.407976915639324
"1","2001","Stratum_1"," [g/km^2]",94162.1387366499,31561.0361273176,0.390242277004703
"1","2002","Stratum_1"," [g/km^2]",57100.0289170832,20964.9280538428,0.428261070152536
"1","2003","Stratum_1"," [g/km^2]",31154.662848362,11113.3834611788,0.423218325243663
"1","2004","Stratum_1"," [g/km^2]",51343.8856915983,17059.0307963791,0.393508639419537
"1","2005","Stratum_1"," [g/km^2]",22357.7115523816,8362.58094116878,0.44865775080548
"1","2006","Stratum_1"," [g/km^2]",38109.5108954984,14811.497726222,0.457681913628402
"1","2007","Stratum_1"," [g/km^2]",21708.2106418195,8882.53905853295,0.498470910305663
"1","2008","Stratum_1"," [g/km^2]",21746.2993606998,9487.76142844522,0.534135482731414
"1","2009","Stratum_1"," [g/km^2]",25473.7706662195,9732.70695909787,0.45409372082471
"1","2010","Stratum_1"," [g/km^2]",30425.5623870445,11931.383639889,0.470228975522319
