"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",63929.0466961457,68741.7022383244,1.07528120300391
"1","1974","Stratum_1"," [g/km^2]",809641.648116799,489610.471546524,0.604724908464562
"1","1975","Stratum_1"," [g/km^2]",115352.984799824,126600.186385482,1.09750247559851
"1","1976","Stratum_1"," [g/km^2]",707110.848585053,543184.031930923,0.768173806154784
"1","1977","Stratum_1"," [g/km^2]",1252.39840364287,1361.16563072736,1.08684714605842
"1","1978","Stratum_1"," [g/km^2]",68783.3920258669,36982.7763635003,0.537670144990702
"1","1979","Stratum_1"," [g/km^2]",94744.964594107,34383.6880659452,0.362907814818943
"1","1980","Stratum_1"," [g/km^2]",8204.52784646482,6672.03235103025,0.813213444562208
"1","1981","Stratum_1"," [g/km^2]",564428.535082196,365832.586519454,0.648146866752897
"1","1982","Stratum_1"," [g/km^2]",72057.0104410531,44410.0365676695,0.616318055604038
"1","1983","Stratum_1"," [g/km^2]",44327.1002936414,38527.041060121,0.869153199846179
"1","1984","Stratum_1"," [g/km^2]",79719.8889797618,49088.0698424464,0.615756876617179
"1","1985","Stratum_1"," [g/km^2]",59711.1344195261,31124.6481241418,0.521253672815228
"1","1986","Stratum_1"," [g/km^2]",136991.522170778,49366.4041304168,0.360361016128246
"1","1987","Stratum_1"," [g/km^2]",399599.852695354,122515.303555451,0.306594966762548
"1","1988","Stratum_1"," [g/km^2]",264186.913762085,67903.6790715657,0.257028927377975
"1","1989","Stratum_1"," [g/km^2]",116767.731147378,29974.5505032611,0.256702345834133
"1","1990","Stratum_1"," [g/km^2]",286593.647824891,70652.0892282406,0.246523570094648
"1","1991","Stratum_1"," [g/km^2]",361528.360225245,66162.3859252171,0.183007457240689
"1","1992","Stratum_1"," [g/km^2]",607378.421123281,95723.7850975071,0.157601557395596
"1","1993","Stratum_1"," [g/km^2]",864959.152063075,134264.499837303,0.155226405220477
"1","1994","Stratum_1"," [g/km^2]",337090.590371531,54375.0039631562,0.161306798576684
"1","1995","Stratum_1"," [g/km^2]",384611.728734379,53346.918856116,0.138703307441149
"1","1996","Stratum_1"," [g/km^2]",376492.475981213,73097.152770126,0.194153024119859
"1","1997","Stratum_1"," [g/km^2]",509952.80070923,84008.67722791,0.164738142649815
"1","1998","Stratum_1"," [g/km^2]",455575.107831655,73865.1449891821,0.162136042376742
"1","1999","Stratum_1"," [g/km^2]",574964.437392218,86836.0881073486,0.151028624485366
"1","2000","Stratum_1"," [g/km^2]",670913.839614465,115474.575602146,0.172115357865481
"1","2001","Stratum_1"," [g/km^2]",764258.807077356,129885.225288817,0.169949268606425
"1","2002","Stratum_1"," [g/km^2]",624055.09825698,119555.832477644,0.19157896924738
"1","2003","Stratum_1"," [g/km^2]",345578.43383665,82062.8837288452,0.237465292083692
"1","2004","Stratum_1"," [g/km^2]",552326.011683188,118216.962884843,0.214034755532484
"1","2005","Stratum_1"," [g/km^2]",289062.521518083,71149.8479089365,0.246139996064781
"1","2006","Stratum_1"," [g/km^2]",394571.031459757,97485.9036120269,0.247068070991852
"1","2007","Stratum_1"," [g/km^2]",358951.722642375,88158.5522425008,0.245600025523023
"1","2008","Stratum_1"," [g/km^2]",406237.213461604,100369.619793231,0.247071455955418
"1","2009","Stratum_1"," [g/km^2]",220249.657961341,50764.6247003948,0.230486735690209
"1","2010","Stratum_1"," [g/km^2]",156457.691031564,39443.3885337019,0.252102586160143
"1","2011","Stratum_1"," [g/km^2]",260275.956445017,63541.6423982053,0.24413181788318
"1","2012","Stratum_1"," [g/km^2]",402810.141006726,77033.1890545008,0.191239448098241
"1","2013","Stratum_1"," [g/km^2]",314141.167950112,70201.1352830759,0.22347002699826
"1","2014","Stratum_1"," [g/km^2]",224795.669561823,57421.9328376303,0.255440564978667
"1","2015","Stratum_1"," [g/km^2]",249510.838606659,59523.5317642723,0.238560906198181
"1","2016","Stratum_1"," [g/km^2]",272879.306772313,67377.7448969882,0.24691408701506
"1","2017","Stratum_1"," [g/km^2]",191556.977726998,75319.1128616855,0.393194305712152
"1","2018","Stratum_1"," [g/km^2]",87609.6027223347,55168.8794325753,0.629712699501954
"1","2019","Stratum_1"," [g/km^2]",63363.128913791,29413.0621419468,0.464198385498994
"1","2020","Stratum_1"," [g/km^2]",0,0,0
"1","2021","Stratum_1"," [g/km^2]",128614.299258836,42653.7315768858,0.331640663772889
"1","2022","Stratum_1"," [g/km^2]",27228.1980551666,14873.865262005,0.546266970435191
"1","1973","Stratum_2"," [g/km^2]",35374.0033761061,38775.8276217419,1.09616735231992
"1","1974","Stratum_2"," [g/km^2]",471046.342568229,298289.246217355,0.633248195052374
"1","1975","Stratum_2"," [g/km^2]",57617.923820833,64673.7673772784,1.12245917743213
"1","1976","Stratum_2"," [g/km^2]",325421.869737313,271925.894765693,0.835610387787393
"1","1977","Stratum_2"," [g/km^2]",668.443789882615,738.668462226156,1.105056959772
"1","1978","Stratum_2"," [g/km^2]",37837.6747959339,22347.8632115318,0.5906246441426
"1","1979","Stratum_2"," [g/km^2]",40961.4747333526,17975.421217789,0.438837257076407
"1","1980","Stratum_2"," [g/km^2]",4666.38342854947,3823.14615903332,0.819295331721536
"1","1981","Stratum_2"," [g/km^2]",271747.334416769,181037.757783615,0.666198835665351
"1","1982","Stratum_2"," [g/km^2]",34664.8506069962,23604.5534994853,0.680936253471728
"1","1983","Stratum_2"," [g/km^2]",20777.0951364388,19259.4794749529,0.926957274271497
"1","1984","Stratum_2"," [g/km^2]",25949.2502275277,19389.8081733828,0.747220362953436
"1","1985","Stratum_2"," [g/km^2]",28190.6721998893,16347.0977184683,0.579876123653854
"1","1986","Stratum_2"," [g/km^2]",61795.5794675556,27732.1759112372,0.448772811100466
"1","1987","Stratum_2"," [g/km^2]",219761.562443457,78791.6197531254,0.358532306000499
"1","1988","Stratum_2"," [g/km^2]",113073.207875738,37029.7501762871,0.327484740832516
"1","1989","Stratum_2"," [g/km^2]",55588.4225637228,16767.1751608853,0.301630706315951
"1","1990","Stratum_2"," [g/km^2]",123730.051973445,39626.0311786753,0.320261977964577
"1","1991","Stratum_2"," [g/km^2]",178099.240974698,44551.5612807536,0.250150202981958
"1","1992","Stratum_2"," [g/km^2]",338488.032279117,72832.0361622851,0.215168718586268
"1","1993","Stratum_2"," [g/km^2]",506751.138773158,109584.977123408,0.216250085572007
"1","1994","Stratum_2"," [g/km^2]",178234.281067309,37304.6553543259,0.209301236164767
"1","1995","Stratum_2"," [g/km^2]",212649.324439913,38713.8842233135,0.182055053902853
"1","1996","Stratum_2"," [g/km^2]",239814.678653359,49414.6953514061,0.206053672898116
"1","1997","Stratum_2"," [g/km^2]",281614.600093146,52798.0166171412,0.187483236308337
"1","1998","Stratum_2"," [g/km^2]",315516.626016991,59162.157334844,0.187508842502829
"1","1999","Stratum_2"," [g/km^2]",390772.314683294,64484.4837476106,0.165018045866101
