"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",65472.8912152782,71308.0582827702,1.08912340602624
"1","1974","Stratum_1"," [g/km^2]",2549926.23446142,1377419.20520177,0.540180020341932
"1","1975","Stratum_1"," [g/km^2]",186708.283888382,202840.575268638,1.08640372587805
"1","1976","Stratum_1"," [g/km^2]",1851100.90056909,1421214.45745733,0.767767147117915
"1","1977","Stratum_1"," [g/km^2]",1390.01560639074,1515.62646735115,1.09036651127001
"1","1978","Stratum_1"," [g/km^2]",89096.4328067158,45673.6898708938,0.512632082251584
"1","1979","Stratum_1"," [g/km^2]",139539.496306828,49072.9916398687,0.351678148041785
"1","1980","Stratum_1"," [g/km^2]",16651.9036544868,12829.6138843747,0.77045929105635
"1","1981","Stratum_1"," [g/km^2]",498438.055356746,313171.424181826,0.628305605513369
"1","1982","Stratum_1"," [g/km^2]",80450.0741539157,50566.7224525032,0.628547866292344
"1","1983","Stratum_1"," [g/km^2]",67553.3331111647,60127.558987436,0.890075385155166
"1","1984","Stratum_1"," [g/km^2]",48017.0813609213,27923.6238525364,0.581535217491619
"1","1985","Stratum_1"," [g/km^2]",81613.597525755,41844.7187945262,0.512717489035093
"1","1986","Stratum_1"," [g/km^2]",156879.023257064,55105.1268749227,0.351258732562529
"1","1987","Stratum_1"," [g/km^2]",867971.630657304,265133.879329738,0.30546376167727
"1","1988","Stratum_1"," [g/km^2]",426572.663938496,114555.824106487,0.268549379251844
"1","1989","Stratum_1"," [g/km^2]",152563.682682637,40447.6692007032,0.265119905927035
"1","1990","Stratum_1"," [g/km^2]",467376.322118488,115307.054237683,0.246711373214263
"1","1991","Stratum_1"," [g/km^2]",427736.864488934,70912.9815256496,0.165786462222229
"1","1992","Stratum_1"," [g/km^2]",1084410.94761769,141407.764687194,0.130400532194784
"1","1993","Stratum_1"," [g/km^2]",1292717.76021223,167946.062218018,0.129917037877195
"1","1994","Stratum_1"," [g/km^2]",386819.140577487,60700.321171838,0.156921710443849
"1","1995","Stratum_1"," [g/km^2]",443090.093130646,60345.9204663269,0.136193341719636
"1","1996","Stratum_1"," [g/km^2]",611134.877838202,109502.970834142,0.179179711067204
"1","1997","Stratum_1"," [g/km^2]",516525.765703265,84152.410623965,0.162920063647531
"1","1998","Stratum_1"," [g/km^2]",721599.901624674,109588.996602786,0.151869472759138
"1","1999","Stratum_1"," [g/km^2]",653207.951461354,94769.487932381,0.145083181734641
"1","2000","Stratum_1"," [g/km^2]",1048724.62710711,179219.661058158,0.170892965060366
"1","2001","Stratum_1"," [g/km^2]",858815.293629533,149692.691242351,0.174301380462987
"1","2002","Stratum_1"," [g/km^2]",675649.663411376,130153.032953782,0.192633904820786
"1","2003","Stratum_1"," [g/km^2]",397027.155084837,92173.0294593535,0.232157997957748
"1","2004","Stratum_1"," [g/km^2]",577612.455220656,126793.473567315,0.219513053122926
"1","2005","Stratum_1"," [g/km^2]",286193.843561504,70778.1242733374,0.247308339664295
"1","2006","Stratum_1"," [g/km^2]",475957.555411258,121239.577876694,0.254727709431854
"1","2007","Stratum_1"," [g/km^2]",293528.901663715,70966.5363458758,0.241770183255
"1","2008","Stratum_1"," [g/km^2]",394235.723991868,97862.6758010178,0.248233911453027
"1","2009","Stratum_1"," [g/km^2]",158773.73960047,34299.4440359627,0.216027185114312
"1","2010","Stratum_1"," [g/km^2]",120625.158571792,29943.8697821698,0.248239008650493
"1","2011","Stratum_1"," [g/km^2]",316729.732485456,75614.8192551122,0.238736094214286
"1","2012","Stratum_1"," [g/km^2]",298436.773288186,54592.7107699166,0.182928900377834
"1","2013","Stratum_1"," [g/km^2]",284471.960162241,60226.9042145562,0.211714729916465
"1","2014","Stratum_1"," [g/km^2]",173408.910382063,44232.4889204583,0.25507621738124
"1","2015","Stratum_1"," [g/km^2]",170141.381383941,40143.2126281085,0.235940323874069
"1","2016","Stratum_1"," [g/km^2]",248501.032635009,60897.4079018545,0.245058973220842
"1","2017","Stratum_1"," [g/km^2]",169015.631443371,67038.8780782292,0.396643064938578
"1","2018","Stratum_1"," [g/km^2]",54954.6182397215,34584.8767366899,0.629335219577446
"1","2019","Stratum_1"," [g/km^2]",46373.0613043244,21532.9261382403,0.464341269102992
"1","2020","Stratum_1"," [g/km^2]",0,0,0
"1","2021","Stratum_1"," [g/km^2]",86065.6391815394,28843.580521814,0.335134680879713
"1","2022","Stratum_1"," [g/km^2]",23848.3200377607,12992.9890899635,0.544817793009763
"1","1973","Stratum_2"," [g/km^2]",39997.3838001793,43562.0868765922,1.08912340602629
"1","1974","Stratum_2"," [g/km^2]",1557749.72463878,841465.277942987,0.540180020341913
"1","1975","Stratum_2"," [g/km^2]",114060.075105014,123915.290568014,1.08640372587802
"1","1976","Stratum_2"," [g/km^2]",1130837.38626234,868219.793904897,0.767767147117894
"1","1977","Stratum_2"," [g/km^2]",849.160418382136,925.896082899879,1.09036651126996
"1","1978","Stratum_2"," [g/km^2]",54429.0033943942,27902.0533449465,0.512632082251575
"1","1979","Stratum_2"," [g/km^2]",85244.6666929155,29978.6865130048,0.351678148041795
"1","1980","Stratum_2"," [g/km^2]",10172.6465581335,7837.61005534636,0.770459291056358
"1","1981","Stratum_2"," [g/km^2]",304495.766578693,191316.396996483,0.62830560551337
"1","1982","Stratum_2"," [g/km^2]",49146.9436122319,30891.2065422586,0.628547866292351
"1","1983","Stratum_2"," [g/km^2]",41268.3255814163,36731.9207865879,0.890075385155166
"1","1984","Stratum_2"," [g/km^2]",29333.6310113795,17058.5394900227,0.581535217491667
"1","1985","Stratum_2"," [g/km^2]",49857.7399433567,25562.9352327234,0.51271748903511
"1","1986","Stratum_2"," [g/km^2]",95837.3822652554,33663.7174266044,0.351258732562534
"1","1987","Stratum_2"," [g/km^2]",530243.79700779,161970.264840049,0.305463761677292
"1","1988","Stratum_2"," [g/km^2]",260593.204935965,69982.1434228025,0.268549379251849
"1","1989","Stratum_2"," [g/km^2]",93201.1410671062,24709.4777520037,0.265119905927038
"1","1990","Stratum_2"," [g/km^2]",285520.156325812,70441.0698474953,0.246711373214273
