"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",0,0,0
"1","1974","Stratum_1"," [g/km^2]",1539491.51843858,1572041.92421399,1.02114360838338
"1","1975","Stratum_1"," [g/km^2]",144203.52411306,154987.656180921,1.07478410901668
"1","1976","Stratum_1"," [g/km^2]",144268.372476803,150109.172707703,1.04048565968149
"1","1977","Stratum_1"," [g/km^2]",3246.59123345028,3702.58879989804,1.14045425914712
"1","1978","Stratum_1"," [g/km^2]",60783.6877959991,34867.3855948165,0.573630637743438
"1","1979","Stratum_1"," [g/km^2]",54408.9639859923,26052.8982301422,0.478834668435327
"1","1980","Stratum_1"," [g/km^2]",1599.42293567381,2093.35670386319,1.30881998574147
"1","1981","Stratum_1"," [g/km^2]",480341.850346147,451362.850416701,0.939670049760265
"1","1982","Stratum_1"," [g/km^2]",71436.3696451262,107642.470323031,1.50683007630102
"1","1983","Stratum_1"," [g/km^2]",59546.7081217614,62109.776025514,1.04304298230075
"1","1984","Stratum_1"," [g/km^2]",124548.439872355,78610.0688861826,0.631160606802854
"1","1985","Stratum_1"," [g/km^2]",81606.7758992105,71098.3877445409,0.871231426080987
"1","1986","Stratum_1"," [g/km^2]",88493.4715822661,42676.8839817507,0.482260252860315
"1","1987","Stratum_1"," [g/km^2]",477460.833984898,178638.307902572,0.374142327888242
"1","1988","Stratum_1"," [g/km^2]",269083.424617649,87615.752648522,0.325608137227398
"1","1989","Stratum_1"," [g/km^2]",148772.433593336,48434.7808642482,0.325562872733823
"1","1990","Stratum_1"," [g/km^2]",324387.334788458,85710.1994788551,0.264221781453796
"1","1991","Stratum_1"," [g/km^2]",341042.206426803,76844.3291973988,0.225322050318989
"1","1992","Stratum_1"," [g/km^2]",576971.624525888,123426.839004112,0.213921852925668
"1","1993","Stratum_1"," [g/km^2]",580650.654933577,100978.71531241,0.173906142108738
"1","1994","Stratum_1"," [g/km^2]",262570.671067771,57038.1118369446,0.217229561873733
"1","1995","Stratum_1"," [g/km^2]",291102.451166119,56368.1198063669,0.193636706185616
"1","1996","Stratum_1"," [g/km^2]",320035.602178726,87439.3177599511,0.273217470696024
"1","1997","Stratum_1"," [g/km^2]",475778.428523211,119188.974800404,0.250513616538605
"1","1998","Stratum_1"," [g/km^2]",351389.169890578,79893.2906987685,0.227364123725409
"1","1999","Stratum_1"," [g/km^2]",398969.694817576,108523.401441065,0.27200913465542
"1","2000","Stratum_1"," [g/km^2]",536323.411844076,148385.422847711,0.276671537305277
"1","2001","Stratum_1"," [g/km^2]",431015.985195538,107466.264268609,0.249332433041561
"1","2002","Stratum_1"," [g/km^2]",742864.884045327,218703.773804421,0.294405858321713
"1","2003","Stratum_1"," [g/km^2]",282914.409850302,95131.6424880501,0.336255910536285
"1","2004","Stratum_1"," [g/km^2]",362608.734991621,122709.260066131,0.338406795602887
"1","2005","Stratum_1"," [g/km^2]",324676.244876201,112366.260501452,0.346087101457937
"1","2006","Stratum_1"," [g/km^2]",305011.10494386,128229.806067037,0.420410286670183
"1","2007","Stratum_1"," [g/km^2]",479673.842850781,139665.192325786,0.291166996923854
"1","2008","Stratum_1"," [g/km^2]",575162.91621848,166286.844893937,0.289112597848317
"1","2009","Stratum_1"," [g/km^2]",325592.566697669,101722.062287944,0.312421328655201
"1","2010","Stratum_1"," [g/km^2]",149853.268925678,53477.7269693946,0.356867269915332
"1","2011","Stratum_1"," [g/km^2]",179044.170495614,64149.248580559,0.35828727851338
"1","2012","Stratum_1"," [g/km^2]",365267.864853245,90671.2951170816,0.248232335339738
"1","2013","Stratum_1"," [g/km^2]",368045.305749448,119760.496309098,0.325396070641985
"1","2014","Stratum_1"," [g/km^2]",146497.168897522,57658.4423328232,0.393580591124987
"1","2015","Stratum_1"," [g/km^2]",315154.168948673,90017.1174001847,0.285628832709002
"1","2016","Stratum_1"," [g/km^2]",272958.867386522,94396.9471565769,0.345828468810676
"1","2017","Stratum_1"," [g/km^2]",274650.628552311,154997.784868186,0.564345276343194
"1","2018","Stratum_1"," [g/km^2]",46481.5328964745,48999.641535616,1.0541743888858
"1","2019","Stratum_1"," [g/km^2]",105875.269147638,55505.7898186648,0.524256422349812
"1","2020","Stratum_1"," [g/km^2]",0,0,0
"1","2021","Stratum_1"," [g/km^2]",79012.0125347442,54019.151842599,0.68368277315865
"1","2022","Stratum_1"," [g/km^2]",24024.4784537034,17697.7509557779,0.736654949237826
"1","1973","Stratum_2"," [g/km^2]",0,0,0
"1","1974","Stratum_2"," [g/km^2]",412628.693766712,457102.12221501,1.10778074603179
"1","1975","Stratum_2"," [g/km^2]",39535.4766238274,45782.8149912321,1.15801854184906
"1","1976","Stratum_2"," [g/km^2]",41157.5172989802,45508.8914619113,1.10572489422337
"1","1977","Stratum_2"," [g/km^2]",905.312450428938,1069.80821854455,1.18170054773651
"1","1978","Stratum_2"," [g/km^2]",16450.9125897262,11471.4819280596,0.697315839804761
"1","1979","Stratum_2"," [g/km^2]",14029.3108637737,8980.03197448518,0.640090740142718
"1","1980","Stratum_2"," [g/km^2]",380.83077077155,524.388975132629,1.37696062235265
"1","1981","Stratum_2"," [g/km^2]",86763.8524382782,96067.727396172,1.10723215597777
"1","1982","Stratum_2"," [g/km^2]",20275.0682322293,31012.7286054914,1.52959922256605
"1","1983","Stratum_2"," [g/km^2]",13454.2864813754,15498.5521176322,1.15194158672677
"1","1984","Stratum_2"," [g/km^2]",16490.3038650895,14971.3068658629,0.907885445189251
"1","1985","Stratum_2"," [g/km^2]",14155.4269503091,15440.8594082683,1.09080845547589
"1","1986","Stratum_2"," [g/km^2]",12753.7135619848,9741.72244783776,0.76383418841043
"1","1987","Stratum_2"," [g/km^2]",132263.974007117,70073.4185046545,0.529799735949896
"1","1988","Stratum_2"," [g/km^2]",68461.5575534671,31791.4221522995,0.464368958118884
"1","1989","Stratum_2"," [g/km^2]",31181.9796220611,15469.0695584614,0.496090041297988
"1","1990","Stratum_2"," [g/km^2]",111006.381917169,42050.8279504527,0.378814507996759
"1","1991","Stratum_2"," [g/km^2]",68320.0620887294,28487.2240580556,0.41696718631576
"1","1992","Stratum_2"," [g/km^2]",174503.537876348,64502.1644795242,0.369632416995635
"1","1993","Stratum_2"," [g/km^2]",121482.255293822,48156.8836660893,0.396410846585085
"1","1994","Stratum_2"," [g/km^2]",46038.4610915601,19700.914609032,0.427922961409406
"1","1995","Stratum_2"," [g/km^2]",52194.9464544657,20909.5629647787,0.400605123391019
"1","1996","Stratum_2"," [g/km^2]",135661.039397242,49143.1665648162,0.362249668609094
"1","1997","Stratum_2"," [g/km^2]",78351.9745979609,30733.2825531082,0.392246432981509
"1","1998","Stratum_2"," [g/km^2]",141459.02687084,43196.0878983645,0.30536112720332
"1","1999","Stratum_2"," [g/km^2]",87053.4993373446,34338.3610560207,0.394451243400965
"1","2000","Stratum_2"," [g/km^2]",204195.204277908,80543.9322007316,0.394445758339711
"1","2001","Stratum_2"," [g/km^2]",60172.0125848837,28938.7259457968,0.480933322696714
"1","2002","Stratum_2"," [g/km^2]",185372.572986051,82184.4967192483,0.443347661390193
"1","2003","Stratum_2"," [g/km^2]",60004.382871429,30169.6568909884,0.502790887052912
"1","2004","Stratum_2"," [g/km^2]",85784.3301991741,40486.6796335464,0.471958917666483
"1","2005","Stratum_2"," [g/km^2]",104018.249213217,47883.2037272598,0.460334644059514
"1","2006","Stratum_2"," [g/km^2]",60628.6609412455,37088.6534556558,0.611734662779343
"1","2007","Stratum_2"," [g/km^2]",93352.9264923191,47039.6084175607,0.503890024502136
"1","2008","Stratum_2"," [g/km^2]",144511.52066686,64365.9514974688,0.445403599660755
"1","2009","Stratum_2"," [g/km^2]",48867.1511926456,27106.8725627851,0.55470539823211
"1","2010","Stratum_2"," [g/km^2]",30646.6915005112,16404.856410787,0.535289638377878
"1","2011","Stratum_2"," [g/km^2]",60901.7885963459,30660.8940149814,0.503448169941284
"1","2012","Stratum_2"," [g/km^2]",53473.4678753757,25068.1084113647,0.46879526253633
"1","2013","Stratum_2"," [g/km^2]",76404.9068336487,37734.3954360949,0.493873980086794
"1","2014","Stratum_2"," [g/km^2]",23590.3011160847,14549.091063745,0.61674037105973
"1","2015","Stratum_2"," [g/km^2]",41420.7177252209,22071.6716601987,0.532865504808945
"1","2016","Stratum_2"," [g/km^2]",52478.0259918004,29212.3885346252,0.5566594394993
"1","2017","Stratum_2"," [g/km^2]",48596.6744773255,39519.5317127342,0.813214734089953
"1","2018","Stratum_2"," [g/km^2]",11431.661168288,13238.006175678,1.158012469124
"1","2019","Stratum_2"," [g/km^2]",26491.9109157758,17888.7159620141,0.675252004994537
"1","2020","Stratum_2"," [g/km^2]",0,0,0
"1","2021","Stratum_2"," [g/km^2]",14601.9453166173,13124.3918943719,0.898811193289163
"1","2022","Stratum_2"," [g/km^2]",5523.2487921164,4796.86464630514,0.868486071667077
"1","1973","Stratum_3"," [g/km^2]",0,0,0
"1","1974","Stratum_3"," [g/km^2]",11722.3127997705,14846.746462035,1.26653730502105
"1","1975","Stratum_3"," [g/km^2]",1179.36255259333,1469.56681818532,1.2460687470141
"1","1976","Stratum_3"," [g/km^2]",1061.46990457485,1329.58914251917,1.25259240680188
"1","1977","Stratum_3"," [g/km^2]",28.7956571144509,36.446249212172,1.26568562291575
"1","1978","Stratum_3"," [g/km^2]",466.451920732755,365.93820776224,0.784514312187596
"1","1979","Stratum_3"," [g/km^2]",592.447831852292,421.629120491947,0.71167299097664
"1","1980","Stratum_3"," [g/km^2]",12.5694438489551,18.0238964681943,1.43394542231021
"1","1981","Stratum_3"," [g/km^2]",2953.85128302832,3505.57556454311,1.18678133346956
"1","1982","Stratum_3"," [g/km^2]",621.185197833099,1001.52088510726,1.61227422771968
"1","1983","Stratum_3"," [g/km^2]",470.118659063755,576.692282835438,1.22669515816268
"1","1984","Stratum_3"," [g/km^2]",587.454928528127,576.58335281515,0.981493770525996
"1","1985","Stratum_3"," [g/km^2]",490.759768486493,563.429164714592,1.14807529242304
"1","1986","Stratum_3"," [g/km^2]",549.770037081683,469.185802592349,0.85342192361538
"1","1987","Stratum_3"," [g/km^2]",3863.1441581074,2643.33715630133,0.684245021184075
"1","1988","Stratum_3"," [g/km^2]",2810.38766798334,1761.24120554293,0.626689771524208
"1","1989","Stratum_3"," [g/km^2]",1506.05526240571,969.173690829526,0.643518013596265
"1","1990","Stratum_3"," [g/km^2]",5277.35865672139,2973.01822783674,0.563353454109134
"1","1991","Stratum_3"," [g/km^2]",3252.35326720923,1738.99478036545,0.534688158847408
"1","1992","Stratum_3"," [g/km^2]",4255.39705967042,2388.84648665584,0.561368646252921
"1","1993","Stratum_3"," [g/km^2]",2788.99118080158,1580.01348736062,0.566517921690422
"1","1994","Stratum_3"," [g/km^2]",1534.93635914038,913.970834732656,0.595445426313643
"1","1995","Stratum_3"," [g/km^2]",1075.63406631108,636.81238172079,0.592034411763062
"1","1996","Stratum_3"," [g/km^2]",2582.25942847162,1579.38166101056,0.611627802999391
"1","1997","Stratum_3"," [g/km^2]",2307.55768469121,1343.81747867705,0.582354880050105
"1","1998","Stratum_3"," [g/km^2]",2784.22223755258,1581.05146052767,0.56786108493892
"1","1999","Stratum_3"," [g/km^2]",3272.39871114738,1772.43117283481,0.541630568059156
"1","2000","Stratum_3"," [g/km^2]",2512.35228830791,1479.99353995295,0.589086788043462
"1","2001","Stratum_3"," [g/km^2]",1997.71398139531,1291.60626184837,0.646542134598388
"1","2002","Stratum_3"," [g/km^2]",4587.86308938907,2896.74452352977,0.631392974700887
"1","2003","Stratum_3"," [g/km^2]",1549.24398205562,1050.75467068846,0.678237051658103
"1","2004","Stratum_3"," [g/km^2]",2478.35459114897,1607.93868572978,0.648792828706702
"1","2005","Stratum_3"," [g/km^2]",3710.19195576314,2181.02745271515,0.587847604307185
"1","2006","Stratum_3"," [g/km^2]",2243.82429694497,1641.43904621274,0.731536354449681
"1","2007","Stratum_3"," [g/km^2]",1887.48640950567,1279.54693600537,0.677910542593251
"1","2008","Stratum_3"," [g/km^2]",4574.19199626053,2781.89457308675,0.608171798508018
"1","2009","Stratum_3"," [g/km^2]",1904.63259795083,1240.23982478075,0.651170113393577
"1","2010","Stratum_3"," [g/km^2]",1174.24126708723,803.77199087228,0.684503273220914
"1","2011","Stratum_3"," [g/km^2]",1961.89255021297,1222.2399867307,0.622990278747948
"1","2012","Stratum_3"," [g/km^2]",1342.19480024382,832.12719953282,0.619974983796434
"1","2013","Stratum_3"," [g/km^2]",3057.76518034158,1931.41326761786,0.631642115632342
"1","2014","Stratum_3"," [g/km^2]",716.457876264441,520.818555485853,0.726935347827235
"1","2015","Stratum_3"," [g/km^2]",1137.66828546358,779.810493622115,0.685446279540397
"1","2016","Stratum_3"," [g/km^2]",1230.75352556875,857.843635881801,0.697006848292697
"1","2017","Stratum_3"," [g/km^2]",2066.72125787518,1777.14176032374,0.859884589444266
"1","2018","Stratum_3"," [g/km^2]",375.966644669024,448.437721587069,1.19275932571584
