"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",0,0,0
"1","1974","Stratum_1"," [g/km^2]",4154005.41936762,3670706.77884038,0.883654788153648
"1","1975","Stratum_1"," [g/km^2]",198675.873575339,212635.45756399,1.07026310612072
"1","1976","Stratum_1"," [g/km^2]",184032.80866956,194554.497738613,1.05717289838218
"1","1977","Stratum_1"," [g/km^2]",2598.79462614134,2802.83145068925,1.07851210037743
"1","1978","Stratum_1"," [g/km^2]",52903.3285323705,28412.4371134398,0.537063317217452
"1","1979","Stratum_1"," [g/km^2]",77144.8498196451,35715.851848245,0.462971305689806
"1","1980","Stratum_1"," [g/km^2]",1680.40124009146,1827.12950894821,1.08731740096119
"1","1981","Stratum_1"," [g/km^2]",616687.128525132,532774.14112766,0.863929400313325
"1","1982","Stratum_1"," [g/km^2]",87999.0054386568,133606.155412527,1.51826892527396
"1","1983","Stratum_1"," [g/km^2]",91927.5746476713,99343.5715220861,1.08067216939898
"1","1984","Stratum_1"," [g/km^2]",100640.589170218,59991.195470301,0.596093444652186
"1","1985","Stratum_1"," [g/km^2]",150691.065650837,130111.110183683,0.863429491468065
"1","1986","Stratum_1"," [g/km^2]",96855.676961687,46489.4238397721,0.479986566591874
"1","1987","Stratum_1"," [g/km^2]",701655.424623225,265681.584327163,0.378649654807168
"1","1988","Stratum_1"," [g/km^2]",401099.237312151,135859.205167578,0.338717186494791
"1","1989","Stratum_1"," [g/km^2]",229311.689959725,76108.5010040256,0.331899786781005
"1","1990","Stratum_1"," [g/km^2]",600020.349090699,173118.012373273,0.288520235414721
"1","1991","Stratum_1"," [g/km^2]",323338.494779226,63844.1985098263,0.197453132060316
"1","1992","Stratum_1"," [g/km^2]",605413.767838005,104210.258092475,0.17213063796785
"1","1993","Stratum_1"," [g/km^2]",686839.605719668,108527.742314199,0.158010314796106
"1","1994","Stratum_1"," [g/km^2]",271112.463814975,54314.8244677531,0.200340566064205
"1","1995","Stratum_1"," [g/km^2]",316292.962552978,56579.7766580756,0.178884083292237
"1","1996","Stratum_1"," [g/km^2]",917651.085631156,268279.074755855,0.292354119072754
"1","1997","Stratum_1"," [g/km^2]",517914.185685584,133257.701874799,0.257296875733187
"1","1998","Stratum_1"," [g/km^2]",599732.059053225,141303.505510842,0.235611058935073
"1","1999","Stratum_1"," [g/km^2]",462146.682382298,127422.561528272,0.27571887105502
"1","2000","Stratum_1"," [g/km^2]",756354.492216318,205892.455204535,0.272216873600126
"1","2001","Stratum_1"," [g/km^2]",471537.979341089,120995.778963351,0.256598162320723
"1","2002","Stratum_1"," [g/km^2]",979238.086087323,301272.465375436,0.307660077417137
"1","2003","Stratum_1"," [g/km^2]",350046.30630286,120118.479362586,0.343150255265547
"1","2004","Stratum_1"," [g/km^2]",433569.547743582,156629.694199603,0.361256216020588
"1","2005","Stratum_1"," [g/km^2]",344891.537882864,118391.910674117,0.343272877615008
"1","2006","Stratum_1"," [g/km^2]",443318.613225581,191520.444406612,0.432015346734738
"1","2007","Stratum_1"," [g/km^2]",754622.830768296,228130.068311047,0.302310053459134
"1","2008","Stratum_1"," [g/km^2]",731735.628029083,217383.440666184,0.297079207762101
