"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",0,0,0
"1","1974","Stratum_1"," [g/km^2]",4220512.37361833,3738494.47018855,0.885791614676271
"1","1975","Stratum_1"," [g/km^2]",197595.442498196,211185.748640759,1.0687784392734
"1","1976","Stratum_1"," [g/km^2]",182640.212912277,192321.802146647,1.05300907768333
"1","1977","Stratum_1"," [g/km^2]",2571.54522524144,2768.36490978966,1.07653751628255
"1","1978","Stratum_1"," [g/km^2]",53045.8633583327,28466.5896415879,0.536641084513828
"1","1979","Stratum_1"," [g/km^2]",76462.9785283029,35316.2648194576,0.461874040211304
"1","1980","Stratum_1"," [g/km^2]",1690.12146591198,1833.19790873891,1.08465453265498
"1","1981","Stratum_1"," [g/km^2]",599711.823819918,517439.223212905,0.862813108997967
"1","1982","Stratum_1"," [g/km^2]",87002.0712588325,131867.055713861,1.5156771994721
"1","1983","Stratum_1"," [g/km^2]",91791.9419092844,98920.0063231961,1.07765457692306
"1","1984","Stratum_1"," [g/km^2]",97458.4883121531,57620.7648802687,0.59123392819016
"1","1985","Stratum_1"," [g/km^2]",148239.403555697,127775.693894193,0.861954991920785
"1","1986","Stratum_1"," [g/km^2]",95468.3454087766,45563.2437374042,0.477260222142869
"1","1987","Stratum_1"," [g/km^2]",688045.672612011,258880.84359709,0.376255318363257
"1","1988","Stratum_1"," [g/km^2]",387417.476546991,129958.989824955,0.335449476836373
"1","1989","Stratum_1"," [g/km^2]",229148.042546887,75975.0990568713,0.331554650052602
"1","1990","Stratum_1"," [g/km^2]",564471.873390111,160721.986258875,0.284729840113395
"1","1991","Stratum_1"," [g/km^2]",320233.830428517,63019.0390331111,0.19679069806205
"1","1992","Stratum_1"," [g/km^2]",607053.916960869,105060.925429805,0.173066876754173
"1","1993","Stratum_1"," [g/km^2]",685504.653126576,108297.164795692,0.157981662563124
"1","1994","Stratum_1"," [g/km^2]",271026.93236184,54349.3523814706,0.2005311867269
"1","1995","Stratum_1"," [g/km^2]",313354.047085908,55854.0825974537,0.178245926985397
"1","1996","Stratum_1"," [g/km^2]",907620.590518677,263574.25097617,0.290401356832974
"1","1997","Stratum_1"," [g/km^2]",515146.384645689,132050.116432116,0.256335131853712
"1","1998","Stratum_1"," [g/km^2]",603471.109403772,141216.620879499,0.234007260130515
"1","1999","Stratum_1"," [g/km^2]",461463.863432371,126638.348187552,0.274427443235998
"1","2000","Stratum_1"," [g/km^2]",734072.32080115,196657.770679518,0.267899722012256
"1","2001","Stratum_1"," [g/km^2]",474919.871865084,121344.54770044,0.25550530708244
"1","2002","Stratum_1"," [g/km^2]",970377.265988033,297201.452158103,0.30627412922282
"1","2003","Stratum_1"," [g/km^2]",349246.30756839,119444.820004927,0.342007395401136
"1","2004","Stratum_1"," [g/km^2]",436451.711542501,157458.757331956,0.360770168079917
"1","2005","Stratum_1"," [g/km^2]",344937.530436805,118055.397386696,0.342251529536952
"1","2006","Stratum_1"," [g/km^2]",447669.379852404,193620.763428031,0.432508391554202
"1","2007","Stratum_1"," [g/km^2]",758181.219205525,227422.986614832,0.299958612603388
"1","2008","Stratum_1"," [g/km^2]",732351.880875014,217734.549571491,0.297308650742239
"1","2009","Stratum_1"," [g/km^2]",330167.454307913,102377.313337724,0.310076938238281
"1","2010","Stratum_1"," [g/km^2]",149629.649411964,52087.4597285123,0.348109214538785
"1","2011","Stratum_1"," [g/km^2]",252538.258498452,87703.0345406254,0.347286130276234
"1","2012","Stratum_1"," [g/km^2]",372657.813984804,95230.0482923272,0.255542872626334
"1","2013","Stratum_1"," [g/km^2]",406400.91426703,124837.221773056,0.307177512132837
"1","2014","Stratum_1"," [g/km^2]",161298.802454524,63908.7497511786,0.396213417450492
"1","2015","Stratum_1"," [g/km^2]",368632.095827799,109472.178570059,0.296968657393296
"1","2016","Stratum_1"," [g/km^2]",432900.887118658,148566.353430504,0.343187916336574
"1","2017","Stratum_1"," [g/km^2]",326880.943264028,184405.062009595,0.56413524804548
"1","2018","Stratum_1"," [g/km^2]",61276.4391940174,65983.0088173689,1.07680879772484
"1","2019","Stratum_1"," [g/km^2]",132830.444129654,71296.888012677,0.536751107623217
"1","2020","Stratum_1"," [g/km^2]",0,0,0
"1","2021","Stratum_1"," [g/km^2]",71191.3218895574,48558.9779351112,0.682091252785604
"1","2022","Stratum_1"," [g/km^2]",28370.9389405339,21433.3100369182,0.755467067263547
"1","1973","Stratum_2"," [g/km^2]",0,0,0
"1","1974","Stratum_2"," [g/km^2]",849224.833625277,823566.493023311,0.96978616311486
"1","1975","Stratum_2"," [g/km^2]",44099.0335589718,50018.6542693373,1.13423470386148
"1","1976","Stratum_2"," [g/km^2]",39512.9472918487,43242.7067682494,1.0943933503328
"1","1977","Stratum_2"," [g/km^2]",569.415366038145,633.198308736031,1.11201479008492
"1","1978","Stratum_2"," [g/km^2]",13378.1476884989,8344.44410659212,0.623736880537333
"1","1979","Stratum_2"," [g/km^2]",21088.2961912737,11207.1994890802,0.531441676815864
"1","1980","Stratum_2"," [g/km^2]",306.590966083548,343.16680475098,1.11929848793217
"1","1981","Stratum_2"," [g/km^2]",87097.1528295341,80632.1887689247,0.925772957547043
"1","1982","Stratum_2"," [g/km^2]",19180.2781544605,29939.0935958877,1.56093114785853
"1","1983","Stratum_2"," [g/km^2]",16702.3647339603,18668.1895479328,1.11769739466744
"1","1984","Stratum_2"," [g/km^2]",8787.32242776057,6572.24949461899,0.747924017657092
"1","1985","Stratum_2"," [g/km^2]",18253.752831883,17876.0001351438,0.979305477606817
"1","1986","Stratum_2"," [g/km^2]",11126.458659487,7043.70519591107,0.63305903625546
"1","1987","Stratum_2"," [g/km^2]",148225.452449618,67486.6052825403,0.455297009840322
"1","1988","Stratum_2"," [g/km^2]",85597.9417135118,34598.2485750367,0.404194865933035
"1","1989","Stratum_2"," [g/km^2]",42349.623779343,17802.352401944,0.420366246810139
"1","1990","Stratum_2"," [g/km^2]",140508.238054809,41321.4511058525,0.294085611476629
"1","1991","Stratum_2"," [g/km^2]",49047.4553038694,15124.0036658761,0.308354502230066
"1","1992","Stratum_2"," [g/km^2]",151803.326607085,35179.7995284192,0.231745906461429
"1","1993","Stratum_2"," [g/km^2]",82398.6201876972,24922.6730713699,0.30246468951298
"1","1994","Stratum_2"," [g/km^2]",43622.2467749376,14515.4380509055,0.332753104758583
"1","1995","Stratum_2"," [g/km^2]",42897.6269248246,12973.3220428657,0.302425168310607
"1","1996","Stratum_2"," [g/km^2]",223772.866702369,73292.5260708638,0.327530889472614
"1","1997","Stratum_2"," [g/km^2]",63125.3246554438,21105.6478884036,0.334345177685885
"1","1998","Stratum_2"," [g/km^2]",154347.622052065,40187.891799845,0.260372600922148
"1","1999","Stratum_2"," [g/km^2]",78781.0509491761,26935.2530836801,0.341900149327242
"1","2000","Stratum_2"," [g/km^2]",213683.940134581,56381.5227046936,0.263854750474856
"1","2001","Stratum_2"," [g/km^2]",50486.8514818756,19482.6979642058,0.385896473880926
"1","2002","Stratum_2"," [g/km^2]",183042.960496477,69032.6467062442,0.377139041670895
"1","2003","Stratum_2"," [g/km^2]",55418.214748619,23724.2292450062,0.428094433438913
"1","2004","Stratum_2"," [g/km^2]",88427.2135643753,37551.4198272549,0.42465908755473
"1","2005","Stratum_2"," [g/km^2]",95960.6435433114,37681.3139974963,0.392674669595033
"1","2006","Stratum_2"," [g/km^2]",70627.703604841,36655.2128682185,0.51899199602047
"1","2007","Stratum_2"," [g/km^2]",78938.9317479112,31889.7963522014,0.403980591655843
"1","2008","Stratum_2"," [g/km^2]",135488.905929713,51624.0883816203,0.381020778250293
"1","2009","Stratum_2"," [g/km^2]",29802.4039062969,13269.3745528547,0.445245108232734
"1","2010","Stratum_2"," [g/km^2]",24334.9614159588,10541.3835758133,0.43317856131468
"1","2011","Stratum_2"," [g/km^2]",57472.5357341685,24368.1931275246,0.423997180848893
"1","2012","Stratum_2"," [g/km^2]",39780.9571324651,14117.0618275334,0.35486983836325
"1","2013","Stratum_2"," [g/km^2]",59833.3745660444,23621.7129326318,0.394791587537122
"1","2014","Stratum_2"," [g/km^2]",19767.2359546769,10120.2616658578,0.511971511295858
"1","2015","Stratum_2"," [g/km^2]",36566.0745392642,15533.3001246368,0.424800865839655
"1","2016","Stratum_2"," [g/km^2]",51319.0356938494,23194.1004278737,0.451959007301718
"1","2017","Stratum_2"," [g/km^2]",40289.7389117293,28369.3339653185,0.704132981041969
"1","2018","Stratum_2"," [g/km^2]",11335.0508482434,12735.918850001,1.12358727106854
"1","2019","Stratum_2"," [g/km^2]",25535.772154517,15680.8763802574,0.614074886217356
"1","2020","Stratum_2"," [g/km^2]",0,0,0
"1","2021","Stratum_2"," [g/km^2]",10253.5556214902,8066.85468812845,0.78673730225067
"1","2022","Stratum_2"," [g/km^2]",4895.96510879363,3956.60976688706,0.808136839002518
"1","1973","Stratum_3"," [g/km^2]",0,0,0
"1","1974","Stratum_3"," [g/km^2]",45222.3544587077,48752.5127736557,1.07806224061534
"1","1975","Stratum_3"," [g/km^2]",2446.67532103082,2970.43633880384,1.21407050345869
"1","1976","Stratum_3"," [g/km^2]",1753.95345595275,2078.41751934245,1.18499012176663
"1","1977","Stratum_3"," [g/km^2]",31.3839170784336,37.0210338670808,1.17961801181666
"1","1978","Stratum_3"," [g/km^2]",859.057808946253,656.118303932714,0.763765019187161
"1","1979","Stratum_3"," [g/km^2]",1488.88341969179,952.390699709535,0.639667745045269
"1","1980","Stratum_3"," [g/km^2]",18.0367548157911,21.3973807901278,1.18632098781952
"1","1981","Stratum_3"," [g/km^2]",5431.11159468814,5460.84051638642,1.00547381897425
"1","1982","Stratum_3"," [g/km^2]",1024.20139988841,1648.26185893989,1.60931420238195
"1","1983","Stratum_3"," [g/km^2]",962.202806587313,1147.33452984528,1.19240405659861
"1","1984","Stratum_3"," [g/km^2]",580.303252696159,483.462806526723,0.833120966116419
"1","1985","Stratum_3"," [g/km^2]",1083.34009766746,1124.0623955074,1.03758957868137
"1","1986","Stratum_3"," [g/km^2]",784.340464105978,576.258917176746,0.734705072029642
"1","1987","Stratum_3"," [g/km^2]",7690.43368410379,4494.25734091622,0.584395825453368
