"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",223592.569895607,236388.866927801,1.05723042155725
"1","1974","Stratum_1"," [g/km^2]",1357449.7951265,938297.467266559,0.691220751320031
"1","1975","Stratum_1"," [g/km^2]",0,0,0
"1","1976","Stratum_1"," [g/km^2]",3067508.44697503,3294756.24927725,1.07408220913827
"1","1977","Stratum_1"," [g/km^2]",0,0,0
"1","1978","Stratum_1"," [g/km^2]",178695.433220676,271196.402496001,1.51764596110912
"1","1979","Stratum_1"," [g/km^2]",339204.958946588,181264.649297919,0.534380894255916
"1","1980","Stratum_1"," [g/km^2]",39653.8926220869,42570.3567099055,1.07354798974248
"1","1981","Stratum_1"," [g/km^2]",684810.31589213,603163.944322366,0.880775202015747
"1","1982","Stratum_1"," [g/km^2]",73583.7381320652,49765.5742584875,0.676312124414907
"1","1983","Stratum_1"," [g/km^2]",9151.04105892594,13893.8681163785,1.51828278628762
"1","1984","Stratum_1"," [g/km^2]",12158.0889994126,18449.337163009,1.517453702132
"1","1985","Stratum_1"," [g/km^2]",46859.2191950473,28771.3035528383,0.613994514784384
"1","1986","Stratum_1"," [g/km^2]",195771.258130395,92118.4612898943,0.470541294823462
"1","1987","Stratum_1"," [g/km^2]",1072138.39014406,538320.219754166,0.502099565413221
"1","1988","Stratum_1"," [g/km^2]",400887.891355865,159247.820058229,0.397237790145341
"1","1989","Stratum_1"," [g/km^2]",84175.4772697039,33226.4278496569,0.394728119487784
"1","1990","Stratum_1"," [g/km^2]",180032.053885709,89624.9212764689,0.497827577601081
"1","1991","Stratum_1"," [g/km^2]",430772.993243204,129763.877479328,0.301234941639127
"1","1992","Stratum_1"," [g/km^2]",812168.588378694,193762.495917871,0.238574230388141
"1","1993","Stratum_1"," [g/km^2]",1276569.87048007,262448.436560653,0.205588775537963
"1","1994","Stratum_1"," [g/km^2]",279440.33002962,67733.5119945012,0.242389894069056
"1","1995","Stratum_1"," [g/km^2]",397637.866273115,80041.1268665514,0.201291510833064
"1","1996","Stratum_1"," [g/km^2]",306772.667765159,70116.0523895327,0.228560298087597
"1","1997","Stratum_1"," [g/km^2]",478441.574053383,98107.5035004061,0.205056393133302
"1","1998","Stratum_1"," [g/km^2]",667639.105863896,142802.800576829,0.213892205118883
"1","1999","Stratum_1"," [g/km^2]",752688.818393478,125661.7076533,0.166950411089552
"1","2000","Stratum_1"," [g/km^2]",1084251.69430299,231157.819551934,0.213195719007416
"1","2001","Stratum_1"," [g/km^2]",1117464.77571715,248900.741476178,0.222736990807108
"1","2002","Stratum_1"," [g/km^2]",498527.249088468,119282.910442409,0.239270592852272
"1","2003","Stratum_1"," [g/km^2]",488003.521872418,145712.987754087,0.298590033110829
"1","2004","Stratum_1"," [g/km^2]",640282.504458315,171946.346245859,0.268547625538083
"1","2005","Stratum_1"," [g/km^2]",233754.824890058,80977.4183527407,0.346420307648525
"1","2006","Stratum_1"," [g/km^2]",428024.754523759,130220.496243645,0.304235899600094
"1","2007","Stratum_1"," [g/km^2]",178075.162263009,70470.4837558717,0.395734491325584
"1","2008","Stratum_1"," [g/km^2]",277593.050712876,115850.189730975,0.417338220223683
"1","2009","Stratum_1"," [g/km^2]",176640.854957405,54443.1097310112,0.308213576888198
"1","2010","Stratum_1"," [g/km^2]",228208.03054735,76612.1810947339,0.335712029550322
"1","2011","Stratum_1"," [g/km^2]",600715.530909284,191370.929164177,0.318571635520238
"1","2012","Stratum_1"," [g/km^2]",560306.738640754,150393.332046162,0.268412499216057
"1","2013","Stratum_1"," [g/km^2]",378730.810857402,112095.915088222,0.295977807653011
"1","2014","Stratum_1"," [g/km^2]",361680.804789531,118024.274530834,0.326321643194512
"1","2015","Stratum_1"," [g/km^2]",193156.05393167,69843.6575726052,0.361591863940814
"1","2016","Stratum_1"," [g/km^2]",275957.070462449,93806.5712000242,0.339931754757445
"1","2017","Stratum_1"," [g/km^2]",162393.694650812,86404.2476946799,0.532066518225789
"1","2018","Stratum_1"," [g/km^2]",112933.538360432,87292.5716134351,0.772955252095598
"1","2019","Stratum_1"," [g/km^2]",22752.8924840757,20267.1204375931,0.890749185044394
"1","2020","Stratum_1"," [g/km^2]",0,0,0
"1","2021","Stratum_1"," [g/km^2]",191568.670133603,71289.5995565813,0.372136004842874
"1","2022","Stratum_1"," [g/km^2]",37492.2636987512,29274.4797884815,0.780813877329483
"1","1973","Stratum_2"," [g/km^2]",172519.564830807,186260.02637493,1.07964581615773
"1","1974","Stratum_2"," [g/km^2]",950814.669779494,691237.56053787,0.726995052251537
"1","1975","Stratum_2"," [g/km^2]",0,0,0
"1","1976","Stratum_2"," [g/km^2]",1924751.72633783,2137934.53999737,1.11075860369023
"1","1977","Stratum_2"," [g/km^2]",0,0,0
"1","1978","Stratum_2"," [g/km^2]",128780.612214428,196920.66341854,1.52911731069157
"1","1979","Stratum_2"," [g/km^2]",178200.564724693,106560.134395679,0.597978657140099
"1","1980","Stratum_2"," [g/km^2]",29388.1973413797,31927.1195692832,1.08639258129414
"1","1981","Stratum_2"," [g/km^2]",512573.378997766,449667.628271692,0.877274643390431
"1","1982","Stratum_2"," [g/km^2]",34451.0439207573,25509.0952465151,0.740444768674937
"1","1983","Stratum_2"," [g/km^2]",6570.65079902187,9968.29073569272,1.51709336572515
"1","1984","Stratum_2"," [g/km^2]",8578.51134706551,13091.7705139801,1.5261121637915
"1","1985","Stratum_2"," [g/km^2]",39163.8537845407,24363.7493087491,0.622097851830054
"1","1986","Stratum_2"," [g/km^2]",134191.132071095,65740.6556912226,0.489903130531705
"1","1987","Stratum_2"," [g/km^2]",811430.014157837,415266.788282385,0.511771540412366
"1","1988","Stratum_2"," [g/km^2]",282651.985235195,120258.18002485,0.425463772790358
"1","1989","Stratum_2"," [g/km^2]",75194.6187709195,29918.9451451663,0.397886785440251
"1","1990","Stratum_2"," [g/km^2]",104193.171475609,54576.39944695,0.523800155749417
"1","1991","Stratum_2"," [g/km^2]",325907.740808405,99357.7847844091,0.304864758774845
"1","1992","Stratum_2"," [g/km^2]",700664.221793631,162318.986708225,0.231664443051913
"1","1993","Stratum_2"," [g/km^2]",1155610.3304463,234482.610750523,0.202908025804828
"1","1994","Stratum_2"," [g/km^2]",238208.277916213,57137.4356549045,0.239863350487769
"1","1995","Stratum_2"," [g/km^2]",344322.182032373,68748.2750784557,0.199662637686213
"1","1996","Stratum_2"," [g/km^2]",263366.484759593,59949.3588175359,0.227627136658102
"1","1997","Stratum_2"," [g/km^2]",402306.629721002,81752.0625351493,0.203208340344389
"1","1998","Stratum_2"," [g/km^2]",544452.68383145,118425.220933951,0.217512420180507
"1","1999","Stratum_2"," [g/km^2]",672078.944363442,111557.746961644,0.165989052174973
"1","2000","Stratum_2"," [g/km^2]",811790.259600667,171050.056813547,0.210707205205553
