"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",190313.771752879,203663.607289052,1.07014645032366
"1","1974","Stratum_1"," [g/km^2]",1842581.40878486,1243306.98930307,0.674763667632467
"1","1975","Stratum_1"," [g/km^2]",0,0,0
"1","1976","Stratum_1"," [g/km^2]",2922092.77730714,3152204.26475225,1.07874886424967
"1","1977","Stratum_1"," [g/km^2]",0,0,0
"1","1978","Stratum_1"," [g/km^2]",171869.632736483,262811.394321819,1.52913222735963
"1","1979","Stratum_1"," [g/km^2]",335842.445835625,180253.177727432,0.53671946462555
"1","1980","Stratum_1"," [g/km^2]",43257.8323756663,46639.7632922528,1.07818077630928
"1","1981","Stratum_1"," [g/km^2]",694865.39799192,611156.378426959,0.879532036266494
"1","1982","Stratum_1"," [g/km^2]",65267.6870874496,44432.1107260739,0.680767355315366
"1","1983","Stratum_1"," [g/km^2]",9373.45342426667,14336.7227860415,1.52950274964034
"1","1984","Stratum_1"," [g/km^2]",12407.5058482959,18986.9477719656,1.53027917166554
"1","1985","Stratum_1"," [g/km^2]",51688.9083633584,32228.0014168681,0.623499362577257
"1","1986","Stratum_1"," [g/km^2]",223028.657344499,106362.58542286,0.47690098074961
"1","1987","Stratum_1"," [g/km^2]",1119328.51156368,567981.72092718,0.507430763229392
"1","1988","Stratum_1"," [g/km^2]",434554.3126269,175629.741241229,0.404160621901409
"1","1989","Stratum_1"," [g/km^2]",91109.139138454,36667.1986953471,0.402453574274541
"1","1990","Stratum_1"," [g/km^2]",169547.30694779,85286.2255874612,0.503023180508107
"1","1991","Stratum_1"," [g/km^2]",418750.455268252,125025.105287699,0.298567091007958
"1","1992","Stratum_1"," [g/km^2]",1053975.93263496,241291.246018525,0.228934303476259
"1","1993","Stratum_1"," [g/km^2]",1602574.32700661,354190.807534255,0.221013653822743
"1","1994","Stratum_1"," [g/km^2]",324373.560247992,77594.8679935321,0.239214527639704
"1","1995","Stratum_1"," [g/km^2]",440191.668303095,88988.5269803876,0.2021585899693
"1","1996","Stratum_1"," [g/km^2]",329687.791529796,74370.271662199,0.225577875714204
"1","1997","Stratum_1"," [g/km^2]",522078.199162539,106440.887519135,0.203879203709092
"1","1998","Stratum_1"," [g/km^2]",735841.973966026,148805.664344483,0.202225028755092
"1","1999","Stratum_1"," [g/km^2]",823476.570303023,138340.772270504,0.167996002873037
"1","2000","Stratum_1"," [g/km^2]",1125117.19749414,243752.983855875,0.216646749688622
"1","2001","Stratum_1"," [g/km^2]",1097892.14951733,243100.625819487,0.221424869397566
"1","2002","Stratum_1"," [g/km^2]",537900.077967175,128704.772863431,0.239272642141698
"1","2003","Stratum_1"," [g/km^2]",522864.32443864,156901.899991152,0.300081479377288
"1","2004","Stratum_1"," [g/km^2]",684103.921904048,182622.173128607,0.266950922632219
"1","2005","Stratum_1"," [g/km^2]",254577.893877577,87626.4674423561,0.344202971073733
"1","2006","Stratum_1"," [g/km^2]",487098.647704176,148855.543445176,0.305596297889085
"1","2007","Stratum_1"," [g/km^2]",187329.747801112,73273.5368476565,0.391147362913503
"1","2008","Stratum_1"," [g/km^2]",365795.255723401,143583.910043177,0.392525347982505
"1","2009","Stratum_1"," [g/km^2]",194204.066486989,58399.9243779254,0.300714220017828
"1","2010","Stratum_1"," [g/km^2]",206579.38520392,68165.4897873761,0.329972372219464
"1","2011","Stratum_1"," [g/km^2]",602423.740593132,190494.821648961,0.316214001562097
"1","2012","Stratum_1"," [g/km^2]",482975.727104853,127591.226709434,0.264177306537258
"1","2013","Stratum_1"," [g/km^2]",365650.822961249,104599.166412714,0.286062986445949
"1","2014","Stratum_1"," [g/km^2]",311380.53640569,100568.856808173,0.322977338176156
"1","2015","Stratum_1"," [g/km^2]",161136.925049103,58993.4325505822,0.366107473706633
"1","2016","Stratum_1"," [g/km^2]",241665.651827901,81956.8152059591,0.339133073260753
"1","2017","Stratum_1"," [g/km^2]",138063.517495596,74273.3910327057,0.537965368259394
"1","2018","Stratum_1"," [g/km^2]",92179.9593643422,70428.4811962774,0.764032460872636
"1","2019","Stratum_1"," [g/km^2]",20439.4906096076,18058.5289195913,0.883511691387404
"1","2020","Stratum_1"," [g/km^2]",0,0,0
"1","2021","Stratum_1"," [g/km^2]",154437.046580759,58609.9891631606,0.379507316805049
"1","2022","Stratum_1"," [g/km^2]",37790.6621150169,28877.4131540929,0.764141497870661
"1","1973","Stratum_2"," [g/km^2]",137396.963874497,147108.680765041,1.07068363533429
"1","1974","Stratum_2"," [g/km^2]",1330251.03189781,898896.901849594,0.67573479012241
"1","1975","Stratum_2"," [g/km^2]",0,0,0
"1","1976","Stratum_2"," [g/km^2]",2109603.90340497,2276340.461257,1.07903690241704
"1","1977","Stratum_2"," [g/km^2]",0,0,0
"1","1978","Stratum_2"," [g/km^2]",124081.223879482,189757.280540306,1.52929891088609
"1","1979","Stratum_2"," [g/km^2]",242461.341462547,130269.744383187,0.537280473651541
"1","1980","Stratum_2"," [g/km^2]",31229.9776178362,33678.716358677,1.07840987818839
"1","1981","Stratum_2"," [g/km^2]",501657.841711547,441238.312971409,0.879560282494535
"1","1982","Stratum_2"," [g/km^2]",47119.9848667315,32090.0135656305,0.681027671303158
"1","1983","Stratum_2"," [g/km^2]",6767.16156508924,10350.6100768328,1.52953494271956
"1","1984","Stratum_2"," [g/km^2]",8957.59469800498,13708.2977905886,1.53035477187214
"1","1985","Stratum_2"," [g/km^2]",37316.7901077296,23278.7883190222,0.623815399229638
"1","1986","Stratum_2"," [g/km^2]",161015.46458724,76839.6449661604,0.477219037085271
"1","1987","Stratum_2"," [g/km^2]",808098.844610721,410268.178736134,0.507695539317058
"1","1988","Stratum_2"," [g/km^2]",313726.340682447,126963.551176342,0.404695222276069
"1","1989","Stratum_2"," [g/km^2]",65776.2125333597,26484.9364228618,0.402652196026477
"1","1990","Stratum_2"," [g/km^2]",122404.621552939,61596.0378112655,0.503216602688691
"1","1991","Stratum_2"," [g/km^2]",302316.75114731,90371.8501967374,0.298931004827785
"1","1992","Stratum_2"," [g/km^2]",760917.57210757,174013.443731149,0.22868895411256
"1","1993","Stratum_2"," [g/km^2]",1156977.99946835,255503.799106235,0.220837214902654
"1","1994","Stratum_2"," [g/km^2]",234181.383347845,56015.8603683587,0.239198605660102
"1","1995","Stratum_2"," [g/km^2]",317796.227727698,64157.7472193081,0.20188328753317
"1","1996","Stratum_2"," [g/km^2]",238017.99084462,53616.920743416,0.225264151475076
"1","1997","Stratum_2"," [g/km^2]",376914.181298142,76774.6636502264,0.203692690431026
"1","1998","Stratum_2"," [g/km^2]",531240.867033153,107465.211461449,0.202290934546535
"1","1999","Stratum_2"," [g/km^2]",594508.634552915,99586.4769061075,0.167510564385659
"1","2000","Stratum_2"," [g/km^2]",812277.984482431,175794.988499783,0.216422200106525
"1","2001","Stratum_2"," [g/km^2]",792622.870199852,175343.413500969,0.221219220506161
"1","2002","Stratum_2"," [g/km^2]",388336.781410182,92860.6937848109,0.23912412686638
"1","2003","Stratum_2"," [g/km^2]",377481.724178333,113318.170153131,0.300195116465017
"1","2004","Stratum_2"," [g/km^2]",493888.597648638,131812.418277388,0.266886943543411
"1","2005","Stratum_2"," [g/km^2]",183792.42535197,63262.063654746,0.344203867670804
"1","2006","Stratum_2"," [g/km^2]",351660.705820227,107453.55115374,0.305560301095086
"1","2007","Stratum_2"," [g/km^2]",135242.6487804,52893.8220080631,0.391103120835414
"1","2008","Stratum_2"," [g/km^2]",264085.762544562,103723.219635081,0.392763391088062
"1","2009","Stratum_2"," [g/km^2]",140205.560856841,42215.3742600933,0.301096290347555
"1","2010","Stratum_2"," [g/km^2]",149139.918066121,49278.5894125596,0.330418509353826
"1","2011","Stratum_2"," [g/km^2]",434919.618065746,137685.468164082,0.31657681659986
"1","2012","Stratum_2"," [g/km^2]",348684.164672282,92309.0868108696,0.264735529064326
"1","2013","Stratum_2"," [g/km^2]",263981.489360222,75651.0903035125,0.286577253908438
"1","2014","Stratum_2"," [g/km^2]",224801.074129869,72719.5494058173,0.323483994403898
"1","2015","Stratum_2"," [g/km^2]",116332.749153685,42630.4117299956,0.366452370808131
"1","2016","Stratum_2"," [g/km^2]",174470.436522167,59234.5745242899,0.339510668426416
"1","2017","Stratum_2"," [g/km^2]",99674.9102863667,53638.4788170666,0.538134207123565
"1","2018","Stratum_2"," [g/km^2]",66549.2908373483,50851.9556578343,0.764124681390218
"1","2019","Stratum_2"," [g/km^2]",14756.283410472,13039.2533754983,0.883640752402784
"1","2020","Stratum_2"," [g/km^2]",0,0,0
"1","2021","Stratum_2"," [g/km^2]",111495.774133957,42348.6895928881,0.379823270629142
"1","2022","Stratum_2"," [g/km^2]",27282.9558764276,20851.1482078819,0.76425546785776
"1","1973","Stratum_3"," [g/km^2]",4929.4610825749,5311.05306887214,1.07741048765881
"1","1974","Stratum_3"," [g/km^2]",47726.0960277493,32737.9295345697,0.68595448317279
"1","1975","Stratum_3"," [g/km^2]",0,0,0
"1","1976","Stratum_3"," [g/km^2]",75687.3372470003,82155.4903401512,1.08545885386406
"1","1977","Stratum_3"," [g/km^2]",0,0,0
"1","1978","Stratum_3"," [g/km^2]",4451.72547444993,6828.58029082901,1.53391765283388
"1","1979","Stratum_3"," [g/km^2]",8698.90944504628,4776.87027170282,0.549134383094776
"1","1980","Stratum_3"," [g/km^2]",1120.45386546846,1215.31994182542,1.08466754346667
"1","1981","Stratum_3"," [g/km^2]",17998.2347335159,15974.0560724528,0.887534600418686
"1","1982","Stratum_3"," [g/km^2]",1690.54777530778,1168.45306235262,0.69116831799675
"1","1983","Stratum_3"," [g/km^2]",242.788913480469,372.364668680344,1.53369716657305
"1","1984","Stratum_3"," [g/km^2]",321.376202298246,493.229885192903,1.53474302597917
"1","1985","Stratum_3"," [g/km^2]",1338.83354752073,849.268370105127,0.634334545678072
"1","1986","Stratum_3"," [g/km^2]",5776.83410166573,2835.15426288005,0.490779934646649
"1","1987","Stratum_3"," [g/km^2]",28992.5751854387,15100.7841748328,0.520850047925961
"1","1988","Stratum_3"," [g/km^2]",11255.72023837,4747.40162823292,0.421776796836983
"1","1989","Stratum_3"," [g/km^2]",2359.88678860872,988.296496669045,0.418789791713565
"1","1990","Stratum_3"," [g/km^2]",4391.57315603922,2268.83447349448,0.516633651058371
"1","1991","Stratum_3"," [g/km^2]",10846.3725643342,3459.96786708096,0.318997696839058
"1","1992","Stratum_3"," [g/km^2]",27299.8285622809,7022.97673319074,0.257253510481532
"1","1993","Stratum_3"," [g/km^2]",41509.4909010088,10414.2913727058,0.250889402559564
"1","1994","Stratum_3"," [g/km^2]",8401.84515671846,2249.78110627745,0.267772264819524
"1","1995","Stratum_3"," [g/km^2]",11401.7376555989,2665.65809653847,0.23379402132003
"1","1996","Stratum_3"," [g/km^2]",8539.49308438121,2183.14507381379,0.255652771451595
"1","1997","Stratum_3"," [g/km^2]",13522.7426850344,3195.059230932,0.236273018377252
"1","1998","Stratum_3"," [g/km^2]",19059.6000498623,4451.11015574294,0.233536388176996
