"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",60200.6927116236,65162.944527369,1.08242848366406
"1","1974","Stratum_1"," [g/km^2]",822401.526991938,502327.853062712,0.610806080212489
"1","1975","Stratum_1"," [g/km^2]",115801.171693189,127345.684217851,1.09969253640412
"1","1976","Stratum_1"," [g/km^2]",688313.567469781,535073.169594056,0.777368331647117
"1","1977","Stratum_1"," [g/km^2]",1234.22315330405,1338.1422577825,1.08419798656366
"1","1978","Stratum_1"," [g/km^2]",67892.6132653944,36428.7501330631,0.53656426496152
"1","1979","Stratum_1"," [g/km^2]",94356.6545238808,34436.2733160492,0.364958608270005
"1","1980","Stratum_1"," [g/km^2]",8183.97226382377,6633.29988773523,0.810523261064428
"1","1981","Stratum_1"," [g/km^2]",546530.366922667,355337.525801887,0.650169775199638
"1","1982","Stratum_1"," [g/km^2]",72904.6830463498,45418.3638808072,0.622982804162692
"1","1983","Stratum_1"," [g/km^2]",44050.0501958878,38626.9617031853,0.876888029217076
"1","1984","Stratum_1"," [g/km^2]",75781.2497751103,47110.8541882953,0.621669005566714
"1","1985","Stratum_1"," [g/km^2]",59474.5457018028,31165.8998517482,0.524020814013606
"1","1986","Stratum_1"," [g/km^2]",136935.585416852,49407.9345675502,0.360811504307999
"1","1987","Stratum_1"," [g/km^2]",412778.060726954,127323.267415146,0.308454541384574
"1","1988","Stratum_1"," [g/km^2]",271848.965823193,70572.9326383652,0.259603461887967
"1","1989","Stratum_1"," [g/km^2]",119258.107676228,30694.2875489484,0.257376946079674
"1","1990","Stratum_1"," [g/km^2]",281450.278867881,69267.5074218433,0.246109215810579
"1","1991","Stratum_1"," [g/km^2]",357814.62092816,64386.1096373285,0.179942645916235
"1","1992","Stratum_1"," [g/km^2]",600549.005236215,91553.1900466554,0.152449157767973
"1","1993","Stratum_1"," [g/km^2]",829632.841114292,123083.710489838,0.148359255311691
"1","1994","Stratum_1"," [g/km^2]",338654.007648323,54453.0942368339,0.160792705850336
"1","1995","Stratum_1"," [g/km^2]",386398.274341962,53369.7801895209,0.138121165992292
"1","1996","Stratum_1"," [g/km^2]",367551.236768085,69132.0980735989,0.188088329348268
"1","1997","Stratum_1"," [g/km^2]",513656.846746586,83911.4864323665,0.163360981098271
"1","1998","Stratum_1"," [g/km^2]",447332.013490077,70412.6293485106,0.157405746123896
"1","1999","Stratum_1"," [g/km^2]",579163.1386928,86386.6589059163,0.149157729721708
"1","2000","Stratum_1"," [g/km^2]",675399.299297779,115563.848899146,0.17110448444246
"1","2001","Stratum_1"," [g/km^2]",761989.690362681,128932.150009482,0.169204585888971
"1","2002","Stratum_1"," [g/km^2]",631001.347677686,120153.118348126,0.190416579600558
"1","2003","Stratum_1"," [g/km^2]",348767.821416865,82708.8206842584,0.237145790423714
"1","2004","Stratum_1"," [g/km^2]",565460.2494987,121830.679089897,0.215454011485165
"1","2005","Stratum_1"," [g/km^2]",296299.30455038,72848.7179181722,0.245861926772717
"1","2006","Stratum_1"," [g/km^2]",407615.405513903,102008.259386095,0.25025614342885
"1","2007","Stratum_1"," [g/km^2]",347630.801285183,84310.5947597649,0.242529127016565
"1","2008","Stratum_1"," [g/km^2]",414453.463768096,101779.399802954,0.245574976928903
"1","2009","Stratum_1"," [g/km^2]",217498.49514457,49044.155482109,0.225491930183288
"1","2010","Stratum_1"," [g/km^2]",155596.161083891,39069.9659021233,0.251098520875835
"1","2011","Stratum_1"," [g/km^2]",270426.168060053,66178.1062019361,0.244717834360024
"1","2012","Stratum_1"," [g/km^2]",382949.957430373,71572.4955693541,0.186897776538773
"1","2013","Stratum_1"," [g/km^2]",309170.513168934,68482.1134417257,0.221502732391252
