"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",25871.879687577,34785.5212275664,1.34453010943267
"1","1974","Stratum_1"," [g/km^2]",365524.002395398,368967.656716411,1.00942114416137
"1","1975","Stratum_1"," [g/km^2]",50964.3590669615,69231.3111472344,1.3584260140753
"1","1976","Stratum_1"," [g/km^2]",303388.89453656,338648.136415224,1.11621797143406
"1","1977","Stratum_1"," [g/km^2]",527.609121138737,710.727488262285,1.34707202697392
"1","1978","Stratum_1"," [g/km^2]",27431.6786044573,26524.1977810692,0.966918509199777
"1","1979","Stratum_1"," [g/km^2]",39422.9393236386,34896.9083279551,0.885192959395355
"1","1980","Stratum_1"," [g/km^2]",3521.53347453093,4019.21552065381,1.14132537706152
"1","1981","Stratum_1"," [g/km^2]",230591.752195358,238316.572090341,1.03349998350522
"1","1982","Stratum_1"," [g/km^2]",31569.685230952,32098.8375042902,1.01676140479283
"1","1983","Stratum_1"," [g/km^2]",19012.0044555425,22582.6805957867,1.18781166123718
"1","1984","Stratum_1"," [g/km^2]",32770.0041453085,33319.4325396818,1.01676619850084
"1","1985","Stratum_1"," [g/km^2]",25896.88758374,24893.3970273509,0.961250534329879
"1","1986","Stratum_1"," [g/km^2]",59714.2978865071,52746.2129877612,0.883309606821642
"1","1987","Stratum_1"," [g/km^2]",175705.207575436,151792.855602247,0.863906412888064
"1","1988","Stratum_1"," [g/km^2]",117207.756091158,99308.2860738859,0.847284253071519
"1","1989","Stratum_1"," [g/km^2]",51005.7976225224,43198.8163869873,0.846939336321881
"1","1990","Stratum_1"," [g/km^2]",123309.906129237,103961.946189665,0.843094844956801
"1","1991","Stratum_1"," [g/km^2]",153500.413521023,126918.176225474,0.826826282185182
"1","1992","Stratum_1"," [g/km^2]",258403.204857899,212286.655995847,0.821532597138594
"1","1993","Stratum_1"," [g/km^2]",359984.906528868,295467.375498867,0.820777121874067
"1","1994","Stratum_1"," [g/km^2]",147627.191966681,121467.052590774,0.822795929209232
"1","1995","Stratum_1"," [g/km^2]",166285.71505552,136148.906328801,0.81876489681235
