"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",111837.803004691,119085.136396416,1.0648021795584
"1","1974","Stratum_1"," [g/km^2]",2071113.59922114,1248793.99367096,0.602957748981316
"1","1975","Stratum_1"," [g/km^2]",359220.044469245,386777.805927676,1.07671554492219
"1","1976","Stratum_1"," [g/km^2]",1258093.60216136,961265.008031058,0.764064777358092
"1","1977","Stratum_1"," [g/km^2]",6498.66398025374,7007.73449792767,1.07833464220044
"1","1978","Stratum_1"," [g/km^2]",203238.418787647,108750.123137325,0.535086445692892
"1","1979","Stratum_1"," [g/km^2]",285635.137682578,107368.449101423,0.375893701218023
"1","1980","Stratum_1"," [g/km^2]",24014.0041044547,19126.2271281013,0.796461391649107
"1","1981","Stratum_1"," [g/km^2]",1122409.01591685,723514.666063189,0.644608744052354
"1","1982","Stratum_1"," [g/km^2]",152708.370166488,95340.2733883209,0.624329061232057
"1","1983","Stratum_1"," [g/km^2]",75415.074633125,65404.7755035258,0.867263949836337
"1","1984","Stratum_1"," [g/km^2]",205902.289157366,126287.56817639,0.613337368385799
"1","1985","Stratum_1"," [g/km^2]",113876.928214086,60119.8298939861,0.527936877441598
"1","1986","Stratum_1"," [g/km^2]",240336.160535174,88456.571593063,0.368053527176641
"1","1987","Stratum_1"," [g/km^2]",800766.699785906,259271.831531317,0.323779487334623
"1","1988","Stratum_1"," [g/km^2]",501343.37398926,142249.171360849,0.283736015555473
"1","1989","Stratum_1"," [g/km^2]",247876.851957808,69256.7737564889,0.279399924637889
"1","1990","Stratum_1"," [g/km^2]",616166.40222458,169192.530065838,0.274589022470214
"1","1991","Stratum_1"," [g/km^2]",707154.554870991,156576.156698234,0.221417164917787
"1","1992","Stratum_1"," [g/km^2]",1112871.83470037,212172.921906106,0.19065351039568
"1","1993","Stratum_1"," [g/km^2]",1518307.44640156,287919.292530524,0.189631746332339
"1","1994","Stratum_1"," [g/km^2]",641298.00461729,130868.662743763,0.204068407825253
"1","1995","Stratum_1"," [g/km^2]",799848.814720136,154561.259016398,0.19323809221431
"1","1996","Stratum_1"," [g/km^2]",652196.874297512,144972.779843736,0.222283769758769
"1","1997","Stratum_1"," [g/km^2]",915956.699200282,185655.762011499,0.202690544404116
"1","1998","Stratum_1"," [g/km^2]",824410.26234239,163621.620279338,0.198471110505638
"1","1999","Stratum_1"," [g/km^2]",942505.204210886,178626.313773884,0.189522893853345
"1","2000","Stratum_1"," [g/km^2]",1230478.53456561,262854.104460658,0.213619414786013
"1","2001","Stratum_1"," [g/km^2]",1174772.8905142,248686.472642696,0.211688978057575
"1","2002","Stratum_1"," [g/km^2]",1104870.1951634,264389.77382285,0.239294873714778
"1","2003","Stratum_1"," [g/km^2]",586157.639914639,155823.183318821,0.265838355943827
"1","2004","Stratum_1"," [g/km^2]",935751.970754983,228049.296296854,0.243706990125666
"1","2005","Stratum_1"," [g/km^2]",559171.655463315,154286.677113388,0.27592006069326
"1","2006","Stratum_1"," [g/km^2]",713027.86782203,201410.930748048,0.282472733307416
"1","2007","Stratum_1"," [g/km^2]",722026.536574902,202822.165911794,0.28090680278031
"1","2008","Stratum_1"," [g/km^2]",785329.722042989,219098.010297354,0.278988562571379
"1","2009","Stratum_1"," [g/km^2]",354889.849245814,91906.1057641913,0.258970793217963
"1","2010","Stratum_1"," [g/km^2]",265750.615087822,75428.1960762131,0.283830748806683
"1","2011","Stratum_1"," [g/km^2]",487486.830106572,132706.573075687,0.27222596566696
"1","2012","Stratum_1"," [g/km^2]",677648.530111143,158238.439037195,0.233511078392277
"1","2013","Stratum_1"," [g/km^2]",547080.867603871,139998.52678027,0.255900973823928
"1","2014","Stratum_1"," [g/km^2]",387949.320999731,109429.030155981,0.282070425781353
"1","2015","Stratum_1"," [g/km^2]",471121.586938455,130311.124240491,0.276597650910685
"1","2016","Stratum_1"," [g/km^2]",474021.755896737,136007.540751525,0.286922570661826
"1","2017","Stratum_1"," [g/km^2]",321135.181620874,132460.049569396,0.412474425570027
"1","2018","Stratum_1"," [g/km^2]",143855.559259442,91022.8348954213,0.63273769442071
"1","2019","Stratum_1"," [g/km^2]",126706.181224022,61256.5324399762,0.483453386789963
"1","2020","Stratum_1"," [g/km^2]",0,0,0
"1","2021","Stratum_1"," [g/km^2]",237590.804854838,86122.9974041219,0.36248455598583
"1","2022","Stratum_1"," [g/km^2]",43710.2809227432,24228.1475773869,0.554289450122946
"1","1973","Stratum_2"," [g/km^2]",60488.0544790851,65073.5127258688,1.07580766626193
"1","1974","Stratum_2"," [g/km^2]",1145015.52532256,706531.920408834,0.617050079045697
"1","1975","Stratum_2"," [g/km^2]",185690.675924021,201664.561414439,1.08602416578501
"1","1976","Stratum_2"," [g/km^2]",627115.3523098,500239.613696187,0.797683571058653
"1","1977","Stratum_2"," [g/km^2]",3440.60565952363,3731.7888255044,1.08463136865882
"1","1978","Stratum_2"," [g/km^2]",109139.125860193,61274.0576044047,0.561430716266655
"1","1979","Stratum_2"," [g/km^2]",126000.85366413,52960.0793309588,0.420315242245342
"1","1980","Stratum_2"," [g/km^2]",13079.1804957831,10464.0170604114,0.800051430117136
"1","1981","Stratum_2"," [g/km^2]",561553.865772896,364740.489783739,0.649520040756422
"1","1982","Stratum_2"," [g/km^2]",77162.8001452918,50146.6838552748,0.64988159787945
"1","1983","Stratum_2"," [g/km^2]",37211.109606922,33221.5383103904,0.892785478888555
"1","1984","Stratum_2"," [g/km^2]",87121.0607891792,58172.3927171581,0.667719058861401
"1","1985","Stratum_2"," [g/km^2]",56306.6690413056,31840.2115595136,0.565478514386218
"1","1986","Stratum_2"," [g/km^2]",112005.15560605,46812.3946183789,0.417948570001811
"1","1987","Stratum_2"," [g/km^2]",436505.772019339,153340.3487614,0.35129054090631
"1","1988","Stratum_2"," [g/km^2]",247964.536507661,81215.5863279914,0.327529038917558
"1","1989","Stratum_2"," [g/km^2]",116348.575420856,36100.0880536834,0.310275290635078
"1","1990","Stratum_2"," [g/km^2]",290884.850912413,93467.1775813349,0.321320196937581
"1","1991","Stratum_2"," [g/km^2]",356055.278726601,92067.9088207392,0.258577570173969
"1","1992","Stratum_2"," [g/km^2]",590973.692761434,133256.941196304,0.225487094990025
"1","1993","Stratum_2"," [g/km^2]",816970.476005242,186477.308594354,0.228254648204885
"1","1994","Stratum_2"," [g/km^2]",319607.075982445,74392.6341303964,0.232762788188338
"1","1995","Stratum_2"," [g/km^2]",431806.917358126,92816.8522429418,0.21494989661308
"1","1996","Stratum_2"," [g/km^2]",406161.98874242,94767.8055080824,0.233325146455747
"1","1997","Stratum_2"," [g/km^2]",493398.419198606,105083.624418214,0.212979248269369
"1","1998","Stratum_2"," [g/km^2]",536434.449972981,113485.846672065,0.211555851190728
"1","1999","Stratum_2"," [g/km^2]",601425.042804382,116966.164493068,0.194481699577503
"1","2000","Stratum_2"," [g/km^2]",791808.75249749,181085.300715038,0.228698281174421
"1","2001","Stratum_2"," [g/km^2]",583816.105859095,138207.409754488,0.236731067141618
"1","2002","Stratum_2"," [g/km^2]",591285.811092597,152265.809903052,0.257516427836634
"1","2003","Stratum_2"," [g/km^2]",331828.065112512,94880.7694299293,0.285933528249812
"1","2004","Stratum_2"," [g/km^2]",561667.686932931,142031.061429628,0.252873834001755
"1","2005","Stratum_2"," [g/km^2]",320302.415142285,92862.1553644381,0.28992024716138
"1","2006","Stratum_2"," [g/km^2]",411687.279074852,121942.570122917,0.296201938512523
"1","2007","Stratum_2"," [g/km^2]",339350.914525066,109954.977310795,0.324015562075857
"1","2008","Stratum_2"," [g/km^2]",358744.488551934,118072.568452339,0.329127198382719
"1","2009","Stratum_2"," [g/km^2]",168011.03668278,49492.8885417842,0.294581174659563
"1","2010","Stratum_2"," [g/km^2]",133760.975907368,43358.175140784,0.324146671678072
"1","2011","Stratum_2"," [g/km^2]",291457.14958086,85903.7380286086,0.294738825766137
"1","2012","Stratum_2"," [g/km^2]",296598.611618037,84098.2064582775,0.28354214471705
"1","2013","Stratum_2"," [g/km^2]",238147.418818045,72615.5354463458,0.304918423247017
"1","2014","Stratum_2"," [g/km^2]",150952.047240176,51946.6160107738,0.344126608154728
"1","2015","Stratum_2"," [g/km^2]",204936.219407643,69395.2038575036,0.338618542188815
"1","2016","Stratum_2"," [g/km^2]",162940.253537449,59060.6360309751,0.362468050397389
"1","2017","Stratum_2"," [g/km^2]",126277.085796979,60312.8669181343,0.477623208814789
"1","2018","Stratum_2"," [g/km^2]",65872.8553690553,44369.5298134607,0.673563178108471
"1","2019","Stratum_2"," [g/km^2]",56801.8338274325,29760.5207473662,0.523935914424525
"1","2020","Stratum_2"," [g/km^2]",0,0,0
"1","2021","Stratum_2"," [g/km^2]",99647.5520891092,41991.0555801586,0.421395756341394
"1","2022","Stratum_2"," [g/km^2]",20750.6770954634,12128.6708762984,0.584495186373943
"1","1973","Stratum_3"," [g/km^2]",2318.18856576875,2600.9901866418,1.12199250097641
"1","1974","Stratum_3"," [g/km^2]",40294.1012197215,28350.0131406929,0.703577255293571
"1","1975","Stratum_3"," [g/km^2]",7525.97709256305,8435.10480481645,1.12079862867929
"1","1976","Stratum_3"," [g/km^2]",24533.0509776179,20707.8191319884,0.844078429172166
"1","1977","Stratum_3"," [g/km^2]",139.810224142569,157.158690556942,1.12408582076717
"1","1978","Stratum_3"," [g/km^2]",4916.52120687096,2987.86898146948,0.607720145149349
"1","1979","Stratum_3"," [g/km^2]",6127.34908441367,2865.48909135719,0.467655596552549
"1","1980","Stratum_3"," [g/km^2]",512.865128161523,438.738428609284,0.855465510361443
"1","1981","Stratum_3"," [g/km^2]",24708.1763542468,17284.4201223065,0.699542526914805
"1","1982","Stratum_3"," [g/km^2]",3080.65567512101,2170.90371769588,0.704688854138366
"1","1983","Stratum_3"," [g/km^2]",1555.25742372752,1449.84194090804,0.932219913429616
"1","1984","Stratum_3"," [g/km^2]",3847.25600534554,2680.55885694743,0.696745642406677
"1","1985","Stratum_3"," [g/km^2]",2607.02217190161,1569.27500907657,0.601941566124816
"1","1986","Stratum_3"," [g/km^2]",5760.35510449032,2713.83035136806,0.471122057953087
"1","1987","Stratum_3"," [g/km^2]",20522.8365436436,8740.71170971073,0.425901735908818
"1","1988","Stratum_3"," [g/km^2]",12912.6293906732,5226.35329114422,0.404747409146522
"1","1989","Stratum_3"," [g/km^2]",5484.46274183919,2201.37496576045,0.4013838856023
"1","1990","Stratum_3"," [g/km^2]",15699.5329389322,6878.24150397662,0.438117588002872
"1","1991","Stratum_3"," [g/km^2]",18346.240189109,6196.12974872498,0.337732946089043
"1","1992","Stratum_3"," [g/km^2]",21817.2270258507,6779.49743982452,0.310740564407735
"1","1993","Stratum_3"," [g/km^2]",21694.4402383125,7400.12262586959,0.341106870911605
"1","1994","Stratum_3"," [g/km^2]",11009.9478832972,4031.30615443567,0.366151247686779
"1","1995","Stratum_3"," [g/km^2]",18499.2938581903,5520.17562087287,0.298399261246877
"1","1996","Stratum_3"," [g/km^2]",10740.2644023376,3843.72694897946,0.35788010471538
"1","1997","Stratum_3"," [g/km^2]",25896.8527950631,8334.41852226509,0.321831327853628
"1","1998","Stratum_3"," [g/km^2]",15820.6901645214,4862.93610308797,0.307378252940781
"1","1999","Stratum_3"," [g/km^2]",23460.4317228378,6855.73196158234,0.292225311220874
"1","2000","Stratum_3"," [g/km^2]",28863.2511193201,9035.86089173284,0.313057626612427
"1","2001","Stratum_3"," [g/km^2]",20237.0658029697,7044.78670723806,0.348113050371377
"1","2002","Stratum_3"," [g/km^2]",26045.1527186549,8905.18769200664,0.341913437337163
"1","2003","Stratum_3"," [g/km^2]",12185.9116610911,4671.80793556263,0.383377794414796
"1","2004","Stratum_3"," [g/km^2]",21557.3525979922,7641.51343669994,0.354473648930882
"1","2005","Stratum_3"," [g/km^2]",13405.2248669112,5233.49619522287,0.390407191761547
"1","2006","Stratum_3"," [g/km^2]",17298.1311891989,6563.86230052529,0.37945499596071
"1","2007","Stratum_3"," [g/km^2]",11674.8548975831,4539.34822790104,0.388814102421159
"1","2008","Stratum_3"," [g/km^2]",15718.0269512133,5949.15723148205,0.378492621875982
"1","2009","Stratum_3"," [g/km^2]",7802.59286490446,2850.92023100525,0.365381134241734
"1","2010","Stratum_3"," [g/km^2]",5113.82975992792,2018.57421452463,0.394728473431443
"1","2011","Stratum_3"," [g/km^2]",11648.8932288306,4066.09163578426,0.349053902023999
"1","2012","Stratum_3"," [g/km^2]",9129.55254446555,3340.01343934861,0.365846346037338
"1","2013","Stratum_3"," [g/km^2]",10017.3666668369,3702.1455875321,0.369572734098699
"1","2014","Stratum_3"," [g/km^2]",5877.3848104343,2302.25805616624,0.391714704825685
"1","2015","Stratum_3"," [g/km^2]",6270.22981837247,2627.08506970745,0.418977477031191
"1","2016","Stratum_3"," [g/km^2]",7196.17821198452,3029.45582827346,0.420981212392461
"1","2017","Stratum_3"," [g/km^2]",5801.76640585089,3011.49243495329,0.519064751024154
"1","2018","Stratum_3"," [g/km^2]",2979.96981837196,2077.28329964455,0.697081992857039
"1","2019","Stratum_3"," [g/km^2]",2516.91084933388,1409.9606837365,0.560194924706872
"1","2020","Stratum_3"," [g/km^2]",0,0,0
"1","2021","Stratum_3"," [g/km^2]",3927.24536488094,1852.89741557713,0.471805869871666
"1","2022","Stratum_3"," [g/km^2]",914.183478729392,557.97414896515,0.610352475129684
"1","1973","Stratum_4"," [g/km^2]",58169.8659133163,62594.3058252042,1.07606068610303
"1","1974","Stratum_4"," [g/km^2]",1104721.42410285,681653.360993891,0.617036427574913
"1","1975","Stratum_4"," [g/km^2]",178164.698831458,193610.300894339,1.08669283064595
"1","1976","Stratum_4"," [g/km^2]",602582.301332181,481199.741450885,0.798562686602408
"1","1977","Stratum_4"," [g/km^2]",3300.79543538105,3581.36675743274,1.08500112398492
"1","1978","Stratum_4"," [g/km^2]",104222.604653322,58663.4538800502,0.562866895096166
"1","1979","Stratum_4"," [g/km^2]",119873.504579716,50668.957266339,0.422686876837271
"1","1980","Stratum_4"," [g/km^2]",12566.3153676215,10059.725558216,0.800531043820204
"1","1981","Stratum_4"," [g/km^2]",536845.68941865,349146.224408601,0.650366075932716
"1","1982","Stratum_4"," [g/km^2]",74082.1444701706,48225.6521400745,0.650975379897277
"1","1983","Stratum_4"," [g/km^2]",35655.8521831944,31861.8345562207,0.893593410487546
"1","1984","Stratum_4"," [g/km^2]",83273.8047838335,55767.8629380316,0.669692745309242
"1","1985","Stratum_4"," [g/km^2]",53699.646869404,30459.9224005173,0.567227610911392
"1","1986","Stratum_4"," [g/km^2]",106244.800501559,44653.6931197753,0.420290620425419
"1","1987","Stratum_4"," [g/km^2]",415982.935475696,147241.822025914,0.353961207224851
"1","1988","Stratum_4"," [g/km^2]",235051.907116987,77467.9016687891,0.32957784779952
"1","1989","Stratum_4"," [g/km^2]",110864.112679017,34541.5923190175,0.311566939781725
"1","1990","Stratum_4"," [g/km^2]",275185.317973481,88703.7038483679,0.32234170231755
"1","1991","Stratum_4"," [g/km^2]",337709.038537492,88063.9990800187,0.26076885434099
"1","1992","Stratum_4"," [g/km^2]",569156.465735582,129520.950994912,0.227566510779277
"1","1993","Stratum_4"," [g/km^2]",795276.035766929,182887.34856429,0.229967131334371
"1","1994","Stratum_4"," [g/km^2]",308597.128099148,71945.990761035,0.233138886302011
"1","1995","Stratum_4"," [g/km^2]",413307.623499936,89746.6074903378,0.21714239560924
"1","1996","Stratum_4"," [g/km^2]",395421.724340083,92798.7072257614,0.234682875303911
"1","1997","Stratum_4"," [g/km^2]",467501.566403543,100153.112489811,0.214230538862752
"1","1998","Stratum_4"," [g/km^2]",520613.75980846,110918.087688577,0.213052547303753
"1","1999","Stratum_4"," [g/km^2]",577964.611081543,113218.511007125,0.195891770596922
"1","2000","Stratum_4"," [g/km^2]",762945.501378169,176410.020514782,0.23122230905893
"1","2001","Stratum_4"," [g/km^2]",563579.040056125,133926.012932202,0.237634836311273
"1","2002","Stratum_4"," [g/km^2]",565240.658373941,146852.295907714,0.259804905631121
"1","2003","Stratum_4"," [g/km^2]",319642.15345142,91815.6329157447,0.287245070540106
"1","2004","Stratum_4"," [g/km^2]",540110.334334938,137068.093471811,0.253777950093454
"1","2005","Stratum_4"," [g/km^2]",306897.190275373,89399.5721156746,0.291301370453923
"1","2006","Stratum_4"," [g/km^2]",394389.147885652,117335.886700033,0.297512969941182
"1","2007","Stratum_4"," [g/km^2]",327676.059627483,107250.496715835,0.327306477127936
"1","2008","Stratum_4"," [g/km^2]",343026.461600721,114242.979507436,0.33304421756364
"1","2009","Stratum_4"," [g/km^2]",160208.443817875,47687.5029610966,0.297659110997345
"1","2010","Stratum_4"," [g/km^2]",128647.14614744,42043.6103484951,0.326813393126578
"1","2011","Stratum_4"," [g/km^2]",279808.25635203,83187.6869027853,0.297302474156182
"1","2012","Stratum_4"," [g/km^2]",287469.059073571,82223.7762781901,0.286026525926558
"1","2013","Stratum_4"," [g/km^2]",228130.052151208,70325.4941987987,0.308269311893138
"1","2014","Stratum_4"," [g/km^2]",145074.662429741,50381.7255672428,0.34728135653352
"1","2015","Stratum_4"," [g/km^2]",198665.989589271,67699.8654785073,0.340772296347613
"1","2016","Stratum_4"," [g/km^2]",155744.075325465,56969.1209501287,0.36578676158999
"1","2017","Stratum_4"," [g/km^2]",120475.319391128,57874.6811930218,0.480386202630674
"1","2018","Stratum_4"," [g/km^2]",62892.8855506834,42536.0312112323,0.676325006219566
"1","2019","Stratum_4"," [g/km^2]",54284.9229780987,28608.3369607456,0.527003362835893
"1","2020","Stratum_4"," [g/km^2]",0,0,0
"1","2021","Stratum_4"," [g/km^2]",95720.3067242284,40581.501062106,0.4239591623857
"1","2022","Stratum_4"," [g/km^2]",19836.493616734,11642.9395759518,0.586945445143082
"1","1973","Stratum_5"," [g/km^2]",29448.4990970187,32142.6730502902,1.09148764914625
"1","1974","Stratum_5"," [g/km^2]",513723.360768299,345332.513906357,0.67221493176774
"1","1975","Stratum_5"," [g/km^2]",90050.7470891718,99535.9752872568,1.10533203226724
"1","1976","Stratum_5"," [g/km^2]",294521.97276923,243084.380338449,0.825352275257625
"1","1977","Stratum_5"," [g/km^2]",1739.39032415653,1915.16294381311,1.10105415513438
"1","1978","Stratum_5"," [g/km^2]",60563.0695325878,35532.0351794746,0.586694753976359
"1","1979","Stratum_5"," [g/km^2]",73217.2061458151,32211.9127101055,0.439950039147275
"1","1980","Stratum_5"," [g/km^2]",6535.17356818847,5373.72183035677,0.822276833857121
"1","1981","Stratum_5"," [g/km^2]",312196.80819037,204304.590401484,0.654409606509825
"1","1982","Stratum_5"," [g/km^2]",38123.5471209314,25493.8989592201,0.668717915422482
"1","1983","Stratum_5"," [g/km^2]",18722.313710315,17077.7144175307,0.9121583305231
"1","1984","Stratum_5"," [g/km^2]",46261.9070133733,31366.2025092073,0.678013608477922
"1","1985","Stratum_5"," [g/km^2]",32727.4638708716,18755.7063121278,0.573087679085974
"1","1986","Stratum_5"," [g/km^2]",68272.2831544645,29141.1374763452,0.426837013937472
"1","1987","Stratum_5"," [g/km^2]",212067.082173968,80568.9725505521,0.379922106366598
"1","1988","Stratum_5"," [g/km^2]",130878.197722092,46809.1473127102,0.35765427800362
"1","1989","Stratum_5"," [g/km^2]",68270.4551897284,22552.5361511471,0.330341083686523
"1","1990","Stratum_5"," [g/km^2]",121606.700881105,43835.9408431856,0.360473070361838
"1","1991","Stratum_5"," [g/km^2]",216573.478500035,59494.1060292203,0.274706332655643
"1","1992","Stratum_5"," [g/km^2]",266306.856796963,59584.6633518885,0.22374438295938
"1","1993","Stratum_5"," [g/km^2]",311610.353906579,74302.4154696216,0.23844655525117
