"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",3880.89218837224,4142.89750280015,1.06751161890374
"1","1974","Stratum_1"," [g/km^2]",7154.9273792971,5396.9775883572,0.75430221751425
"1","1975","Stratum_1"," [g/km^2]",0,0,0
"1","1976","Stratum_1"," [g/km^2]",14733.2412800409,15800.9748832069,1.0724710593461
"1","1977","Stratum_1"," [g/km^2]",0,0,0
"1","1978","Stratum_1"," [g/km^2]",1793.0976024411,2642.34569051328,1.47362067012751
"1","1979","Stratum_1"," [g/km^2]",3829.92093210518,2295.87257993482,0.599456913245691
"1","1980","Stratum_1"," [g/km^2]",564.942760299673,628.590011895005,1.11266141646202
"1","1981","Stratum_1"," [g/km^2]",9843.55257381476,8827.10353975158,0.896739614438893
"1","1982","Stratum_1"," [g/km^2]",1261.65262220513,879.402496380677,0.697024268727514
"1","1983","Stratum_1"," [g/km^2]",116.827198983223,174.129366773589,1.49048653300842
"1","1984","Stratum_1"," [g/km^2]",125.007064085359,187.443624143694,1.49946425440165
"1","1985","Stratum_1"," [g/km^2]",595.970123716503,402.150106410455,0.674782326172026
"1","1986","Stratum_1"," [g/km^2]",2759.36148198704,1449.26605838704,0.525217905608878
"1","1987","Stratum_1"," [g/km^2]",5845.57201710065,3400.51006660168,0.58172409075687
"1","1988","Stratum_1"," [g/km^2]",5615.17733550925,2544.80751520997,0.453201628934698
"1","1989","Stratum_1"," [g/km^2]",2098.10597299445,912.814293566918,0.435065866698879
"1","1990","Stratum_1"," [g/km^2]",5226.84912638121,2837.58393574993,0.542886137927332
"1","1991","Stratum_1"," [g/km^2]",9131.43051034645,3278.71676087938,0.359058392566685
"1","1992","Stratum_1"," [g/km^2]",11608.9171585663,3837.48961460073,0.330563958910589
"1","1993","Stratum_1"," [g/km^2]",20384.0608030411,6818.48672656865,0.334500902074989
"1","1994","Stratum_1"," [g/km^2]",11349.8458537333,3379.33431119059,0.297742749526334
"1","1995","Stratum_1"," [g/km^2]",11876.1380571166,3339.183569097,0.281167459744716
"1","1996","Stratum_1"," [g/km^2]",10065.978926362,2989.75091758992,0.297015415933366
"1","1997","Stratum_1"," [g/km^2]",17058.450737014,4667.41926949455,0.273613315854472
"1","1998","Stratum_1"," [g/km^2]",18252.9430792183,4919.13686624316,0.269498285558332
"1","1999","Stratum_1"," [g/km^2]",27925.7599923933,6784.54155704784,0.242949218173325
"1","2000","Stratum_1"," [g/km^2]",29850.2826513191,8402.5850081555,0.281490969660356
"1","2001","Stratum_1"," [g/km^2]",41228.7285765803,11589.4272581556,0.281100767796627
"1","2002","Stratum_1"," [g/km^2]",20867.2976057471,6119.06902387706,0.293237252829124
"1","2003","Stratum_1"," [g/km^2]",14819.374690762,5098.2406333718,0.344025354629159
"1","2004","Stratum_1"," [g/km^2]",26564.2319434842,8766.00750328657,0.329992883736914
"1","2005","Stratum_1"," [g/km^2]",10956.2497376234,4189.73768379677,0.38240618680034
"1","2006","Stratum_1"," [g/km^2]",13357.9783468577,4787.3425943573,0.35838825831631
"1","2007","Stratum_1"," [g/km^2]",8594.55531368231,3673.72712387665,0.427448191301786
"1","2008","Stratum_1"," [g/km^2]",7007.54682630389,3191.48720157981,0.455435729605124
"1","2009","Stratum_1"," [g/km^2]",9044.24224036982,3148.1175286315,0.348079744545053
"1","2010","Stratum_1"," [g/km^2]",10626.9770150026,3920.76885462592,0.368944888945442
"1","2011","Stratum_1"," [g/km^2]",19580.2293496249,7218.20039068597,0.368647387208682
"1","2012","Stratum_1"," [g/km^2]",34444.4393025383,10134.9855406048,0.294241559619694
"1","2013","Stratum_1"," [g/km^2]",20819.4326124577,6900.38983804477,0.331439860369479
"1","2014","Stratum_1"," [g/km^2]",20748.7456944951,7360.12344886363,0.354726187174601
"1","2015","Stratum_1"," [g/km^2]",12971.3392570982,4980.00324033246,0.383923598144062
"1","2016","Stratum_1"," [g/km^2]",12792.9967324155,4594.31034062763,0.359126984609191
"1","2017","Stratum_1"," [g/km^2]",8315.81170554105,4548.08793675595,0.546920504913003
"1","2018","Stratum_1"," [g/km^2]",9017.04924062671,6875.45667291655,0.76249518988306
"1","2019","Stratum_1"," [g/km^2]",1213.42624190452,1107.64461879063,0.912824018913698
"1","2020","Stratum_1"," [g/km^2]",0,0,0
"1","2021","Stratum_1"," [g/km^2]",13900.7157615528,5461.87324678266,0.392920288456612
"1","2022","Stratum_1"," [g/km^2]",1359.36422570976,1069.17236753092,0.786523837621724
"1","1973","Stratum_2"," [g/km^2]",2876.0522842945,3150.61265802386,1.09546431934797
"1","1974","Stratum_2"," [g/km^2]",5082.5559357413,3949.46229269952,0.777062238494283
"1","1975","Stratum_2"," [g/km^2]",0,0,0
"1","1976","Stratum_2"," [g/km^2]",9088.83194949727,10228.035230973,1.12534099957022
"1","1977","Stratum_2"," [g/km^2]",0,0,0
"1","1978","Stratum_2"," [g/km^2]",1181.13517731994,1736.70549200246,1.47036979792873
"1","1979","Stratum_2"," [g/km^2]",2118.06239567598,1360.08060038515,0.642134340877655
"1","1980","Stratum_2"," [g/km^2]",385.754910293317,427.723666467851,1.10879642761416
"1","1981","Stratum_2"," [g/km^2]",6743.17727536985,6039.0214676385,0.895575071071706
"1","1982","Stratum_2"," [g/km^2]",627.339443582164,474.573986630473,0.756486765634585
"1","1983","Stratum_2"," [g/km^2]",75.6216102447124,112.763575313745,1.49115543756395
"1","1984","Stratum_2"," [g/km^2]",80.5202222433884,121.331421187193,1.50684409216413
"1","1985","Stratum_2"," [g/km^2]",409.041495982189,275.804337802229,0.674269824727608
"1","1986","Stratum_2"," [g/km^2]",1831.33257015232,995.300574958745,0.54348434095505
"1","1987","Stratum_2"," [g/km^2]",4097.72264946939,2384.984406044,0.582026801241133
"1","1988","Stratum_2"," [g/km^2]",2597.95715283666,1266.11026698641,0.487348402033487
"1","1989","Stratum_2"," [g/km^2]",1649.6034500541,712.789868756652,0.432097707320674
"1","1990","Stratum_2"," [g/km^2]",2736.39397225162,1537.38803415643,0.561829930100092
"1","1991","Stratum_2"," [g/km^2]",5938.28730421737,2136.40155087852,0.359767293401458
"1","1992","Stratum_2"," [g/km^2]",9035.37425959781,2998.54915184044,0.331867730731269
"1","1993","Stratum_2"," [g/km^2]",17048.3729451172,5854.9663105894,0.343432556845037
"1","1994","Stratum_2"," [g/km^2]",9121.37080770115,2673.50134123248,0.293103021201071
"1","1995","Stratum_2"," [g/km^2]",9201.13444400781,2545.34733929758,0.2766340775463
"1","1996","Stratum_2"," [g/km^2]",7835.47300405625,2306.87156068867,0.294413822815095
"1","1997","Stratum_2"," [g/km^2]",13114.1699898192,3534.20882048674,0.26949542542383
"1","1998","Stratum_2"," [g/km^2]",14114.25309484,3851.65245889213,0.272890987076053
"1","1999","Stratum_2"," [g/km^2]",22988.3281772467,5573.16569009196,0.242434580153947
"1","2000","Stratum_2"," [g/km^2]",21689.1099891833,6181.4831628298,0.285004002742051
"1","2001","Stratum_2"," [g/km^2]",26311.8705678889,7362.1927928809,0.279804994247188
"1","2002","Stratum_2"," [g/km^2]",14047.8826209006,4090.24326792793,0.291164396678714
"1","2003","Stratum_2"," [g/km^2]",12077.6719818791,4121.16493067392,0.341221796456897
"1","2004","Stratum_2"," [g/km^2]",20956.6550304176,6886.95475813708,0.328628531038994
"1","2005","Stratum_2"," [g/km^2]",8345.119722928,3170.90824768466,0.379971570566287
"1","2006","Stratum_2"," [g/km^2]",10698.8865298642,3774.30555919096,0.352775548058726
"1","2007","Stratum_2"," [g/km^2]",6295.71311630762,2671.87964938307,0.42439666484519
"1","2008","Stratum_2"," [g/km^2]",4392.06380589149,2031.5265485999,0.462544862366255
"1","2009","Stratum_2"," [g/km^2]",6207.99358910362,2311.83499239662,0.372396485146891
"1","2010","Stratum_2"," [g/km^2]",6899.72644502877,2773.50506361366,0.401973192083863
"1","2011","Stratum_2"," [g/km^2]",13781.8622792517,5281.02050761299,0.383186277776365
"1","2012","Stratum_2"," [g/km^2]",18934.0185774452,6621.96421096543,0.34973897294332
"1","2013","Stratum_2"," [g/km^2]",11803.9211587373,4577.51611534348,0.387796229217883
"1","2014","Stratum_2"," [g/km^2]",8617.56610485773,3730.94900048897,0.43294695452186
"1","2015","Stratum_2"," [g/km^2]",8728.5938640391,3613.55862082993,0.413990921918982
"1","2016","Stratum_2"," [g/km^2]",4437.70186750664,2103.63062266375,0.474036040606236
"1","2017","Stratum_2"," [g/km^2]",3521.45520053717,2192.63926070495,0.622651471008483
"1","2018","Stratum_2"," [g/km^2]",4577.95929452681,3725.04285661141,0.813690689881169
"1","2019","Stratum_2"," [g/km^2]",634.805564126023,612.512981283318,0.964882817507438
"1","2020","Stratum_2"," [g/km^2]",0,0,0
"1","2021","Stratum_2"," [g/km^2]",5426.80356878533,2594.37477263919,0.478066828798057
"1","2022","Stratum_2"," [g/km^2]",738.169835663391,606.902624469952,0.822172073618431
"1","1973","Stratum_3"," [g/km^2]",97.1312019682967,116.942215805058,1.2039613783759
"1","1974","Stratum_3"," [g/km^2]",163.377487012978,156.980466198645,0.960845151120333
"1","1975","Stratum_3"," [g/km^2]",0,0,0
"1","1976","Stratum_3"," [g/km^2]",367.790199641202,440.885676990189,1.19874231945357
"1","1977","Stratum_3"," [g/km^2]",0,0,0
"1","1978","Stratum_3"," [g/km^2]",55.9040666795596,84.1528299454432,1.50530784151723
"1","1979","Stratum_3"," [g/km^2]",107.867530941081,77.2433509715594,0.716094549468742
"1","1980","Stratum_3"," [g/km^2]",14.5258630782807,17.7885589018356,1.2246128719493
"1","1981","Stratum_3"," [g/km^2]",286.457108661082,283.209187346239,0.988661753481962
"1","1982","Stratum_3"," [g/km^2]",30.8510489543649,26.4148040990094,0.856204407768515
"1","1983","Stratum_3"," [g/km^2]",3.13180397865823,4.81610957937962,1.53780683982751
"1","1984","Stratum_3"," [g/km^2]",3.44581187026618,5.30012286606444,1.53813471704566
"1","1985","Stratum_3"," [g/km^2]",19.1241567840692,14.0841499400017,0.736458610909008
"1","1986","Stratum_3"," [g/km^2]",114.223008556437,73.4190113646604,0.642769020817591
"1","1987","Stratum_3"," [g/km^2]",263.83249738968,183.368919202591,0.69502021554136
"1","1988","Stratum_3"," [g/km^2]",144.840337256741,86.0562541682835,0.594145635105379
"1","1989","Stratum_3"," [g/km^2]",63.9482168748049,36.7128263146888,0.574102423943478
"1","1990","Stratum_3"," [g/km^2]",112.633447147353,79.3974253096998,0.704918719266648
"1","1991","Stratum_3"," [g/km^2]",273.622018506602,134.527469248514,0.491654399681536
"1","1992","Stratum_3"," [g/km^2]",292.829309611469,143.024980217504,0.488424401257074
"1","1993","Stratum_3"," [g/km^2]",315.946967988404,173.156683764124,0.548056165459005
"1","1994","Stratum_3"," [g/km^2]",208.025500302372,115.075013891405,0.55317744086249
"1","1995","Stratum_3"," [g/km^2]",443.418325062776,181.760369983961,0.409907213370644
"1","1996","Stratum_3"," [g/km^2]",225.651629511297,118.04326085493,0.523121685895117
"1","1997","Stratum_3"," [g/km^2]",636.886741538147,283.636964842919,0.445349143488065
"1","1998","Stratum_3"," [g/km^2]",521.148907313543,217.859965913703,0.418037844570652
"1","1999","Stratum_3"," [g/km^2]",804.973892665796,305.507563808343,0.379524810173168
"1","2000","Stratum_3"," [g/km^2]",1295.87283615946,552.178649427288,0.426105582291365
"1","2001","Stratum_3"," [g/km^2]",964.419955739337,483.682384151929,0.501526727307433
"1","2002","Stratum_3"," [g/km^2]",675.206514217422,286.360837800095,0.424108523496685
"1","2003","Stratum_3"," [g/km^2]",341.157811213616,190.742189269605,0.559102512092776
"1","2004","Stratum_3"," [g/km^2]",951.148372679661,514.272428697939,0.540685810405253
