"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1973","Stratum_1"," [g/km^2]",190020.371218308,198810.473505317,1.0462587365273
"1","1974","Stratum_1"," [g/km^2]",856730.455648384,622369.509971957,0.726447280902302
"1","1975","Stratum_1"," [g/km^2]",0,0,0
"1","1976","Stratum_1"," [g/km^2]",1717264.89077941,1880514.34238799,1.09506364014376
"1","1977","Stratum_1"," [g/km^2]",0,0,0
"1","1978","Stratum_1"," [g/km^2]",164974.086082797,243319.849354438,1.47489739226269
"1","1979","Stratum_1"," [g/km^2]",237659.109474784,132017.533286583,0.555491155286817
"1","1980","Stratum_1"," [g/km^2]",28039.4257134952,30499.0080041573,1.08771871135286
"1","1981","Stratum_1"," [g/km^2]",569144.911824813,491474.555851855,0.863531493721126
"1","1982","Stratum_1"," [g/km^2]",88253.313099985,59918.2217415256,0.678934531031625
"1","1983","Stratum_1"," [g/km^2]",6633.32782587118,9961.65771081177,1.50175869070718
"1","1984","Stratum_1"," [g/km^2]",10298.5191701585,15517.3338788137,1.50675389562583
"1","1985","Stratum_1"," [g/km^2]",33968.1148419137,21010.9457875136,0.618549068304134
"1","1986","Stratum_1"," [g/km^2]",143211.382020812,71337.0067228822,0.498123862197737
"1","1987","Stratum_1"," [g/km^2]",342650.961502835,185190.866792768,0.540465043438192
"1","1988","Stratum_1"," [g/km^2]",251304.223042917,101240.176683548,0.40285903459035
"1","1989","Stratum_1"," [g/km^2]",77429.8452400326,30223.7293768676,0.390336946731252
"1","1990","Stratum_1"," [g/km^2]",204318.406650989,103396.89702228,0.506057671049182
"1","1991","Stratum_1"," [g/km^2]",299779.939259914,89045.9555161387,0.297037739536449
"1","1992","Stratum_1"," [g/km^2]",404266.879099346,108412.91716811,0.268171652868619
"1","1993","Stratum_1"," [g/km^2]",767354.157267205,232403.044213412,0.302862820266816
"1","1994","Stratum_1"," [g/km^2]",272224.782523818,73021.6401431261,0.268240236859178
"1","1995","Stratum_1"," [g/km^2]",337545.645533417,73056.294736356,0.216433823700811
"1","1996","Stratum_1"," [g/km^2]",304827.394870675,77768.5923811716,0.25512337043777
"1","1997","Stratum_1"," [g/km^2]",434222.605674252,96750.5080896667,0.222813153496315
"1","1998","Stratum_1"," [g/km^2]",431838.135719154,107026.44090792,0.247839252848027
"1","1999","Stratum_1"," [g/km^2]",583276.225732989,120013.93101351,0.205758310931827
"1","2000","Stratum_1"," [g/km^2]",737567.829130998,176358.409376663,0.239108055437354
