"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",105550.777520016,24652.9193509199,0.289012445675572
"1","1986","Stratum_1"," [g/km^2]",99650.3526295227,23017.2766191259,0.286908907358667
"1","1987","Stratum_1"," [g/km^2]",113797.009287795,25684.9055406146,0.279984412525226
"1","1988","Stratum_1"," [g/km^2]",61901.7779629709,13824.1238252547,0.27527322596417
"1","1989","Stratum_1"," [g/km^2]",67547.3291379862,15144.2377904853,0.274099690905133
"1","1990","Stratum_1"," [g/km^2]",80780.7741722642,18656.7141925165,0.282072028977109
"1","1991","Stratum_1"," [g/km^2]",69584.0922736561,15991.449225837,0.281494357167046
"1","1992","Stratum_1"," [g/km^2]",77048.1962711986,16908.7596862194,0.266709223577956
"1","1993","Stratum_1"," [g/km^2]",83081.1052585222,18428.3756792044,0.268621978283166
"1","1994","Stratum_1"," [g/km^2]",60321.9446482917,13618.1702427062,0.277083757682636
"1","1995","Stratum_1"," [g/km^2]",46653.1700096828,11095.3429493044,0.290027600479643
"1","1996","Stratum_1"," [g/km^2]",72420.5755115425,16211.8017763844,0.27429366245598
"1","1997","Stratum_1"," [g/km^2]",62604.3976088941,14199.7373706355,0.277344045436206
"1","1998","Stratum_1"," [g/km^2]",52396.9844483997,11110.4124702708,0.257357798312024
"1","1999","Stratum_1"," [g/km^2]",92889.4259836207,20574.6728924447,0.270268296666689
"1","2000","Stratum_1"," [g/km^2]",97799.9274804698,23015.9669066054,0.288457870213239
"1","2001","Stratum_1"," [g/km^2]",76647.9498885301,18822.2072255127,0.30332766632356
"1","2002","Stratum_1"," [g/km^2]",81725.9308209735,19631.7777507279,0.296318012436301
"1","2003","Stratum_1"," [g/km^2]",67884.9152301196,16037.5195276725,0.292038380880206
"1","2004","Stratum_1"," [g/km^2]",51711.8325179384,12215.3225050098,0.292811582571221
"1","2005","Stratum_1"," [g/km^2]",66251.5772433614,16417.7375441698,0.306428802897822
"1","2006","Stratum_1"," [g/km^2]",59916.1871090448,14366.5640386278,0.294226692657222
"1","2007","Stratum_1"," [g/km^2]",88325.1899701438,20354.7064523587,0.281839993626355
"1","2008","Stratum_1"," [g/km^2]",94267.568765414,21364.1979576573,0.275947861826802
"1","2009","Stratum_1"," [g/km^2]",65121.3992594975,13784.9250100725,0.256920083969075
"1","2010","Stratum_1"," [g/km^2]",69713.3831324024,14953.0414255157,0.260787801542328
"1","2011","Stratum_1"," [g/km^2]",76116.5147059136,17837.565176951,0.284010012827215
"1","2012","Stratum_1"," [g/km^2]",82742.5442907377,18819.4543427073,0.275864724070321
"1","2013","Stratum_1"," [g/km^2]",73869.4589722528,15792.0809543797,0.261220632868506
"1","2014","Stratum_1"," [g/km^2]",56734.3589177307,12876.3580673155,0.277292806153184
"1","2015","Stratum_1"," [g/km^2]",74878.1366929608,16920.7299847327,0.275453770579984
"1","2016","Stratum_1"," [g/km^2]",73705.0720969495,16665.2614555869,0.274273189554289
