"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",30426.8586008027,5587.17111687729,0.230358895273415
"1","1986","Stratum_1"," [g/km^2]",30108.3676198169,5233.19215252072,0.216715626875629
"1","1987","Stratum_1"," [g/km^2]",30270.5205482096,5497.37508696474,0.227485859537687
"1","1988","Stratum_1"," [g/km^2]",22085.6389126922,4544.92687525557,0.262636927766023
"1","1989","Stratum_1"," [g/km^2]",31530.1977053057,5198.35173414128,0.205597246219428
"1","1990","Stratum_1"," [g/km^2]",24751.1324964028,4552.49354976678,0.23212371145229
"1","1991","Stratum_1"," [g/km^2]",15368.2718017713,2667.37677679448,0.216653077214456
"1","1992","Stratum_1"," [g/km^2]",41067.572175478,6763.48164171379,0.205742109143359
"1","1993","Stratum_1"," [g/km^2]",43499.5015580303,7151.05542836599,0.203532567215943
"1","1994","Stratum_1"," [g/km^2]",31874.5067020563,5356.57559962193,0.210203438822124
"1","1995","Stratum_1"," [g/km^2]",41036.5601320416,6341.0766804552,0.18945832486611
"1","1996","Stratum_1"," [g/km^2]",25956.9782497425,4428.02584850582,0.212164233921405
"1","1997","Stratum_1"," [g/km^2]",32240.7587918762,5349.53016630599,0.205554975572261
"1","1998","Stratum_1"," [g/km^2]",38892.1605459569,5936.22437843468,0.187203337127309
"1","1999","Stratum_1"," [g/km^2]",54344.7961357925,8409.67814132041,0.189610159312478
"1","2000","Stratum_1"," [g/km^2]",55689.7910227914,8924.65632457954,0.196243534107146
"1","2001","Stratum_1"," [g/km^2]",64529.455470557,10378.9532074319,0.198699741357852
"1","2002","Stratum_1"," [g/km^2]",38049.5403042302,6501.37404134861,0.209820386112952
"1","2003","Stratum_1"," [g/km^2]",39359.6616379644,7100.3566298065,0.226188731082923
"1","2004","Stratum_1"," [g/km^2]",65706.4301083852,11212.5379045809,0.212654110914569
"1","2005","Stratum_1"," [g/km^2]",37310.8897588658,7044.39033593633,0.236641013740071
"1","2006","Stratum_1"," [g/km^2]",34064.0382355032,6128.55538054688,0.223505301877618
"1","2007","Stratum_1"," [g/km^2]",34933.8739891948,6198.85147307295,0.221000015199168
"1","2008","Stratum_1"," [g/km^2]",32417.9119157111,5933.4184448387,0.228927340678318
"1","2009","Stratum_1"," [g/km^2]",40049.3690452472,6428.95538308835,0.1973377169643
"1","2010","Stratum_1"," [g/km^2]",42295.1263592727,7122.77015047569,0.208857068771171
"1","2011","Stratum_1"," [g/km^2]",56315.2283706201,9706.51194731118,0.214846730851905
"1","2012","Stratum_1"," [g/km^2]",71602.1163577789,12099.9676551782,0.208855544132113
"1","2013","Stratum_1"," [g/km^2]",48533.2229442442,8447.1457215463,0.216866081882584
"1","2014","Stratum_1"," [g/km^2]",36265.6054824461,6595.67592685749,0.227837768077255
"1","2015","Stratum_1"," [g/km^2]",46809.104033548,8541.68641943902,0.229197991035168
"1","2016","Stratum_1"," [g/km^2]",35507.4750300163,6325.2019591319,0.220467514275858
"1","2017","Stratum_1"," [g/km^2]",33662.5438592109,6522.27526055182,0.245426790586047
"1","2018","Stratum_1"," [g/km^2]",43810.6689566726,8487.82214677519,0.244420667713602
"1","2019","Stratum_1"," [g/km^2]",52978.8733834174,9440.04427705041,0.222026462097432
"1","2020","Stratum_1"," [g/km^2]",21698.2010413106,6849.52620371979,0.41569021857042
"1","2021","Stratum_1"," [g/km^2]",35660.8631502069,6287.12731381687,0.220546690971234
"1","1985","Stratum_2"," [g/km^2]",22074.0560462141,4235.77628822807,0.237972788260607
"1","1986","Stratum_2"," [g/km^2]",20820.0330975994,3812.28857428152,0.22571918052519
"1","1987","Stratum_2"," [g/km^2]",20410.4738212874,3862.38754679002,0.233646009136337
"1","1988","Stratum_2"," [g/km^2]",14538.9796644396,3112.82870185248,0.271475424964974
"1","1989","Stratum_2"," [g/km^2]",20061.7517305824,3495.114995204,0.21456395838123
"1","1990","Stratum_2"," [g/km^2]",14262.4223027336,2787.13116770678,0.243754441660674
"1","1991","Stratum_2"," [g/km^2]",10846.2797159221,1944.79718612836,0.220399276396812
"1","1992","Stratum_2"," [g/km^2]",24069.9349003142,4196.19930597173,0.214723041452047
"1","1993","Stratum_2"," [g/km^2]",27941.8353992742,4896.92102878114,0.213737152014464
"1","1994","Stratum_2"," [g/km^2]",20080.4185040041,3524.29209233603,0.217013197651962
"1","1995","Stratum_2"," [g/km^2]",28458.1320087452,4532.48144026788,0.192054013433416
"1","1996","Stratum_2"," [g/km^2]",18786.7202255683,3209.09820379996,0.208782065087351
"1","1997","Stratum_2"," [g/km^2]",24191.0129169772,4017.556241595,0.202045136883682
"1","1998","Stratum_2"," [g/km^2]",26082.7679228462,4085.09869629242,0.1888530642025
"1","1999","Stratum_2"," [g/km^2]",36998.8854298338,5877.61838935341,0.190934732359294
"1","2000","Stratum_2"," [g/km^2]",40497.3478483455,6714.02332144453,0.199845788970938
"1","2001","Stratum_2"," [g/km^2]",42296.5825486472,7109.81784718488,0.204739453786534
"1","2002","Stratum_2"," [g/km^2]",27947.7545746537,4860.84083820915,0.21009050621064
"1","2003","Stratum_2"," [g/km^2]",28594.2962867517,5336.93684223017,0.230780634211534
"1","2004","Stratum_2"," [g/km^2]",46118.6383384889,8090.28187100713,0.215163139856886
"1","2005","Stratum_2"," [g/km^2]",28508.6455461655,5342.43856989736,0.231297495691904
"1","2006","Stratum_2"," [g/km^2]",25413.6381026957,4593.0694186939,0.220517966352628
"1","2007","Stratum_2"," [g/km^2]",26033.6802584728,4658.52704033889,0.218866584807772
"1","2008","Stratum_2"," [g/km^2]",22395.9391694039,4245.2938369324,0.233641329869472
"1","2009","Stratum_2"," [g/km^2]",26669.4785242148,4518.88897627237,0.205365161346502
"1","2010","Stratum_2"," [g/km^2]",25824.9092542702,4643.07482112414,0.22066106194948
"1","2011","Stratum_2"," [g/km^2]",39268.9667413998,7040.17859652985,0.220510679921968
"1","2012","Stratum_2"," [g/km^2]",44962.9761612808,8161.6301407792,0.221493744669882
"1","2013","Stratum_2"," [g/km^2]",28548.4596133734,5357.41252007989,0.23153746946057
"1","2014","Stratum_2"," [g/km^2]",19098.6502176008,3755.84094410735,0.244716472538527
"1","2015","Stratum_2"," [g/km^2]",28436.8644042964,5523.69723269925,0.241310933706815
"1","2016","Stratum_2"," [g/km^2]",22051.6717235445,4090.29049210175,0.227074495303537
"1","2017","Stratum_2"," [g/km^2]",19954.2253600866,4103.54161161539,0.258615794519297
"1","2018","Stratum_2"," [g/km^2]",26089.0760764627,5344.79444109905,0.254909612205894
"1","2019","Stratum_2"," [g/km^2]",34569.4940951859,6477.37275735231,0.230235066279475
"1","2020","Stratum_2"," [g/km^2]",13919.7730842565,4301.28601271669,0.400776787015496
"1","2021","Stratum_2"," [g/km^2]",19887.2330640183,3733.13080239814,0.233429310964613
"1","1985","Stratum_3"," [g/km^2]",2190.15051942915,560.370405084936,0.313928229615591
"1","1986","Stratum_3"," [g/km^2]",2166.76523115004,526.961642606011,0.300099958204002
"1","1987","Stratum_3"," [g/km^2]",1919.05961517857,480.04852254547,0.303911184391865
"1","1988","Stratum_3"," [g/km^2]",1180.95169727677,336.04826517232,0.36366990104711
"1","1989","Stratum_3"," [g/km^2]",2258.52612920317,523.939224831116,0.278715288582425
"1","1990","Stratum_3"," [g/km^2]",1167.11848795704,300.992270127055,0.323079030257712
"1","1991","Stratum_3"," [g/km^2]",775.359148469257,181.483571157367,0.284015866246807
"1","1992","Stratum_3"," [g/km^2]",1558.90632213029,392.968652924221,0.316954961850226
"1","1993","Stratum_3"," [g/km^2]",1507.56586869749,405.452192885281,0.341386293320472
"1","1994","Stratum_3"," [g/km^2]",1504.17490673757,405.598330158031,0.344518282255231
"1","1995","Stratum_3"," [g/km^2]",2170.25760501661,484.038906462369,0.272310931590377
"1","1996","Stratum_3"," [g/km^2]",1204.92241815915,329.406750855342,0.349845175105868
"1","1997","Stratum_3"," [g/km^2]",1750.74095564948,436.110990366614,0.310997796979111
"1","1998","Stratum_3"," [g/km^2]",1600.32404507968,379.639782460529,0.294804980965023
"1","1999","Stratum_3"," [g/km^2]",2238.0909274692,507.636156223223,0.280022898191772
"1","2000","Stratum_3"," [g/km^2]",3987.83049041921,912.557256033063,0.276735530162941
"1","2001","Stratum_3"," [g/km^2]",3033.14262935275,768.922205805596,0.319640652088308
"1","2002","Stratum_3"," [g/km^2]",1972.04987532008,468.19393292408,0.290362217097182
"1","2003","Stratum_3"," [g/km^2]",2056.45741801119,557.666148956465,0.343856250228663
"1","2004","Stratum_3"," [g/km^2]",3931.31113118435,1012.26278794165,0.318492768997667
"1","2005","Stratum_3"," [g/km^2]",2090.58852855961,544.433427572721,0.325465470290485
"1","2006","Stratum_3"," [g/km^2]",1614.52031113205,395.674054980207,0.303611374195252
"1","2007","Stratum_3"," [g/km^2]",1861.84090502426,460.101393410844,0.308434256161216
"1","2008","Stratum_3"," [g/km^2]",2226.13160910358,456.850414311678,0.235828575201636
"1","2009","Stratum_3"," [g/km^2]",2142.71606474938,439.174059544625,0.238948398961462
"1","2010","Stratum_3"," [g/km^2]",2540.03904176941,517.194098378554,0.235716214571457
"1","2011","Stratum_3"," [g/km^2]",3695.83675311719,789.605826060042,0.245887274308497
"1","2012","Stratum_3"," [g/km^2]",3700.31940077181,793.910816996917,0.24735307771488
"1","2013","Stratum_3"," [g/km^2]",2009.60171877404,433.548480647525,0.254195983212804
"1","2014","Stratum_3"," [g/km^2]",1934.80001059507,420.006974488438,0.254231629898777
"1","2015","Stratum_3"," [g/km^2]",2518.91687816004,553.853127410224,0.259489990915457
"1","2016","Stratum_3"," [g/km^2]",2221.2581886883,470.240342667001,0.247792822014527
"1","2017","Stratum_3"," [g/km^2]",1370.33984723694,375.500925573923,0.344388998563251
"1","2018","Stratum_3"," [g/km^2]",2200.5565433097,537.033706571254,0.290917205859202
"1","2019","Stratum_3"," [g/km^2]",3333.50580837122,717.627282832736,0.249842364090327
"1","2020","Stratum_3"," [g/km^2]",1067.98667693025,378.634223621407,0.456949756319947
"1","2021","Stratum_3"," [g/km^2]",1488.25110631289,348.260512722964,0.282356397044033
"1","1985","Stratum_4"," [g/km^2]",19883.905526785,3804.99814513188,0.237598733295135
"1","1986","Stratum_4"," [g/km^2]",18653.2678664494,3401.22173382178,0.224746878149458
"1","1987","Stratum_4"," [g/km^2]",18491.4142061089,3501.12202094353,0.234167322056297
"1","1988","Stratum_4"," [g/km^2]",13358.0279671628,2853.93161150903,0.270712696819912
"1","1989","Stratum_4"," [g/km^2]",17803.2256013792,3106.78440061712,0.21560594842266
"1","1990","Stratum_4"," [g/km^2]",13095.3038147765,2563.51608176347,0.244085360590205
"1","1991","Stratum_4"," [g/km^2]",10070.9205674529,1812.9224319413,0.221493767681628
"1","1992","Stratum_4"," [g/km^2]",22511.0285781838,3936.946552663,0.215103656034979
"1","1993","Stratum_4"," [g/km^2]",26434.2695305767,4640.69755654942,0.21362779643447
"1","1994","Stratum_4"," [g/km^2]",18576.2435972665,3224.95698818786,0.214102206396293
"1","1995","Stratum_4"," [g/km^2]",26287.8744037286,4182.37779826916,0.191654277494104
"1","1996","Stratum_4"," [g/km^2]",17581.7978074092,2979.16233288998,0.206470666744395
"1","1997","Stratum_4"," [g/km^2]",22440.2719613278,3714.62388791314,0.200984370261373
"1","1998","Stratum_4"," [g/km^2]",24482.4438777665,3835.07714516882,0.188517670376697
"1","1999","Stratum_4"," [g/km^2]",34760.7945023645,5555.43286925388,0.19176137252002
