"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",1538454.7570754,178200.752826847,0.115830999909031
"1","1986","Stratum_1"," [g/km^2]",1467713.1774388,163033.363681312,0.111079852785548
"1","1987","Stratum_1"," [g/km^2]",2153336.18793593,252690.244446241,0.117348255168859
"1","1988","Stratum_1"," [g/km^2]",1436358.40975727,186740.737513597,0.130009847295116
"1","1989","Stratum_1"," [g/km^2]",963183.638807874,93964.7792178804,0.0975564528215827
"1","1990","Stratum_1"," [g/km^2]",1054739.5777531,113276.620162519,0.107397714612958
"1","1991","Stratum_1"," [g/km^2]",816048.444500484,82538.3815231048,0.101143972615042
"1","1992","Stratum_1"," [g/km^2]",1513626.06799589,137738.234327169,0.0909988518561522
"1","1993","Stratum_1"," [g/km^2]",1687245.14448325,146400.146879796,0.0867687468880727
"1","1994","Stratum_1"," [g/km^2]",774107.189793909,77737.2519725603,0.100421818835266
"1","1995","Stratum_1"," [g/km^2]",1084763.84454047,92843.698961227,0.0855888582833054
"1","1996","Stratum_1"," [g/km^2]",980921.526874,100255.535697233,0.102205459815657
"1","1997","Stratum_1"," [g/km^2]",975481.372073167,95354.7533693045,0.0977514856758871
"1","1998","Stratum_1"," [g/km^2]",1156929.50391227,103750.217172158,0.0896772161322858
"1","1999","Stratum_1"," [g/km^2]",1521641.24217065,131066.461119407,0.0861349295004895
"1","2000","Stratum_1"," [g/km^2]",1913705.59666089,174759.341322739,0.0913198673963568
"1","2001","Stratum_1"," [g/km^2]",1755460.41074418,170297.848121657,0.0970103609738846
"1","2002","Stratum_1"," [g/km^2]",1433096.29423829,141428.951046443,0.0986876817803886
"1","2003","Stratum_1"," [g/km^2]",1247131.11295982,136255.28510297,0.109254980239884
"1","2004","Stratum_1"," [g/km^2]",1219109.04953278,137033.146341785,0.112404338557164
"1","2005","Stratum_1"," [g/km^2]",1235861.69669511,143611.225199347,0.11620331432181
"1","2006","Stratum_1"," [g/km^2]",1243554.67287235,126362.694696805,0.101614104673769
"1","2007","Stratum_1"," [g/km^2]",1240854.35752517,108910.130944786,0.0877702772160966
"1","2008","Stratum_1"," [g/km^2]",1147003.88272175,101991.915804078,0.0889202881877418
"1","2009","Stratum_1"," [g/km^2]",864507.58137869,70563.806107735,0.0816231200600954
"1","2010","Stratum_1"," [g/km^2]",923863.341911908,81758.5786844114,0.088496398737084
"1","2011","Stratum_1"," [g/km^2]",1242554.38971417,115322.683934944,0.0928109746258047
"1","2012","Stratum_1"," [g/km^2]",1509606.25627531,119055.813604667,0.0788654744306746
"1","2013","Stratum_1"," [g/km^2]",1004377.53756132,95557.3763144614,0.0951408934796361
"1","2014","Stratum_1"," [g/km^2]",792219.884822202,78065.8067686904,0.0985405797863943
"1","2015","Stratum_1"," [g/km^2]",995853.880783446,93269.3182649807,0.0936576339810072
"1","2016","Stratum_1"," [g/km^2]",980212.979824942,85058.3710924045,0.086775397636129
"1","2017","Stratum_1"," [g/km^2]",756827.535550081,87425.5176501214,0.115515772806256
"1","2018","Stratum_1"," [g/km^2]",903627.15030605,101383.505652445,0.112196170309963
"1","2019","Stratum_1"," [g/km^2]",1130564.56712256,111642.459588166,0.0987492999823177
"1","2020","Stratum_1"," [g/km^2]",590027.88105915,110115.394467912,0.18662744253754
"1","2021","Stratum_1"," [g/km^2]",817790.91602684,78310.0014368181,0.0957579741986862
"1","1985","Stratum_2"," [g/km^2]",1071193.59716808,127901.808460414,0.119401207026021
"1","1986","Stratum_2"," [g/km^2]",964152.992425641,112246.844038861,0.11642015833656
"1","1987","Stratum_2"," [g/km^2]",1429056.13406579,173133.940373185,0.121152651912001
"1","1988","Stratum_2"," [g/km^2]",914471.818060349,125251.483814711,0.136965930869667
"1","1989","Stratum_2"," [g/km^2]",606443.782402422,61597.2872022112,0.101571306343012
"1","1990","Stratum_2"," [g/km^2]",591826.248824536,66233.2832878066,0.111913392519099
"1","1991","Stratum_2"," [g/km^2]",489802.089362647,53586.8076722907,0.109405020591113
"1","1992","Stratum_2"," [g/km^2]",877096.640151623,82347.8979926172,0.0938869153328206
"1","1993","Stratum_2"," [g/km^2]",956300.439013925,87168.3884540049,0.0911516767093485
"1","1994","Stratum_2"," [g/km^2]",462679.788503766,49737.9184126643,0.10749965667078
"1","1995","Stratum_2"," [g/km^2]",639567.233975045,58258.1526613097,0.0910899582819826
"1","1996","Stratum_2"," [g/km^2]",687291.654234221,71692.7546678681,0.104311982003839
"1","1997","Stratum_2"," [g/km^2]",647661.366479333,65504.2253894933,0.101139621382038
"1","1998","Stratum_2"," [g/km^2]",747573.946955574,68975.414172791,0.0922656741231913
"1","1999","Stratum_2"," [g/km^2]",966905.30425791,85672.0606126187,0.0886043961444298
"1","2000","Stratum_2"," [g/km^2]",1221851.21489748,111644.374274267,0.0913731335804533
"1","2001","Stratum_2"," [g/km^2]",1071513.8643296,108193.096630611,0.100972185458658
"1","2002","Stratum_2"," [g/km^2]",910392.563189068,91166.2945677444,0.100139542274371
"1","2003","Stratum_2"," [g/km^2]",783035.243791839,86612.9752048026,0.110611847795485
"1","2004","Stratum_2"," [g/km^2]",816634.228180123,92992.9016263716,0.113873382252917
"1","2005","Stratum_2"," [g/km^2]",920091.991505658,107985.322659765,0.117363615439208
"1","2006","Stratum_2"," [g/km^2]",909174.301157351,93802.1587961573,0.103172910493346
"1","2007","Stratum_2"," [g/km^2]",822309.824675192,72123.4794527258,0.087708400518277
"1","2008","Stratum_2"," [g/km^2]",759973.587957127,69299.2670429769,0.0911864150822129
"1","2009","Stratum_2"," [g/km^2]",556809.417697405,46413.0751122946,0.0833554060637625
"1","2010","Stratum_2"," [g/km^2]",538263.372332571,48520.0941953673,0.0901419206458441
"1","2011","Stratum_2"," [g/km^2]",816354.662921629,77389.4875769319,0.0947988553161013
"1","2012","Stratum_2"," [g/km^2]",937349.275475079,75968.0155273036,0.0810455798227402
"1","2013","Stratum_2"," [g/km^2]",562856.940538167,56228.2246936605,0.0998978970391635
"1","2014","Stratum_2"," [g/km^2]",463354.605793536,47392.7365181633,0.102281785754561
"1","2015","Stratum_2"," [g/km^2]",595738.061053811,57984.3290106823,0.0973319195152866
"1","2016","Stratum_2"," [g/km^2]",576639.291096097,53040.5654650667,0.0919822257762652
"1","2017","Stratum_2"," [g/km^2]",441875.107968205,54051.6807732779,0.122323434379036
"1","2018","Stratum_2"," [g/km^2]",503538.380361702,56709.6586431389,0.112622316103101
"1","2019","Stratum_2"," [g/km^2]",684595.190565961,69240.0358395353,0.101140114324049
"1","2020","Stratum_2"," [g/km^2]",369528.736717408,64634.9892650708,0.174911942814611
"1","2021","Stratum_2"," [g/km^2]",442277.420880607,45520.306852638,0.102922520353862
"1","1985","Stratum_3"," [g/km^2]",107326.511265179,15698.1504082541,0.146265356277794
"1","1986","Stratum_3"," [g/km^2]",101561.21745789,15034.719531177,0.148036030952571
"1","1987","Stratum_3"," [g/km^2]",143005.732446239,21403.3490201773,0.149667769634504
"1","1988","Stratum_3"," [g/km^2]",84750.004369431,14156.328105479,0.167036311216818
"1","1989","Stratum_3"," [g/km^2]",61897.6155404996,7758.7338756246,0.125347863691907
"1","1990","Stratum_3"," [g/km^2]",60365.6175771645,8996.23259538856,0.149029082389306
"1","1991","Stratum_3"," [g/km^2]",44596.5814062065,6028.50312174693,0.135178592879945
"1","1992","Stratum_3"," [g/km^2]",77116.2280370503,10042.4278931498,0.13022457333267
"1","1993","Stratum_3"," [g/km^2]",64688.1575298144,9123.00359205378,0.141030506052813
"1","1994","Stratum_3"," [g/km^2]",34469.4719252266,5418.9922910265,0.157211352201209
"1","1995","Stratum_3"," [g/km^2]",53894.654589731,6606.64409497844,0.122584403690329
"1","1996","Stratum_3"," [g/km^2]",63388.6177059788,9159.30479079482,0.144494471125388
"1","1997","Stratum_3"," [g/km^2]",58283.9265034286,8631.14637803477,0.148087936002854
"1","1998","Stratum_3"," [g/km^2]",54111.3110493124,7249.08260798252,0.133966124039691
"1","1999","Stratum_3"," [g/km^2]",72679.2218794068,9739.03273768682,0.13400023398498
"1","2000","Stratum_3"," [g/km^2]",102929.967890468,12626.8767881497,0.122674446003777
"1","2001","Stratum_3"," [g/km^2]",92275.0550188842,13071.4996103782,0.14165799855338
"1","2002","Stratum_3"," [g/km^2]",75564.8279231672,10278.7541067091,0.136025640356918
"1","2003","Stratum_3"," [g/km^2]",76409.1409584861,10758.726727524,0.140804183800068
"1","2004","Stratum_3"," [g/km^2]",70910.7251921878,10476.4230444249,0.147741022476232
"1","2005","Stratum_3"," [g/km^2]",86429.7681270289,13086.5524806844,0.151412560328181
"1","2006","Stratum_3"," [g/km^2]",76766.1127425363,10829.1872335896,0.141067286680379
"1","2007","Stratum_3"," [g/km^2]",86069.9314427635,10386.7143196569,0.120677618136178
"1","2008","Stratum_3"," [g/km^2]",98782.0238422155,10097.2245115895,0.1022172265646
"1","2009","Stratum_3"," [g/km^2]",66260.0478873703,6546.78405560323,0.0988043966815652
"1","2010","Stratum_3"," [g/km^2]",59909.162816012,6194.06226372213,0.103390900032184
"1","2011","Stratum_3"," [g/km^2]",80500.7053047857,8928.16741891915,0.110907940310784
"1","2012","Stratum_3"," [g/km^2]",101094.18682857,9380.94874213273,0.0927941460970494
"1","2013","Stratum_3"," [g/km^2]",59142.389336135,6832.91286301229,0.115533256936535
"1","2014","Stratum_3"," [g/km^2]",52133.4167916421,5658.17626933602,0.108532619144255
"1","2015","Stratum_3"," [g/km^2]",68272.673328593,7311.31980870566,0.107089988603737
"1","2016","Stratum_3"," [g/km^2]",59647.7602794298,6902.64438738598,0.115723446363273
"1","2017","Stratum_3"," [g/km^2]",45436.2490325309,6160.55282081202,0.135586738606025
"1","2018","Stratum_3"," [g/km^2]",49752.7659306591,6496.91355304116,0.130583967172719
"1","2019","Stratum_3"," [g/km^2]",69978.0780812414,7996.23998018566,0.114267784989785
"1","2020","Stratum_3"," [g/km^2]",39312.4330686123,6685.26408628079,0.170054701895783
"1","2021","Stratum_3"," [g/km^2]",38225.553828462,4723.52988113455,0.123569952768546
"1","1985","Stratum_4"," [g/km^2]",963867.085902904,116258.885228265,0.120617133761092
"1","1986","Stratum_4"," [g/km^2]",862591.774967751,101437.558204263,0.117596250217034
"1","1987","Stratum_4"," [g/km^2]",1286050.40161955,157357.870362302,0.122357467611018
