"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",1643034.71562808,255631.425179419,0.155584920238097
"1","1986","Stratum_1"," [g/km^2]",1456613.85060691,244276.890050474,0.167701886089229
"1","1987","Stratum_1"," [g/km^2]",2217322.18203215,350832.354357771,0.158223445018817
"1","1988","Stratum_1"," [g/km^2]",1879854.81410019,291672.872612084,0.155157127254901
"1","1989","Stratum_1"," [g/km^2]",745844.622365386,90670.6439775292,0.121567738451979
"1","1990","Stratum_1"," [g/km^2]",1547254.38927767,197386.538292843,0.127572130129804
"1","1991","Stratum_1"," [g/km^2]",942409.049447862,117462.939318663,0.124641141113281
"1","1992","Stratum_1"," [g/km^2]",1643817.06325638,174741.687069205,0.10630239275108
"1","1993","Stratum_1"," [g/km^2]",1437012.31942016,156800.428540753,0.109115577105159
"1","1994","Stratum_1"," [g/km^2]",825178.713231746,110042.876015682,0.133356416314607
"1","1995","Stratum_1"," [g/km^2]",742572.715823821,88709.2016797987,0.119461972934709
"1","1996","Stratum_1"," [g/km^2]",1511743.9340326,205934.453556008,0.136223105593469
"1","1997","Stratum_1"," [g/km^2]",1212381.43781469,161980.72158305,0.133605412068184
"1","1998","Stratum_1"," [g/km^2]",1197625.99921638,146783.822348906,0.122562321162823
"1","1999","Stratum_1"," [g/km^2]",1496195.67188305,180177.204537597,0.120423556840552
"1","2000","Stratum_1"," [g/km^2]",1776473.04701753,238916.20597802,0.134489068876745
"1","2001","Stratum_1"," [g/km^2]",1370396.48363225,199935.830702671,0.14589633955623
"1","2002","Stratum_1"," [g/km^2]",1642936.0405451,234069.631322799,0.142470324800433
"1","2003","Stratum_1"," [g/km^2]",1347040.88816371,197900.452545542,0.146914955800132
"1","2004","Stratum_1"," [g/km^2]",888941.995212174,146259.42335249,0.164532021369498
"1","2005","Stratum_1"," [g/km^2]",1097168.12907115,171777.882931777,0.156564776518986
"1","2006","Stratum_1"," [g/km^2]",1505279.94216727,201013.420912771,0.133538895511591
"1","2007","Stratum_1"," [g/km^2]",1547518.70439438,157888.356672558,0.102026784053862
"1","2008","Stratum_1"," [g/km^2]",1623747.83898276,161904.478475029,0.0997103580913509
"1","2009","Stratum_1"," [g/km^2]",943405.534250884,92703.82957175,0.0982650898326145
"1","2010","Stratum_1"," [g/km^2]",891610.93352456,92602.8518849921,0.103860157388304
"1","2011","Stratum_1"," [g/km^2]",928544.072305956,99100.9286943128,0.106727221302706
"1","2012","Stratum_1"," [g/km^2]",965373.909626615,92896.9245793886,0.0962289571460635
"1","2013","Stratum_1"," [g/km^2]",845694.506978741,98365.5511675177,0.116313338156742
"1","2014","Stratum_1"," [g/km^2]",643643.650881407,73584.1160785888,0.114324309698109
"1","2015","Stratum_1"," [g/km^2]",1011691.58279633,108440.294687262,0.107187107742395
"1","2016","Stratum_1"," [g/km^2]",1021207.84347944,108250.390693993,0.106002310288924
"1","2017","Stratum_1"," [g/km^2]",852542.457944775,114211.503890973,0.133965766545285
"1","2018","Stratum_1"," [g/km^2]",647215.891493604,81633.8544921958,0.126130794322441
"1","2019","Stratum_1"," [g/km^2]",932215.2496073,110255.374543824,0.118272442539716
"1","2020","Stratum_1"," [g/km^2]",910390.699965292,143549.789684954,0.15767932349312
"1","2021","Stratum_1"," [g/km^2]",975997.403333652,113385.94607401,0.116174434160098
"1","1985","Stratum_2"," [g/km^2]",1003729.77117985,156165.216389627,0.155584920238103
"1","1986","Stratum_2"," [g/km^2]",889845.280236926,149228.731823339,0.167701886089236
"1","1987","Stratum_2"," [g/km^2]",1354561.93666149,214323.456109944,0.158223445018819
"1","1988","Stratum_2"," [g/km^2]",1148403.14964793,178182.933629857,0.155157127254904
"1","1989","Stratum_2"," [g/km^2]",455636.417795602,55390.6888677694,0.121567738451973
"1","1990","Stratum_2"," [g/km^2]",945217.577775285,120583.419832934,0.127572130129811
"1","1991","Stratum_2"," [g/km^2]",575717.609958464,71758.0998642318,0.124641141113278
"1","1992","Stratum_2"," [g/km^2]",1004207.70728094,106749.682103043,0.106302392751084
