"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",1655371.96732094,256317.605848925,0.154839885481297
"1","1986","Stratum_1"," [g/km^2]",1443688.15991474,239148.781725508,0.165651273152807
"1","1987","Stratum_1"," [g/km^2]",2255371.23104036,358001.50573594,0.158732851075165
"1","1988","Stratum_1"," [g/km^2]",1651854.51268646,253357.867777495,0.153377834326011
"1","1989","Stratum_1"," [g/km^2]",681262.211526517,82899.9175494894,0.121685771127292
"1","1990","Stratum_1"," [g/km^2]",1382516.27490874,172972.054305637,0.12511393713398
"1","1991","Stratum_1"," [g/km^2]",813710.3562522,101847.488268473,0.125164301383068
"1","1992","Stratum_1"," [g/km^2]",1392705.66584002,148517.720064611,0.106639704072024
"1","1993","Stratum_1"," [g/km^2]",1235383.4156839,133995.636060229,0.10846481696215
"1","1994","Stratum_1"," [g/km^2]",743680.330840688,98920.7003833493,0.133015082261924
"1","1995","Stratum_1"," [g/km^2]",652259.937704045,78413.1643749537,0.120217661460196
"1","1996","Stratum_1"," [g/km^2]",1323977.78852076,179243.499209874,0.135382557595727
"1","1997","Stratum_1"," [g/km^2]",1085143.74553986,144419.92052331,0.133088285415552
"1","1998","Stratum_1"," [g/km^2]",1056513.63000113,129096.33598798,0.122190885495573
"1","1999","Stratum_1"," [g/km^2]",1416784.81353456,172007.49459221,0.121406929936726
"1","2000","Stratum_1"," [g/km^2]",1597520.17948523,213595.841468047,0.133704628092319
"1","2001","Stratum_1"," [g/km^2]",1260293.16283714,183103.298459885,0.145286274542414
"1","2002","Stratum_1"," [g/km^2]",1504724.47103199,212807.258158459,0.141426063213094
"1","2003","Stratum_1"," [g/km^2]",1225205.64922404,176496.085930469,0.144054254110117
"1","2004","Stratum_1"," [g/km^2]",809719.483399386,131732.885630333,0.162689534253626
"1","2005","Stratum_1"," [g/km^2]",984048.10533059,152154.955042004,0.154621460290184
"1","2006","Stratum_1"," [g/km^2]",1387424.42613231,185173.265098602,0.13346547863137
"1","2007","Stratum_1"," [g/km^2]",1291403.303711,132359.985079218,0.102493144239965
"1","2008","Stratum_1"," [g/km^2]",1341585.42280618,132709.346902576,0.0989197889650516
"1","2009","Stratum_1"," [g/km^2]",844867.203648073,82735.079167951,0.0979267260117413
"1","2010","Stratum_1"," [g/km^2]",811035.502055629,84068.9415210128,0.103656302724029
"1","2011","Stratum_1"," [g/km^2]",857717.908588843,92467.0901330223,0.107805945529519
"1","2012","Stratum_1"," [g/km^2]",888504.014373521,86622.4876332449,0.0974925112683051
"1","2013","Stratum_1"," [g/km^2]",776090.821431636,90368.5544210184,0.116440694729925
"1","2014","Stratum_1"," [g/km^2]",590387.670301494,67734.1666299305,0.114728287932132
"1","2015","Stratum_1"," [g/km^2]",910182.411800747,97333.7034169849,0.106938677516758
"1","2016","Stratum_1"," [g/km^2]",872764.58906972,92573.7407891346,0.106069542633265
"1","2017","Stratum_1"," [g/km^2]",679055.67009576,91231.6023367706,0.134350696643039
"1","2018","Stratum_1"," [g/km^2]",569747.236746143,71659.3584409118,0.125773946443623
"1","2019","Stratum_1"," [g/km^2]",848610.538571864,100419.755775695,0.11833432559616
"1","2020","Stratum_1"," [g/km^2]",560426.997860321,87980.201799966,0.156987800616083
"1","2021","Stratum_1"," [g/km^2]",870833.572592574,100894.089552547,0.115859209759418
"1","1985","Stratum_2"," [g/km^2]",918362.779854176,142767.983006904,0.155459243491525
"1","1986","Stratum_2"," [g/km^2]",800925.410092323,133216.946310749,0.166328779973897
"1","1987","Stratum_2"," [g/km^2]",1251228.74751435,199217.507465746,0.159217495491136
"1","1988","Stratum_2"," [g/km^2]",916411.37589186,140985.006763983,0.153844671151944
"1","1989","Stratum_2"," [g/km^2]",377948.805910761,46231.4511794928,0.122321992969622
"1","1990","Stratum_2"," [g/km^2]",766988.63728714,96294.2447839154,0.125548463305156
"1","1991","Stratum_2"," [g/km^2]",451428.029177819,57098.8529193903,0.126484952703056
"1","1992","Stratum_2"," [g/km^2]",772641.480010959,83539.8317602968,0.108122374893867
"1","1993","Stratum_2"," [g/km^2]",685362.667853635,75338.1792194732,0.109924544701875
"1","1994","Stratum_2"," [g/km^2]",412576.96121256,55417.702255769,0.134320884260957
"1","1995","Stratum_2"," [g/km^2]",361859.002932637,43976.7040558158,0.121529943153031
"1","1996","Stratum_2"," [g/km^2]",734512.814240113,99785.0726289365,0.135852051447419
"1","1997","Stratum_2"," [g/km^2]",602013.110266807,80403.0516900565,0.133556977944255
"1","1998","Stratum_2"," [g/km^2]",586129.772254109,71903.7931581292,0.122675551664276
"1","1999","Stratum_2"," [g/km^2]",786000.044399997,95841.5655462336,0.12193582714031
"1","2000","Stratum_2"," [g/km^2]",886267.921571462,118826.53729392,0.134075186974189
"1","2001","Stratum_2"," [g/km^2]",699182.029962412,101976.160827596,0.145850660425409
"1","2002","Stratum_2"," [g/km^2]",834786.969582413,118411.359357588,0.141846199895551
"1","2003","Stratum_2"," [g/km^2]",679716.274122621,98172.7907005545,0.144432014412596
"1","2004","Stratum_2"," [g/km^2]",449213.983537618,73298.350812087,0.163170234004858
"1","2005","Stratum_2"," [g/km^2]",545927.544601475,84635.956008379,0.155031481458152
"1","2006","Stratum_2"," [g/km^2]",769711.568139304,103058.607135068,0.133892501296559
"1","2007","Stratum_2"," [g/km^2]",716441.229718472,73710.5952289055,0.102884356973523
"1","2008","Stratum_2"," [g/km^2]",744281.129934862,73935.2475615726,0.0993377966844903
"1","2009","Stratum_2"," [g/km^2]",468713.140651755,46064.7331744359,0.098279158784373
"1","2010","Stratum_2"," [g/km^2]",449944.080805999,46713.6252046072,0.103820957308579
"1","2011","Stratum_2"," [g/km^2]",475842.419959041,51421.9207642548,0.108065020282726
"1","2012","Stratum_2"," [g/km^2]",492921.852405311,48307.6422928605,0.0980026388709157
"1","2013","Stratum_2"," [g/km^2]",430557.565465334,50318.9965509991,0.116869381906264
"1","2014","Stratum_2"," [g/km^2]",327533.673877047,37686.6955330251,0.115062048695404
"1","2015","Stratum_2"," [g/km^2]",504948.53505856,54260.0242271518,0.107456543508655
"1","2016","Stratum_2"," [g/km^2]",484189.976633184,51807.5459216572,0.106998385802823
"1","2017","Stratum_2"," [g/km^2]",376724.66682769,50886.7988681007,0.135076896600922
"1","2018","Stratum_2"," [g/km^2]",316082.830011446,39849.3770780707,0.126072577484287
"1","2019","Stratum_2"," [g/km^2]",470789.857869632,55844.7967052266,0.118619370769645
"1","2020","Stratum_2"," [g/km^2]",310912.173107104,48832.7513414482,0.157062847856479
"1","2021","Stratum_2"," [g/km^2]",483118.692538187,56192.58119387,0.116312165233451
"1","1985","Stratum_3"," [g/km^2]",106742.845178238,17002.8215657009,0.159287693121818
"1","1986","Stratum_3"," [g/km^2]",93092.9028530282,15834.9227099082,0.170098065745226
"1","1987","Stratum_3"," [g/km^2]",145432.414518903,23745.4589735572,0.163274872744899
"1","1988","Stratum_3"," [g/km^2]",106516.030224933,16801.935766656,0.15774091215355
"1","1989","Stratum_3"," [g/km^2]",43929.6231942653,5586.27861711327,0.127164273465531
"1","1990","Stratum_3"," [g/km^2]",89148.3748681634,11597.934029304,0.130096976489539
"1","1991","Stratum_3"," [g/km^2]",52470.2364737565,6866.753896648,0.130869505421088
"1","1992","Stratum_3"," [g/km^2]",89805.4142527307,10197.3460911337,0.113549346395044
"1","1993","Stratum_3"," [g/km^2]",79660.8516269149,9164.84469537389,0.115048289193501
"1","1994","Stratum_3"," [g/km^2]",47954.5117255439,6652.73224685708,0.138730059122119
"1","1995","Stratum_3"," [g/km^2]",42059.4784258604,5310.22713410814,0.126255182728161
"1","1996","Stratum_3"," [g/km^2]",85373.6555224003,11991.4121444831,0.140457991064196
"1","1997","Stratum_3"," [g/km^2]",69972.9928456839,9651.09747822897,0.13792603525639
"1","1998","Stratum_3"," [g/km^2]",68126.8458462689,8706.61442371899,0.127800051735344
"1","1999","Stratum_3"," [g/km^2]",91358.1025820746,11588.9156053419,0.126851535636159
"1","2000","Stratum_3"," [g/km^2]",103012.406005568,14254.4769859735,0.138376313482116
"1","2001","Stratum_3"," [g/km^2]",81267.0992475698,12185.4846919954,0.149943640228549
"1","2002","Stratum_3"," [g/km^2]",97028.6886682142,14159.1113538835,0.145927060833524
"1","2003","Stratum_3"," [g/km^2]",79004.5618195895,11727.3900035272,0.148439403161392
"1","2004","Stratum_3"," [g/km^2]",52212.8942380151,8699.78439504372,0.16662137814819
"1","2005","Stratum_3"," [g/km^2]",63454.073542902,10071.2547218628,0.158717229005849
"1","2006","Stratum_3"," [g/km^2]",89464.8656850381,12355.668322781,0.138106375370632
"1","2007","Stratum_3"," [g/km^2]",83273.1649635111,8911.67939023671,0.107017421448334
"1","2008","Stratum_3"," [g/km^2]",86509.0432283591,9010.72721682793,0.104159367397489
"1","2009","Stratum_3"," [g/km^2]",54479.3139520963,5615.04210813287,0.103067415883214
"1","2010","Stratum_3"," [g/km^2]",52297.7546672408,5683.06454795304,0.108667467353296
"1","2011","Stratum_3"," [g/km^2]",55307.9620354288,6225.48175970889,0.112560317368429
"1","2012","Stratum_3"," [g/km^2]",57293.1330956433,5912.23363025261,0.103192709331901
"1","2013","Stratum_3"," [g/km^2]",50044.4274952898,6058.00813277539,0.121052601377957
"1","2014","Stratum_3"," [g/km^2]",38069.7878967489,4532.15586013787,0.119048623870187
"1","2015","Stratum_3"," [g/km^2]",58691.014578457,6560.52531495036,0.111780744668852
"1","2016","Stratum_3"," [g/km^2]",56278.2125390764,6272.16978462127,0.111449342501172
"1","2017","Stratum_3"," [g/km^2]",43787.3394568502,6030.62729978704,0.137725364787917
"1","2018","Stratum_3"," [g/km^2]",36738.8371213917,4766.55789080436,0.129741664796161
"1","2019","Stratum_3"," [g/km^2]",54720.6942751345,6703.57571894085,0.122505311888687
"1","2020","Stratum_3"," [g/km^2]",36137.8430028171,5716.69690287877,0.158191425604265
