"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",1024443.91618661,185038.278931377,0.180623141987276
"1","1986","Stratum_1"," [g/km^2]",931783.187306681,140660.299843043,0.150958186152318
"1","1987","Stratum_1"," [g/km^2]",1140247.61177553,198066.622787395,0.173704922283484
"1","1988","Stratum_1"," [g/km^2]",673019.491952435,150644.206958606,0.223833349197043
"1","1989","Stratum_1"," [g/km^2]",875827.878536636,126504.751086345,0.144440196740156
"1","1990","Stratum_1"," [g/km^2]",529135.151517223,92822.2569107122,0.175422586544396
"1","1991","Stratum_1"," [g/km^2]",463043.594736232,72558.1456303855,0.156698303259584
"1","1992","Stratum_1"," [g/km^2]",1000792.6243607,153249.471046932,0.153128097986162
"1","1993","Stratum_1"," [g/km^2]",1147442.62512769,186308.918485235,0.16236883170041
"1","1994","Stratum_1"," [g/km^2]",580915.969738911,91403.6159788269,0.157343954616893
"1","1995","Stratum_1"," [g/km^2]",970151.380502713,117523.306735881,0.1211391429191
"1","1996","Stratum_1"," [g/km^2]",520744.329634988,85552.2635885347,0.164288420861926
"1","1997","Stratum_1"," [g/km^2]",600999.388023247,89012.1349956727,0.148106864615026
"1","1998","Stratum_1"," [g/km^2]",778764.623676261,107479.578159465,0.13801291801378
"1","1999","Stratum_1"," [g/km^2]",1036526.36868411,137789.727995155,0.132934127059479
"1","2000","Stratum_1"," [g/km^2]",1340882.84134209,172035.452915127,0.128300137499662
"1","2001","Stratum_1"," [g/km^2]",1444977.97227078,210237.996727125,0.145495641291153
"1","2002","Stratum_1"," [g/km^2]",901694.631165851,122281.733483329,0.135613243393968
"1","2003","Stratum_1"," [g/km^2]",916406.137295011,161060.739538987,0.175752576269726
"1","2004","Stratum_1"," [g/km^2]",1198526.76145866,203390.907214153,0.169700764100267
"1","2005","Stratum_1"," [g/km^2]",939191.588084823,177925.367630588,0.189445231290253
"1","2006","Stratum_1"," [g/km^2]",818136.093086165,128484.737299326,0.157045677834182
"1","2007","Stratum_1"," [g/km^2]",728220.321407816,120641.19711383,0.165665793122338
"1","2008","Stratum_1"," [g/km^2]",773005.787482948,115901.984485698,0.149936761616103
"1","2009","Stratum_1"," [g/km^2]",764079.682226719,92960.606250805,0.12166349716288
"1","2010","Stratum_1"," [g/km^2]",788318.467852776,113840.88075141,0.144409760006626
"1","2011","Stratum_1"," [g/km^2]",987250.458619274,142963.211997107,0.144809466279763
"1","2012","Stratum_1"," [g/km^2]",1596692.811058,194559.998481515,0.121851866015853
"1","2013","Stratum_1"," [g/km^2]",844462.650268996,120437.999206238,0.142620871589612
"1","2014","Stratum_1"," [g/km^2]",762504.249349464,123710.144262216,0.162241907986429
"1","2015","Stratum_1"," [g/km^2]",845139.197537983,128053.606670962,0.151517770142482
"1","2016","Stratum_1"," [g/km^2]",805685.311090554,108917.3927866,0.135186022740284
"1","2017","Stratum_1"," [g/km^2]",594772.950818008,116912.363286442,0.196566375665957
"1","2018","Stratum_1"," [g/km^2]",804260.464790587,155222.576637301,0.193000381633476
"1","2019","Stratum_1"," [g/km^2]",845920.155210234,130569.161169531,0.15435163752196
"1","2020","Stratum_1"," [g/km^2]",290751.566740328,119672.970311132,0.411598711755218
"1","2021","Stratum_1"," [g/km^2]",555676.12464727,82585.3102038386,0.148621303922787
"1","1985","Stratum_2"," [g/km^2]",832680.583186356,160072.157789351,0.192237168755412
"1","1986","Stratum_2"," [g/km^2]",731412.095064811,120632.96963893,0.16493160347347
"1","1987","Stratum_2"," [g/km^2]",927819.151861042,169451.774865885,0.182634487039845
"1","1988","Stratum_2"," [g/km^2]",506659.055637694,118967.801979178,0.23480839956456
"1","1989","Stratum_2"," [g/km^2]",668357.088780638,104524.474862985,0.156390164206505
"1","1990","Stratum_2"," [g/km^2]",365778.800163163,69615.7555627982,0.190322007540472
"1","1991","Stratum_2"," [g/km^2]",382414.069214344,62859.6549318344,0.164375895115411
"1","1992","Stratum_2"," [g/km^2]",690805.96168573,115457.144227277,0.167133971955793
"1","1993","Stratum_2"," [g/km^2]",869516.519094998,158406.807062297,0.182178030645316
"1","1994","Stratum_2"," [g/km^2]",422035.899079339,69751.3238276854,0.165273437591082
"1","1995","Stratum_2"," [g/km^2]",746529.713384981,94144.8094294003,0.12610992937243
"1","1996","Stratum_2"," [g/km^2]",421174.81096804,68666.2526993218,0.163035041296742
"1","1997","Stratum_2"," [g/km^2]",516163.274685464,75944.6294961882,0.147132958156441
"1","1998","Stratum_2"," [g/km^2]",576221.422709391,82817.8194339991,0.143725686290159
"1","1999","Stratum_2"," [g/km^2]",773918.447741427,105844.806530801,0.136764806214008
"1","2000","Stratum_2"," [g/km^2]",1069029.80127435,146965.868725446,0.13747593242981
