"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",1720032.04024074,285832.511071579,0.166178596900771
"1","1986","Stratum_1"," [g/km^2]",1585177.36911119,229410.28601368,0.144722155693097
"1","1987","Stratum_1"," [g/km^2]",2386420.0481714,393843.716084373,0.165035370192331
"1","1988","Stratum_1"," [g/km^2]",1296563.03721125,280489.108067328,0.216332796799939
"1","1989","Stratum_1"," [g/km^2]",1437384.95753952,213692.30260257,0.148667412638268
"1","1990","Stratum_1"," [g/km^2]",742567.148260709,128600.782199204,0.173184044702791
"1","1991","Stratum_1"," [g/km^2]",766981.883046475,121108.048097743,0.157902097526343
"1","1992","Stratum_1"," [g/km^2]",1775158.95264444,229936.511463925,0.12953009707744
"1","1993","Stratum_1"," [g/km^2]",2364592.15013271,286773.171489138,0.121278069654865
"1","1994","Stratum_1"," [g/km^2]",794444.201806964,114131.585288514,0.143662179205189
"1","1995","Stratum_1"," [g/km^2]",1498347.59407216,172935.051285202,0.115417178209769
"1","1996","Stratum_1"," [g/km^2]",795770.434238445,110853.720542269,0.139303643076859
"1","1997","Stratum_1"," [g/km^2]",870824.238207235,117040.460602693,0.134401932637574
"1","1998","Stratum_1"," [g/km^2]",1212438.96946216,143795.793619863,0.118600438654371
"1","1999","Stratum_1"," [g/km^2]",1524725.31747696,170272.261814162,0.111674056869419
"1","2000","Stratum_1"," [g/km^2]",2335020.88660598,263029.050368923,0.112645266634531
"1","2001","Stratum_1"," [g/km^2]",2136304.20638934,260168.46829693,0.121784372992767
"1","2002","Stratum_1"," [g/km^2]",1493002.14895515,187927.888648725,0.125872483693505
"1","2003","Stratum_1"," [g/km^2]",1402765.32821172,212103.181228281,0.151203609728986
"1","2004","Stratum_1"," [g/km^2]",1686441.48214805,247303.657361169,0.146642299764934
"1","2005","Stratum_1"," [g/km^2]",1731749.16401805,284616.391254027,0.164351972657321
"1","2006","Stratum_1"," [g/km^2]",1310098.21402908,192060.31721263,0.146599938200031
"1","2007","Stratum_1"," [g/km^2]",1351518.68410874,180676.798619269,0.133684277356785
