"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",1131729.13627919,138782.206673002,0.122628464907495
"1","1986","Stratum_1"," [g/km^2]",1070967.60712348,122585.096315092,0.114462001931453
"1","1987","Stratum_1"," [g/km^2]",1279322.50014606,158089.171834459,0.123572572057796
"1","1988","Stratum_1"," [g/km^2]",801180.298299503,108593.365782136,0.135541732631999
"1","1989","Stratum_1"," [g/km^2]",742005.316884171,75576.3500870391,0.101854189407158
"1","1990","Stratum_1"," [g/km^2]",760086.002571756,85122.4334382287,0.111990528900961
"1","1991","Stratum_1"," [g/km^2]",620162.503113962,67652.4882716455,0.109088324321365
"1","1992","Stratum_1"," [g/km^2]",1055283.28968303,102529.218876442,0.0971580047545697
"1","1993","Stratum_1"," [g/km^2]",1201775.31175697,115250.546585584,0.0959002447945855
"1","1994","Stratum_1"," [g/km^2]",588824.955623842,62495.2511530127,0.106135534094001
"1","1995","Stratum_1"," [g/km^2]",793138.135044306,70474.5871918939,0.0888553759780524
"1","1996","Stratum_1"," [g/km^2]",673801.113436384,74010.5733612235,0.109840384477504
"1","1997","Stratum_1"," [g/km^2]",779441.561518389,82664.4960114517,0.106056053580742
"1","1998","Stratum_1"," [g/km^2]",763645.979449733,73296.3180147274,0.0959820649714455
"1","1999","Stratum_1"," [g/km^2]",1145213.90362397,107826.77562044,0.094154266970763
"1","2000","Stratum_1"," [g/km^2]",1284109.42740339,123551.442498905,0.0962156650066347
"1","2001","Stratum_1"," [g/km^2]",1256849.48201999,130694.486170923,0.103985789898144
"1","2002","Stratum_1"," [g/km^2]",1077889.89542471,114003.674272812,0.105765602550613
"1","2003","Stratum_1"," [g/km^2]",947203.656576935,112183.561817586,0.118436580178546
"1","2004","Stratum_1"," [g/km^2]",996712.067931254,120105.890185836,0.120502092881372
"1","2005","Stratum_1"," [g/km^2]",960308.648752739,120047.339785292,0.125009120704276
"1","2006","Stratum_1"," [g/km^2]",919194.714541086,100826.614012979,0.109690158589867
"1","2007","Stratum_1"," [g/km^2]",985556.084157527,102892.754772435,0.104400709839247
"1","2008","Stratum_1"," [g/km^2]",1079289.20878196,120975.930740096,0.11208852062611
"1","2009","Stratum_1"," [g/km^2]",758693.760595818,71709.1317736128,0.094516569791346
"1","2010","Stratum_1"," [g/km^2]",824074.742555459,86203.666045127,0.104606611019055
"1","2011","Stratum_1"," [g/km^2]",957830.298966035,102371.763224045,0.106878810718928
"1","2012","Stratum_1"," [g/km^2]",1317838.91594139,120736.645364618,0.0916171497928261
"1","2013","Stratum_1"," [g/km^2]",803262.444490305,86126.2708532695,0.107220587049753
"1","2014","Stratum_1"," [g/km^2]",692299.238208678,78767.8742218044,0.113777207708065
"1","2015","Stratum_1"," [g/km^2]",838616.124389431,89695.8842392041,0.106957023160638
"1","2016","Stratum_1"," [g/km^2]",823679.089581513,85552.8316002415,0.103866703285752
"1","2017","Stratum_1"," [g/km^2]",609557.436829303,81025.5924897202,0.132925279217634
"1","2018","Stratum_1"," [g/km^2]",650872.961523206,83181.2484657543,0.127799514472208
"1","2019","Stratum_1"," [g/km^2]",832659.150550422,94918.2386643872,0.113994109836711
"1","2020","Stratum_1"," [g/km^2]",506745.747126786,128524.055988612,0.25362631401908
"1","2021","Stratum_1"," [g/km^2]",685344.818701532,74296.3608921561,0.108407270128516
"1","1985","Stratum_2"," [g/km^2]",789940.256876752,103881.417778452,0.131505410534686
"1","1986","Stratum_2"," [g/km^2]",718173.528089013,91964.7388247203,0.128053646128436
"1","1987","Stratum_2"," [g/km^2]",809984.153507508,108729.465645404,0.13423653435017
"1","1988","Stratum_2"," [g/km^2]",499140.442028961,73967.5578321909,0.148189871234476
"1","1989","Stratum_2"," [g/km^2]",454482.499744943,51726.7034630237,0.113814510992289
"1","1990","Stratum_2"," [g/km^2]",442036.017669591,55962.1334339227,0.126600845173102
"1","1991","Stratum_2"," [g/km^2]",365508.788069944,46106.6662676023,0.126143796736234
"1","1992","Stratum_2"," [g/km^2]",609700.495186238,70335.4186997576,0.115360606158394
"1","1993","Stratum_2"," [g/km^2]",726533.169713416,90086.0559182094,0.123994415772847
"1","1994","Stratum_2"," [g/km^2]",351268.803884411,42725.8348985549,0.121632876093986
"1","1995","Stratum_2"," [g/km^2]",494297.443211139,50511.999529812,0.102189481704917
"1","1996","Stratum_2"," [g/km^2]",456796.580735876,50871.9081868942,0.111366657134215
"1","1997","Stratum_2"," [g/km^2]",501904.800637063,56574.0820116856,0.112718750527743
"1","1998","Stratum_2"," [g/km^2]",506912.776365979,52512.2309347981,0.103592241867042
"1","1999","Stratum_2"," [g/km^2]",704812.992367631,71051.5220010212,0.100809041221478
"1","2000","Stratum_2"," [g/km^2]",858113.248100302,86336.2650769063,0.100611737749112
"1","2001","Stratum_2"," [g/km^2]",742761.23731761,83351.3580304768,0.112218238974734
"1","2002","Stratum_2"," [g/km^2]",685870.513357928,75249.567935192,0.109713956890756
"1","2003","Stratum_2"," [g/km^2]",630493.487987806,79388.894730255,0.125915487221956
"1","2004","Stratum_2"," [g/km^2]",635978.988193398,79334.8360519295,0.124744429493328
"1","2005","Stratum_2"," [g/km^2]",703340.137707398,87081.9426365671,0.123811990767964
"1","2006","Stratum_2"," [g/km^2]",655938.30682474,74225.2558341899,0.11315889781388
"1","2007","Stratum_2"," [g/km^2]",642168.098597223,72233.1723870592,0.11248327742354
"1","2008","Stratum_2"," [g/km^2]",688196.842605235,81090.4037608367,0.117830246726883
"1","2009","Stratum_2"," [g/km^2]",493400.151620491,49914.3227732043,0.10116397939739
"1","2010","Stratum_2"," [g/km^2]",500263.669303956,57854.4804331733,0.115647975224085
"1","2011","Stratum_2"," [g/km^2]",663814.543098129,74894.7831431683,0.112824860379862
"1","2012","Stratum_2"," [g/km^2]",812979.73764372,80280.0618339318,0.0987479245997075
"1","2013","Stratum_2"," [g/km^2]",443355.959802334,53449.2695045983,0.120556109200445
"1","2014","Stratum_2"," [g/km^2]",374568.710132349,46615.2822507943,0.124450550699559
"1","2015","Stratum_2"," [g/km^2]",478766.889052899,56392.2512651428,0.117786447965728
"1","2016","Stratum_2"," [g/km^2]",459815.519883715,52207.6980552924,0.113540530490349
"1","2017","Stratum_2"," [g/km^2]",312490.261734715,48423.4520590798,0.154959875518261
"1","2018","Stratum_2"," [g/km^2]",347704.390099073,46709.7038426333,0.134337400311005
"1","2019","Stratum_2"," [g/km^2]",500886.630803055,61452.0506977337,0.122686546053765
"1","2020","Stratum_2"," [g/km^2]",304912.43065286,70830.1190650758,0.232296593856206
"1","2021","Stratum_2"," [g/km^2]",335316.389183369,41260.4372218037,0.123049270935696
"1","1985","Stratum_3"," [g/km^2]",65010.6696147556,12348.3378942136,0.189943250352414
"1","1986","Stratum_3"," [g/km^2]",76497.2126582484,13977.4595740705,0.182718547360868
"1","1987","Stratum_3"," [g/km^2]",76063.5139526943,14498.7804492202,0.190614128848127
"1","1988","Stratum_3"," [g/km^2]",50065.845296601,10814.9860313832,0.216015248865028
"1","1989","Stratum_3"," [g/km^2]",47919.1689720219,7633.02220804174,0.159289536354405
"1","1990","Stratum_3"," [g/km^2]",44352.7408823144,8783.43145922332,0.198035821112596
"1","1991","Stratum_3"," [g/km^2]",31049.6116937863,5789.74029610134,0.186467397827715
"1","1992","Stratum_3"," [g/km^2]",41733.583878544,7648.40097731918,0.183267293783781
"1","1993","Stratum_3"," [g/km^2]",33168.8826080822,6986.81078915552,0.210643538153229
"1","1994","Stratum_3"," [g/km^2]",21975.1677009836,5120.82478401527,0.23302779089991
"1","1995","Stratum_3"," [g/km^2]",34534.0175695787,5743.50617783943,0.166314451142775
"1","1996","Stratum_3"," [g/km^2]",27103.4432007341,5025.16054011369,0.185406721311984
"1","1997","Stratum_3"," [g/km^2]",44254.9362680732,11004.0194294473,0.248650667188643
