"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",972055.056495062,439000.501756773,0.451621025808642
"1","1986","Stratum_1"," [g/km^2]",918344.089051623,412927.508104202,0.449643562829085
"1","1987","Stratum_1"," [g/km^2]",1100319.37718153,497309.652780813,0.451968458516725
"1","1988","Stratum_1"," [g/km^2]",686866.821815319,312782.220325022,0.455375351364866
"1","1989","Stratum_1"," [g/km^2]",635660.92440711,283798.408514532,0.446461938460722
"1","1990","Stratum_1"," [g/km^2]",650746.356997336,292139.0960881,0.448929283962627
"1","1991","Stratum_1"," [g/km^2]",536095.88601759,240256.363646141,0.448159312377674
"1","1992","Stratum_1"," [g/km^2]",908263.704246472,404726.908667567,0.445605066871352
"1","1993","Stratum_1"," [g/km^2]",1050312.22123165,467627.943416987,0.445227556115285
"1","1994","Stratum_1"," [g/km^2]",512192.617243197,229260.625788301,0.447606267779228
"1","1995","Stratum_1"," [g/km^2]",689798.185653179,306051.887451351,0.44368323056916
"1","1996","Stratum_1"," [g/km^2]",576632.439240754,258583.186834328,0.44843676705875
"1","1997","Stratum_1"," [g/km^2]",670495.268465466,299977.986656631,0.44739761899168
"1","1998","Stratum_1"," [g/km^2]",662145.078957793,294758.576137558,0.445157089442547
"1","1999","Stratum_1"," [g/km^2]",984110.854974303,437740.274414608,0.444807891511405
"1","2000","Stratum_1"," [g/km^2]",1105180.11813237,492054.325500888,0.445225459115573
"1","2001","Stratum_1"," [g/km^2]",1080217.80779068,482807.331188514,0.44695368629033
"1","2002","Stratum_1"," [g/km^2]",933180.022813768,417413.778462142,0.4473025228332
"1","2003","Stratum_1"," [g/km^2]",815415.799896026,367411.895409366,0.450582261781309
"1","2004","Stratum_1"," [g/km^2]",863546.993439689,389526.933681757,0.451077864483312
"1","2005","Stratum_1"," [g/km^2]",813146.633176031,367828.796923863,0.452352358008515
"1","2006","Stratum_1"," [g/km^2]",788494.849914444,353301.115218573,0.44807028892695
"1","2007","Stratum_1"," [g/km^2]",871421.472905872,385745.672136961,0.442662573887057
"1","2008","Stratum_1"," [g/km^2]",1019777.20009463,450298.911511613,0.441565972910382
"1","2009","Stratum_1"," [g/km^2]",1090210.5172906,476841.390324276,0.437384691086383
"1","2010","Stratum_1"," [g/km^2]",1201577.23645486,528567.673552004,0.439894879426555
"1","2011","Stratum_1"," [g/km^2]",1370292.54937632,603460.613228474,0.440388159085546
"1","2012","Stratum_1"," [g/km^2]",1886260.20362113,824528.369183044,0.437123344700886
"1","2013","Stratum_1"," [g/km^2]",1190177.25521027,524300.085312944,0.440522689387402
"1","2014","Stratum_1"," [g/km^2]",1018822.5068084,450354.919964052,0.44203471846617
"1","2015","Stratum_1"," [g/km^2]",1214903.89564538,534812.63997119,0.440209832142386
"1","2016","Stratum_1"," [g/km^2]",1224912.33416279,538592.851958667,0.439699100855886
"1","2017","Stratum_1"," [g/km^2]",880349.55305258,394217.202897706,0.447796220865643
"1","2018","Stratum_1"," [g/km^2]",961842.475447728,429583.39324213,0.446625517387515
"1","2019","Stratum_1"," [g/km^2]",1235942.3384131,545999.13912878,0.441767485552621
"1","2020","Stratum_1"," [g/km^2]",683698.316164609,342629.732676368,0.501141694480753
"1","2021","Stratum_1"," [g/km^2]",1015033.99351866,447715.599823683,0.441084340704352
"1","1985","Stratum_2"," [g/km^2]",688056.817849558,312491.563156633,0.454165346596362
"1","1986","Stratum_2"," [g/km^2]",621454.175608323,281817.522923256,0.45348077780215
"1","1987","Stratum_2"," [g/km^2]",701619.60770203,319277.32455131,0.455057585401603
"1","1988","Stratum_2"," [g/km^2]",430321.864616206,197734.878393243,0.459504604930075
"1","1989","Stratum_2"," [g/km^2]",391470.486803831,175932.64457178,0.449414835862046
"1","1990","Stratum_2"," [g/km^2]",376809.713318327,170717.483955035,0.45306019967382
"1","1991","Stratum_2"," [g/km^2]",317012.476047893,143528.248208019,0.452752680264658
"1","1992","Stratum_2"," [g/km^2]",524075.872643478,235870.277127164,0.450068948866919
"1","1993","Stratum_2"," [g/km^2]",638149.279749511,288397.618489901,0.451928142272758
"1","1994","Stratum_2"," [g/km^2]",306134.251452619,138248.875975888,0.451595583701894
"1","1995","Stratum_2"," [g/km^2]",433832.878430899,193757.067316424,0.446616835536326
"1","1996","Stratum_2"," [g/km^2]",397130.926423894,178213.121232169,0.448751556160463
"1","1997","Stratum_2"," [g/km^2]",434482.135237812,195029.448823361,0.448877946884079
"1","1998","Stratum_2"," [g/km^2]",444531.430358885,198608.688220518,0.446782105058744
"1","1999","Stratum_2"," [g/km^2]",610970.178278318,272611.383173635,0.446194254426359
"1","2000","Stratum_2"," [g/km^2]",744481.548888719,332229.463519555,0.446256141626982
"1","2001","Stratum_2"," [g/km^2]",645109.914374988,289638.365548605,0.448975219717742
"1","2002","Stratum_2"," [g/km^2]",600885.274787333,269377.054789661,0.448300309713865
"1","2003","Stratum_2"," [g/km^2]",550166.022025446,249138.697030609,0.452842754834985
"1","2004","Stratum_2"," [g/km^2]",560340.859313896,253436.949114455,0.4522906814698
"1","2005","Stratum_2"," [g/km^2]",607638.405047806,274778.049281087,0.452206521178444
"1","2006","Stratum_2"," [g/km^2]",570512.411073237,256051.207949689,0.448809180974717
"1","2007","Stratum_2"," [g/km^2]",569373.355594167,252636.121142897,0.443709068330496
"1","2008","Stratum_2"," [g/km^2]",654775.629209984,289148.901852136,0.44159997555347
"1","2009","Stratum_2"," [g/km^2]",689524.424369052,302474.11324205,0.438670629425241
"1","2010","Stratum_2"," [g/km^2]",708100.979465201,313348.828464275,0.442519976036369
"1","2011","Stratum_2"," [g/km^2]",927581.003153165,409738.36655257,0.441727854666843
"1","2012","Stratum_2"," [g/km^2]",1115208.63090667,489027.518615707,0.438507652346743
"1","2013","Stratum_2"," [g/km^2]",633007.621432814,280759.899992205,0.443533206372305
"1","2014","Stratum_2"," [g/km^2]",530212.831398755,235642.749022423,0.4444304910554
"1","2015","Stratum_2"," [g/km^2]",666157.00938691,294917.39955621,0.442714548372962
"1","2016","Stratum_2"," [g/km^2]",660193.847324899,291679.82109391,0.441809359896028
"1","2017","Stratum_2"," [g/km^2]",430123.934457296,195526.4423372,0.454581637229514
"1","2018","Stratum_2"," [g/km^2]",494501.691847738,221513.718421698,0.447953408600073
"1","2019","Stratum_2"," [g/km^2]",729365.261191407,323739.491316627,0.443864697898836
"1","2020","Stratum_2"," [g/km^2]",409014.366037979,199952.248459168,0.488863631847596
"1","2021","Stratum_2"," [g/km^2]",472106.718062382,209832.856760035,0.444460645722704
"1","1985","Stratum_3"," [g/km^2]",51098.0855472937,24198.9316597142,0.473578048972442
"1","1986","Stratum_3"," [g/km^2]",60147.6391415724,28362.8241892376,0.471553407482519
"1","1987","Stratum_3"," [g/km^2]",59880.9007042554,28476.7065812397,0.475555748933752
"1","1988","Stratum_3"," [g/km^2]",38705.2668239192,18828.3025747193,0.486453243181976
"1","1989","Stratum_3"," [g/km^2]",38084.2339615306,17624.822271389,0.462785264085716
"1","1990","Stratum_3"," [g/km^2]",34336.2382063772,16392.5731238999,0.477413193180119
"1","1991","Stratum_3"," [g/km^2]",24050.9600604976,11346.5013473698,0.471769165090659
"1","1992","Stratum_3"," [g/km^2]",33504.2890420683,15811.4664159491,0.47192365121063
"1","1993","Stratum_3"," [g/km^2]",26383.7538104097,12733.5304713277,0.482627701987714
"1","1994","Stratum_3"," [g/km^2]",17287.52070705,8511.58811136875,0.492354470927554
"1","1995","Stratum_3"," [g/km^2]",28063.5742402734,13056.4141320341,0.465244163849133
"1","1996","Stratum_3"," [g/km^2]",21359.2677656208,10093.8645907137,0.472575403870375
"1","1997","Stratum_3"," [g/km^2]",35363.5006887767,17584.9361659296,0.49726231349914
"1","1998","Stratum_3"," [g/km^2]",18865.7196824511,9013.18697780547,0.477754738728016
"1","1999","Stratum_3"," [g/km^2]",29989.7923850665,14256.1033801969,0.475365190833923
"1","2000","Stratum_3"," [g/km^2]",56001.3347935418,25943.3314609018,0.463262733942794
"1","2001","Stratum_3"," [g/km^2]",36201.8268181497,17282.8776694618,0.477403467959715
"1","2002","Stratum_3"," [g/km^2]",39260.0655716946,18377.6774965401,0.468101039285829
