"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",31588.4834303854,4713.35445792811,0.149211166414981
"1","1986","Stratum_1"," [g/km^2]",31315.6916433622,4451.24389086737,0.142141005268547
"1","1987","Stratum_1"," [g/km^2]",32745.7452029214,4877.42813411189,0.148948454337717
"1","1988","Stratum_1"," [g/km^2]",22376.6032341923,3490.55538220394,0.155991297949558
"1","1989","Stratum_1"," [g/km^2]",24993.00102782,3322.82684720846,0.132950294504842
"1","1990","Stratum_1"," [g/km^2]",27590.4036235578,3898.76102967953,0.141308589858781
"1","1991","Stratum_1"," [g/km^2]",20331.0676409564,2866.04502217577,0.140968741671107
"1","1992","Stratum_1"," [g/km^2]",30768.342738146,4040.89757481242,0.131332961583355
"1","1993","Stratum_1"," [g/km^2]",35091.3788468379,4514.67663525931,0.128654865771002
"1","1994","Stratum_1"," [g/km^2]",23042.4094963193,3114.91535860833,0.13518184194695
"1","1995","Stratum_1"," [g/km^2]",24082.8807294781,3049.92994895432,0.126643069955543
"1","1996","Stratum_1"," [g/km^2]",26097.701560443,3573.31084248575,0.136920519004705
"1","1997","Stratum_1"," [g/km^2]",26150.3221467129,3545.86425006339,0.135595432827549
"1","1998","Stratum_1"," [g/km^2]",27742.9963224996,3532.28671049044,0.127321745258848
"1","1999","Stratum_1"," [g/km^2]",39749.0792463978,5094.27887170821,0.12816092770677
"1","2000","Stratum_1"," [g/km^2]",39632.140276524,5241.18253901654,0.132245760699458
"1","2001","Stratum_1"," [g/km^2]",35957.5380954214,4912.68172631186,0.136624529556917
"1","2002","Stratum_1"," [g/km^2]",30060.7705599017,4273.95013454955,0.1421769986246
"1","2003","Stratum_1"," [g/km^2]",27698.1736859928,4130.17505477455,0.149113623937712
"1","2004","Stratum_1"," [g/km^2]",32010.1406999984,4662.28798638319,0.145650343435805
"1","2005","Stratum_1"," [g/km^2]",27237.737708753,4146.91566643784,0.152248902268607
"1","2006","Stratum_1"," [g/km^2]",23725.1272514643,3380.87990811202,0.142502076902596
"1","2007","Stratum_1"," [g/km^2]",32171.8470951988,4435.10977363295,0.13785685852942
