"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",1238205.09608577,505502.210965531,0.408254022345353
"1","1986","Stratum_1"," [g/km^2]",1062881.60522602,434323.95410363,0.408628723997224
"1","1987","Stratum_1"," [g/km^2]",1347662.06074128,550748.406666919,0.408669519392707
"1","1988","Stratum_1"," [g/km^2]",754803.610939706,305818.935020827,0.405163582405354
"1","1989","Stratum_1"," [g/km^2]",535284.808922712,211804.691864629,0.395685975641445
"1","1990","Stratum_1"," [g/km^2]",884021.328683138,350213.496820396,0.396159555722573
"1","1991","Stratum_1"," [g/km^2]",660158.178854114,263482.514392187,0.399120275764117
"1","1992","Stratum_1"," [g/km^2]",876340.096538515,345836.578797063,0.394637401806779
"1","1993","Stratum_1"," [g/km^2]",929726.931089229,363515.132469142,0.39099129036013
"1","1994","Stratum_1"," [g/km^2]",508259.269041906,202992.855485158,0.399388398499472
"1","1995","Stratum_1"," [g/km^2]",436968.556646726,172579.853689978,0.394947991256734
"1","1996","Stratum_1"," [g/km^2]",704113.084460106,283312.598867231,0.402368035930573
"1","1997","Stratum_1"," [g/km^2]",802571.92135806,320165.875412141,0.398924840119469
"1","1998","Stratum_1"," [g/km^2]",638260.531568347,252371.258885772,0.395404770314785
"1","1999","Stratum_1"," [g/km^2]",1119104.8172047,443122.013543857,0.395961134945948
"1","2000","Stratum_1"," [g/km^2]",1061374.09158601,427613.692456944,0.402886876405622
"1","2001","Stratum_1"," [g/km^2]",914912.828174467,371290.84616678,0.405821008005341
"1","2002","Stratum_1"," [g/km^2]",1093506.2003826,441574.984256889,0.403815711426592
"1","2003","Stratum_1"," [g/km^2]",894002.737649033,364232.018789642,0.407417117924564
"1","2004","Stratum_1"," [g/km^2]",678560.773687834,280267.741371675,0.413032630590298
"1","2005","Stratum_1"," [g/km^2]",806955.162467922,329913.406267393,0.408837345136271
"1","2006","Stratum_1"," [g/km^2]",903458.305137345,362681.011361466,0.401436357714733
"1","2007","Stratum_1"," [g/km^2]",1129218.77164453,440718.211564046,0.390285941600326
"1","2008","Stratum_1"," [g/km^2]",1304704.95651226,508637.976674497,0.389849041452393
"1","2009","Stratum_1"," [g/km^2]",869601.758746105,336244.358493237,0.386664763624761
"1","2010","Stratum_1"," [g/km^2]",918510.819301302,356827.212981854,0.388484496299441
