"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",141034.793711751,39339.9067981047,0.278937599458673
"1","1986","Stratum_1"," [g/km^2]",122432.884956801,33839.4681946569,0.276391985752821
"1","1987","Stratum_1"," [g/km^2]",142282.901778903,38524.417596348,0.270759290924582
"1","1988","Stratum_1"," [g/km^2]",77514.1945553563,20591.1626428755,0.265643767067336
"1","1989","Stratum_1"," [g/km^2]",89405.1711970953,23374.3180689168,0.261442573801326
"1","1990","Stratum_1"," [g/km^2]",113056.493955865,30379.8142034786,0.268713570892604
"1","1991","Stratum_1"," [g/km^2]",96505.9548061128,25819.7522630348,0.267545689951553
"1","1992","Stratum_1"," [g/km^2]",103313.711788877,26376.565300069,0.255305562479158
"1","1993","Stratum_1"," [g/km^2]",116656.727307347,29668.4021475249,0.254322256695575
"1","1994","Stratum_1"," [g/km^2]",79247.8935230625,20975.6482297834,0.264683984611897
"1","1995","Stratum_1"," [g/km^2]",63415.1716839019,17453.4725058325,0.275225502705107
"1","1996","Stratum_1"," [g/km^2]",96013.1746212563,25212.1619008032,0.262590649671337
"1","1997","Stratum_1"," [g/km^2]",89144.5194389912,23618.8693796432,0.2649503248016
"1","1998","Stratum_1"," [g/km^2]",73032.2014749048,17899.8105447884,0.24509476892791
"1","1999","Stratum_1"," [g/km^2]",127798.719864471,32888.6157612157,0.257346989047259
"1","2000","Stratum_1"," [g/km^2]",138802.211999885,38136.8411476077,0.274756724681295
"1","2001","Stratum_1"," [g/km^2]",111718.460218314,32172.1747738404,0.287975458227506
"1","2002","Stratum_1"," [g/km^2]",119957.598192041,33874.6382753896,0.282388433796078
"1","2003","Stratum_1"," [g/km^2]",102255.269594563,28509.8567628379,0.278810636125436
"1","2004","Stratum_1"," [g/km^2]",73529.8952321586,20617.6942026508,0.280398797489837
"1","2005","Stratum_1"," [g/km^2]",91290.4651224134,26962.2225396699,0.295345439455433
"1","2006","Stratum_1"," [g/km^2]",92293.0015275749,26024.9542939898,0.281981882301382
"1","2007","Stratum_1"," [g/km^2]",124523.834833681,33366.8892322675,0.267955843769457
"1","2008","Stratum_1"," [g/km^2]",132611.868346805,34967.7015426229,0.263684555376114
"1","2009","Stratum_1"," [g/km^2]",99062.0746912169,24115.4635903264,0.243437901593483
"1","2010","Stratum_1"," [g/km^2]",102066.698183392,25376.3817306586,0.248625479047662
"1","2011","Stratum_1"," [g/km^2]",117404.386795981,32043.7817809673,0.272935131773664
"1","2012","Stratum_1"," [g/km^2]",131613.025293306,34629.2103010396,0.26311385384438
"1","2013","Stratum_1"," [g/km^2]",112379.577310252,27859.3560234664,0.247904082665783
"1","2014","Stratum_1"," [g/km^2]",85523.42323199,22756.7935026008,0.266088431012295
"1","2015","Stratum_1"," [g/km^2]",116134.051621533,30185.9006115966,0.259922909690335
"1","2016","Stratum_1"," [g/km^2]",113581.058231226,29561.8654271633,0.260271086460402
"1","2017","Stratum_1"," [g/km^2]",102368.844070367,28199.6528370668,0.275471048766387
"1","2018","Stratum_1"," [g/km^2]",87611.8003424764,23842.2299903327,0.272134916725062
"1","2019","Stratum_1"," [g/km^2]",104913.774154173,27204.4622805351,0.259303056246529
"1","2020","Stratum_1"," [g/km^2]",91518.0031107395,33203.7586541629,0.362811223208023
"1","2021","Stratum_1"," [g/km^2]",120103.172398077,32385.4761404038,0.2696471333252
"1","1985","Stratum_2"," [g/km^2]",93031.9097689139,29013.306057783,0.31186402740576
"1","1986","Stratum_2"," [g/km^2]",78785.7328657637,24620.4667013031,0.312499050345217
"1","1987","Stratum_2"," [g/km^2]",83374.3448366515,25580.2954898856,0.306812551750817
"1","1988","Stratum_2"," [g/km^2]",47673.8796945169,14121.2282550517,0.296204721443635
"1","1989","Stratum_2"," [g/km^2]",53254.6722271582,16078.668698843,0.301920339125538
"1","1990","Stratum_2"," [g/km^2]",67136.3967187483,20199.911879829,0.300878701674318
"1","1991","Stratum_2"," [g/km^2]",53656.7568468819,16344.8117608859,0.304617959067641
"1","1992","Stratum_2"," [g/km^2]",59565.3461190876,17336.3699534483,0.291047917673275
"1","1993","Stratum_2"," [g/km^2]",63337.4377564698,18585.4687548965,0.293435753216874
"1","1994","Stratum_2"," [g/km^2]",47764.3362238823,14202.4881934805,0.297345034314101
"1","1995","Stratum_2"," [g/km^2]",32950.0627006588,10640.5450509316,0.322929432565807
"1","1996","Stratum_2"," [g/km^2]",64573.8433484275,18461.6267045798,0.285899456300975
"1","1997","Stratum_2"," [g/km^2]",50949.9734903376,15402.4770963716,0.30230589029242
"1","1998","Stratum_2"," [g/km^2]",41827.0962952056,11574.0638472654,0.276712104650501
"1","1999","Stratum_2"," [g/km^2]",69968.1500795685,20647.4592995165,0.295097973521323
"1","2000","Stratum_2"," [g/km^2]",79471.7346107942,24297.2920947036,0.305735016527542
"1","2001","Stratum_2"," [g/km^2]",65068.5214478063,21130.5330430372,0.32474278764712
"1","2002","Stratum_2"," [g/km^2]",66428.6207343141,21099.7857294624,0.31763094726673
"1","2003","Stratum_2"," [g/km^2]",61377.7591330053,18971.5898287306,0.309095511089274
"1","2004","Stratum_2"," [g/km^2]",37662.7411990142,11967.4139870688,0.31775207024448
"1","2005","Stratum_2"," [g/km^2]",61336.9425941675,19772.9047938014,0.322365347171406
"1","2006","Stratum_2"," [g/km^2]",62024.0927532393,18961.9571637206,0.305719218484339
"1","2007","Stratum_2"," [g/km^2]",72099.8587591454,21800.2152282048,0.302361413786259
"1","2008","Stratum_2"," [g/km^2]",78343.249021501,22903.7924654923,0.292351833138889
"1","2009","Stratum_2"," [g/km^2]",60155.1819270652,16451.1227664669,0.273478065221595
"1","2010","Stratum_2"," [g/km^2]",64986.1766425947,17840.6631470827,0.274530124232438
"1","2011","Stratum_2"," [g/km^2]",84136.7448034606,25179.0937494019,0.299263940008841
"1","2012","Stratum_2"," [g/km^2]",78246.0889219076,22839.6856495328,0.291895556240871
"1","2013","Stratum_2"," [g/km^2]",59022.2889682815,16823.9931934137,0.285044743053845
"1","2014","Stratum_2"," [g/km^2]",51265.2687877861,15143.1216296785,0.295387539902773
