"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",29353.9866206909,6098.39945674802,0.207753704311132
"1","1986","Stratum_1"," [g/km^2]",29800.3303074185,5612.73630671601,0.188344768289994
"1","1987","Stratum_1"," [g/km^2]",29080.402841736,6073.0514154706,0.208836564215495
"1","1988","Stratum_1"," [g/km^2]",20030.4310181624,5008.81494087994,0.25006026761672
"1","1989","Stratum_1"," [g/km^2]",29322.645642094,5581.73502628257,0.190355778070371
"1","1990","Stratum_1"," [g/km^2]",24386.8877479726,5202.36445532646,0.213326296864549
"1","1991","Stratum_1"," [g/km^2]",14784.879192473,2930.66797899433,0.198220623979554
"1","1992","Stratum_1"," [g/km^2]",37062.2253559386,7193.2180369715,0.194084892849504
"1","1993","Stratum_1"," [g/km^2]",40632.7177574085,7792.21538666742,0.19177194676442
"1","1994","Stratum_1"," [g/km^2]",28726.7710646923,5630.23453261565,0.195992599374862
"1","1995","Stratum_1"," [g/km^2]",40375.9199095617,6788.65711950982,0.168136283574856
"1","1996","Stratum_1"," [g/km^2]",23634.1423484059,4753.04230411905,0.201109151076923
"1","1997","Stratum_1"," [g/km^2]",29796.7796006394,5602.7928278887,0.188033502377837
"1","1998","Stratum_1"," [g/km^2]",36559.8870410604,6267.70673235077,0.171436709454587
"1","1999","Stratum_1"," [g/km^2]",52809.1444989669,8926.52054689057,0.169033613999659
"1","2000","Stratum_1"," [g/km^2]",55913.2475020252,9539.67347781314,0.170615621592497
"1","2001","Stratum_1"," [g/km^2]",59748.6362683559,10896.820313061,0.18237772430686
"1","2002","Stratum_1"," [g/km^2]",36948.9703069027,6859.78932946308,0.185655764490453
"1","2003","Stratum_1"," [g/km^2]",35079.0815586545,7369.81009246938,0.210091306984379
"1","2004","Stratum_1"," [g/km^2]",59263.7139845417,12065.3804957127,0.203587991445489
"1","2005","Stratum_1"," [g/km^2]",33739.1669808012,7619.01557450849,0.225821093296229
"1","2006","Stratum_1"," [g/km^2]",31699.5354074509,6386.3244905188,0.201464293038747
"1","2007","Stratum_1"," [g/km^2]",31690.8400088085,6384.79204525534,0.201471215136005
"1","2008","Stratum_1"," [g/km^2]",30633.6569910403,6106.44666854107,0.19933782866104
"1","2009","Stratum_1"," [g/km^2]",37955.7499512467,6464.12820876129,0.170306955258804
"1","2010","Stratum_1"," [g/km^2]",39273.0867085474,7238.57555294418,0.184313894312992
"1","2011","Stratum_1"," [g/km^2]",53846.9727896185,10053.3707067608,0.186702616431932
"1","2012","Stratum_1"," [g/km^2]",72439.0602805338,12517.7212271048,0.172803473410994
"1","2013","Stratum_1"," [g/km^2]",48227.6583323321,9127.24344058129,0.189253298961488
"1","2014","Stratum_1"," [g/km^2]",36032.1674264197,7136.71263311759,0.198065038626702
"1","2015","Stratum_1"," [g/km^2]",43321.2838288931,8499.65048400563,0.196200336942387
"1","2016","Stratum_1"," [g/km^2]",37687.2771283543,6688.87423136068,0.177483616250117
"1","2017","Stratum_1"," [g/km^2]",33682.8352743803,7410.76669885053,0.22001611914444
"1","2018","Stratum_1"," [g/km^2]",41854.8729290854,9006.52216145649,0.215184553939903
"1","2019","Stratum_1"," [g/km^2]",49176.2686517989,9372.96476954256,0.190599348557928
"1","2020","Stratum_1"," [g/km^2]",19222.543876449,8010.98706091338,0.416749578640749
"1","2021","Stratum_1"," [g/km^2]",36058.1560231771,6562.9560915692,0.182010308218501
"1","1985","Stratum_2"," [g/km^2]",22236.1755861892,4745.33911635183,0.213406262149645
"1","1986","Stratum_2"," [g/km^2]",21616.7223929429,4226.93803384113,0.1955401913854
"1","1987","Stratum_2"," [g/km^2]",20252.2687573912,4335.7030085807,0.214084805041822
"1","1988","Stratum_2"," [g/km^2]",13585.1736631543,3503.56187512002,0.25789599470652
"1","1989","Stratum_2"," [g/km^2]",19102.0403981555,3776.29962696477,0.197690903602601
"1","1990","Stratum_2"," [g/km^2]",14695.624663557,3293.84225962993,0.224137614768986
"1","1991","Stratum_2"," [g/km^2]",10915.1069129849,2191.90018765549,0.200813441877325
"1","1992","Stratum_2"," [g/km^2]",22489.989085177,4543.20980356086,0.202010316072374
"1","1993","Stratum_2"," [g/km^2]",26975.398016432,5458.88651889819,0.202365374389394
"1","1994","Stratum_2"," [g/km^2]",18271.4876611649,3655.34550825648,0.200057355812671
"1","1995","Stratum_2"," [g/km^2]",29303.0371332696,4947.62989296352,0.168843586774361
"1","1996","Stratum_2"," [g/km^2]",17670.5673687401,3452.80416501655,0.195398602261333
"1","1997","Stratum_2"," [g/km^2]",23455.7452842263,4302.4333727588,0.183427698443337
"1","1998","Stratum_2"," [g/km^2]",25261.8303932809,4343.10541391314,0.171923623359783
"1","1999","Stratum_2"," [g/km^2]",37159.6706004722,6259.35473007331,0.168444838959198
"1","2000","Stratum_2"," [g/km^2]",42157.0378648694,7316.58826624614,0.173555558853513
"1","2001","Stratum_2"," [g/km^2]",39841.2394567205,7487.93850943469,0.187944416678322
"1","2002","Stratum_2"," [g/km^2]",27992.8861723615,5158.62162474468,0.184283306586584
"1","2003","Stratum_2"," [g/km^2]",26594.8363475402,5712.36901727663,0.214792410926227
"1","2004","Stratum_2"," [g/km^2]",42892.7414614199,8779.44285926919,0.204683649497339
"1","2005","Stratum_2"," [g/km^2]",26800.4777848603,5837.69891466837,0.217820703105755
"1","2006","Stratum_2"," [g/km^2]",24782.7218581842,4888.88323701722,0.197269826332765
"1","2007","Stratum_2"," [g/km^2]",24791.5377874502,4908.2312620114,0.197980105312228
"1","2008","Stratum_2"," [g/km^2]",21886.3143563865,4401.3021098924,0.201098368515761
"1","2009","Stratum_2"," [g/km^2]",25828.1107616366,4547.0738113726,0.176051351697258
"1","2010","Stratum_2"," [g/km^2]",24364.1609751373,4744.86934303702,0.19474790647948
"1","2011","Stratum_2"," [g/km^2]",38724.874748265,7364.74121803983,0.19018115012418
"1","2012","Stratum_2"," [g/km^2]",47157.6900051864,8631.84361314242,0.183042121278481
"1","2013","Stratum_2"," [g/km^2]",28796.206638755,5898.70440891671,0.204843106000567
"1","2014","Stratum_2"," [g/km^2]",18662.3956575534,3992.29650032609,0.213921973019056
"1","2015","Stratum_2"," [g/km^2]",27096.0028004675,5543.65181749584,0.204592974776346
"1","2016","Stratum_2"," [g/km^2]",23342.1181092331,4311.20697641395,0.184696476825238
"1","2017","Stratum_2"," [g/km^2]",20247.476062451,4713.31205052303,0.232785164727957
"1","2018","Stratum_2"," [g/km^2]",25045.5308368559,5638.76433564633,0.225140539938109
"1","2019","Stratum_2"," [g/km^2]",32541.5999153955,6367.88024532883,0.195684301382985
"1","2020","Stratum_2"," [g/km^2]",12776.354226889,5012.00715061339,0.392287741996476
"1","2021","Stratum_2"," [g/km^2]",19775.4112204798,3849.82529150403,0.194677382360428
"1","1985","Stratum_3"," [g/km^2]",2346.50169020835,686.511844007764,0.292568229067334
"1","1986","Stratum_3"," [g/km^2]",2230.69256447123,613.90965718541,0.275210339140093
"1","1987","Stratum_3"," [g/km^2]",2020.62005250366,587.729248700286,0.290865790415202
"1","1988","Stratum_3"," [g/km^2]",1120.95851885851,400.855221442223,0.35760040599042
"1","1989","Stratum_3"," [g/km^2]",2253.7842233622,596.919272010032,0.264852005716655
"1","1990","Stratum_3"," [g/km^2]",1233.2086558346,378.281465404844,0.306745710561716
"1","1991","Stratum_3"," [g/km^2]",779.792643263615,208.438350483425,0.267299713948392
"1","1992","Stratum_3"," [g/km^2]",1406.08011552296,432.534153613988,0.307617004777226
"1","1993","Stratum_3"," [g/km^2]",1334.45214191185,453.616857262143,0.339927407671776
"1","1994","Stratum_3"," [g/km^2]",1278.990588462,437.027628954843,0.341697298555085
"1","1995","Stratum_3"," [g/km^2]",2176.34293070683,564.418429851373,0.259342598028916
"1","1996","Stratum_3"," [g/km^2]",1033.8012598604,364.314472299502,0.352402813233847
"1","1997","Stratum_3"," [g/km^2]",1689.67176345491,505.714560146811,0.29929751510599
"1","1998","Stratum_3"," [g/km^2]",1496.56177680249,427.586771572039,0.285712743837149
"1","1999","Stratum_3"," [g/km^2]",2149.6562194935,570.241759192259,0.265271141506813
"1","2000","Stratum_3"," [g/km^2]",4310.01885257306,1115.86860626466,0.258901096360284
"1","2001","Stratum_3"," [g/km^2]",2805.14516394709,877.058646333891,0.312660698492976
"1","2002","Stratum_3"," [g/km^2]",2030.1427288186,543.817476766757,0.26787154865866
"1","2003","Stratum_3"," [g/km^2]",1925.46320123794,651.248566760417,0.338229557615906
"1","2004","Stratum_3"," [g/km^2]",3796.76916851563,1197.53807838728,0.315409766892799
"1","2005","Stratum_3"," [g/km^2]",1991.3424841318,632.987773470117,0.317869868450122
"1","2006","Stratum_3"," [g/km^2]",1541.74631333906,439.375635079133,0.284985688811247
"1","2007","Stratum_3"," [g/km^2]",1802.2582571318,526.190636631538,0.291961839846939
"1","2008","Stratum_3"," [g/km^2]",2579.11951445106,490.045143752716,0.190004821803311
"1","2009","Stratum_3"," [g/km^2]",2361.47431569914,460.648879209161,0.195068341902665
"1","2010","Stratum_3"," [g/km^2]",2762.56919528809,546.508857991283,0.197826305644551
"1","2011","Stratum_3"," [g/km^2]",4379.50902718375,881.188502360996,0.201207143744066
"1","2012","Stratum_3"," [g/km^2]",4515.71783542226,867.339619666223,0.192071261154235
"1","2013","Stratum_3"," [g/km^2]",2302.89897952885,491.428596788235,0.213395637914077
"1","2014","Stratum_3"," [g/km^2]",2203.24619236413,470.253116283668,0.21343648200253
"1","2015","Stratum_3"," [g/km^2]",2834.32674057609,608.656501841294,0.21474464927695
"1","2016","Stratum_3"," [g/km^2]",2624.14159363335,534.845333603343,0.20381725395496
"1","2017","Stratum_3"," [g/km^2]",1564.96907564594,498.060417413903,0.318255756720515
"1","2018","Stratum_3"," [g/km^2]",2358.32921814785,610.068762599501,0.258686852499173
"1","2019","Stratum_3"," [g/km^2]",3786.78926889128,758.308729932806,0.200251103530466
"1","2020","Stratum_3"," [g/km^2]",1015.85662962545,457.330701199607,0.450192170688718
"1","2021","Stratum_3"," [g/km^2]",1603.24712890114,385.209575247663,0.240268370548516
"1","1985","Stratum_4"," [g/km^2]",19889.6738959808,4248.89391424112,0.213623105962521
"1","1986","Stratum_4"," [g/km^2]",19386.0298284717,3781.6676256281,0.195071794435912
"1","1987","Stratum_4"," [g/km^2]",18231.6487048875,3923.94144167739,0.215226911465525
"1","1988","Stratum_4"," [g/km^2]",12464.2151442958,3209.05410773949,0.257461386103248
"1","1989","Stratum_4"," [g/km^2]",16848.2561747932,3359.36254790687,0.199389332228508
"1","1990","Stratum_4"," [g/km^2]",13462.4160077224,3032.21053321067,0.225235242431321
"1","1991","Stratum_4"," [g/km^2]",10135.3142697214,2053.00399475455,0.202559480655451
"1","1992","Stratum_4"," [g/km^2]",21083.9089696542,4282.92296413108,0.203137044951932
"1","1993","Stratum_4"," [g/km^2]",25640.9458745201,5200.35223178539,0.202814367973572
"1","1994","Stratum_4"," [g/km^2]",16992.4970727028,3356.00358248274,0.197499141422476
"1","1995","Stratum_4"," [g/km^2]",27126.6942025627,4577.499527642,0.168745203284282
"1","1996","Stratum_4"," [g/km^2]",16636.7661088797,3219.40557878323,0.193511500835785
"1","1997","Stratum_4"," [g/km^2]",21766.0735207714,3977.29023175696,0.182728879784468
"1","1998","Stratum_4"," [g/km^2]",23765.2686164784,4088.76760245201,0.172048028088221
"1","1999","Stratum_4"," [g/km^2]",35010.0143809786,5944.66120636139,0.169798879305552
"1","2000","Stratum_4"," [g/km^2]",37847.0190122962,6554.47777585744,0.173183461918834
"1","2001","Stratum_4"," [g/km^2]",37036.0942927736,6911.55136633585,0.186616637048698
